Plant,Cluster,Subcluster,Destination,Operator,TruckType,NoofIndents
1150/1180,E3,E3,4002,DGFC,32 MA,3
1150/1180,E3,E3,4002,KTC,32 MA,1
1150/1180,E3,E3,4002,NCS,32 MA,2
1150/1180,E3,E3,4002,VARUNA,32 MA,4
1150/1180,E3,E3,6200,DGFC,32 MA,3
1150/1180,E3,E3,6200,KAPOOR,32 MA,4
1150/1180,E3,E3,6200,VARUNA,32 MA,2
1150/1180,E3,E3,6201,DGFC,32 MA,2
1150/1180,E3,E3,6201,NCS,32 MA,1
1150/1180,E3,E3,6201,TCM,32 MA,1
1150/1180,E3,E3,6201,VARUNA,32 MA,1
1150/1180,E3,E3,6202,ATC,32 MA,1
1150/1180,E3,E3,6202,KAPOOR,32 MA,2
1150/1180,E3,E3,6202,KTC,32 MA,2
1150/1180,E3,E3,6202,TCM,32 MA,1
1150/1180,E3,E3,6203,NCS,32 MA,2
1150/1180,E3,E3,6203,RCI,32 MA,3
1150/1180,E3,E3,6204,DGFC,32 MA,2
1150/1180,E3,E3,6204,KAPOOR,32 MA,2
1150/1180,E3,E3,6204,VARUNA,32 MA,1
1150/1180,E3,E3,6205,KAPOOR,32 MA,1
1150/1180,E3,E3,6205,NCS,32 MA,2
1150/1180,E3,E3,6206,RCI,32 MA,1
1150/1180,E3,E3,6207,DGFC,32 MA,1
1150/1180,E3,E3,6207,KTC,32 MA,2
1150/1180,E3,E3,6207,NCS,32 MA,2
1150/1180,E3,E3,6207,VARUNA,32 MA,1
1150/1180,E3,E3,104428,KAPOOR,32 MA,1
1150/1180,E3,E3,400035,ATC,32 MA,2
1150/1180,E3,E3,400035,KAPOOR,32 MA,1
1150/1180,E3,E3,400035,KTC,32 MA,1
1150/1180,E3,E3,400035,NCS,32 MA,3
1150/1180,E4,E4,6000,KAPOOR,32 MA,5
1150/1180,E4,E4,6000,NCS,32 MA,2
1150/1180,E4,E4,6000,VARUNA,32 MA,5
1150/1180,E4,E4,6001,KTC,32 MA,1
1150/1180,E4,E4,6001,NCS,32 MA,2
1150/1180,E4,E4,6001,RCI,32 MA,1
1150/1180,E4,E4,6001,VARUNA,32 MA,2
1150/1180,E4,E4,6003,KAPOOR,32 MA,1
1150/1180,E4,E4,6003,NCS,32 MA,1
1150/1180,E4,E4,6003,RCI,32 MA,1
1150/1180,E4,E4,6003,VARUNA,32 MA,2
1150/1180,E4,E4,6004,ATC,32 MA,1
1150/1180,E4,E4,6004,KAPOOR,32 MA,1
1150/1180,E4,E4,6004,RCI,32 MA,1
1150/1180,E4,E4,6004,VARUNA,32 MA,1
1150/1180,E4,E4,6011,ATC,32 MA,2
1150/1180,E4,E4,6013,ATC,32 MA,1
1150/1180,E4,E4,6013,KAPOOR,32 MA,1
1150/1180,E4,E4,6013,NCS,32 MA,1
1150/1180,E4,E4,6013,VARUNA,32 MA,1
1150/1180,E4,E4,6053,ATC,32 MA,2
1150/1180,E4,E4,6053,KAPOOR,32 MA,2
1150/1180,E4,E4,6053,KTC,32 MA,4
1150/1180,E4,E4,6053,NCS,32 MA,7
1150/1180,E4,E4,6053,RCI,32 MA,1
1150/1180,E4,E4,6053,VARUNA,32 MA,2
1150/1180,E4,E4,6101,NCS,32 MA,1
1150/1180,E4,E4,6102,ATC,32 MA,1
1150/1180,E4,E4,6102,KAPOOR,32 MA,2
1150/1180,E4,E4,6102,KTC,32 MA,1
1150/1180,E4,E4,6102,NCS,32 MA,2
1150/1180,E4,E4,6102,VARUNA,32 MA,1
1150/1180,E4,E4,6103,VARUNA,32 MA,1
1150/1180,E4,E4,6104,ATC,32 MA,1
1150/1180,E4,E4,6104,NCS,32 MA,1
1150/1180,E4,E4,6105,KAPOOR,32 MA,1
1150/1180,E4,E4,400062,KAPOOR,32 MA,1
1150/1180,E4,E4,400307,ATC,32 MA,1
1150/1180,E4,E4,400307,KAPOOR,32 MA,1
1150/1180,N4,N4,5001,LGB,32 MA,1
1150/1180,N4,N4,5001,RCI,32 MA,2
1150/1180,N4,N4,5001,VARUNA,32 MA,2
1150/1180,N4,N4,5002,LGB,32 MA,2
1150/1180,N4,N4,5002,RCI,32 MA,3
1150/1180,N4,N4,5004,ERPL,32 MA,1
1150/1180,N4,N4,5004,VARUNA,32 MA,2
