pk_ID,granularity,rowID,formatting,createdDate,modifiedDate,createdBy,modifiedBy,createdIP,modifiedIP,CarrierCode,CarrierName,CarrierShortName,CarrierOtherName
1,,1,{},1448973092,1450241781,15,15,54.251.110.52,54.251.110.52,325006,EAST INDIA TRANSPORT AGENCY,EITA,EAST INDIA
2,,2,{},1448973092,1450241781,15,15,54.251.110.52,54.251.110.52,325007,INDO ARYA CENTRAL TRANSPORT LTD,IACTL,INDOARYA
3,,3,{},1448973092,1450241781,15,15,54.251.110.52,54.251.110.52,325008,CHINNA TRANSPORT,CHINNA,OTHERS
4,,4,{},1448973092,1450241781,15,15,54.251.110.52,54.251.110.52,325019,DEVAKI TRANSPORT,DEVAKI,OTHERS
5,,5,{},1448973092,1450241781,15,15,54.251.110.52,54.251.110.52,325034,KERALA TRANSPORT CO,KTC,KTC
6,,6,{},1448973092,1450241781,15,15,54.251.110.52,54.251.110.52,325384,MEGA FREIGHT MOVERS LIMITED,MEGA,MEGA
7,,7,{},1448973092,1450241781,15,15,54.251.110.52,54.251.110.52,325398,DELHI GUJARAT FLEET CARRIERS,DGFC,DGFC
8,,8,{},1448973092,1450241781,15,15,54.251.110.52,54.251.110.52,325427,ANAND TRANS  LOGISTICS  PRIVATE LTD,ATC,ANAND
9,,9,{},1448973092,1450241781,15,15,54.251.110.52,54.251.110.52,325446,RCI LOGISTICS PVT LTD,RCI,RCI
10,,10,{},1448973092,1450241781,15,15,54.251.110.52,54.251.110.52,325477,DRS DILIP ROADLINES PRIVATE LTD.,DRS,DRS
11,,11,{},1448973092,1450241781,15,15,54.251.110.52,54.251.110.52,325526,AGARWAL PACKERS AND MOVERS LIMITED,APML,APML
12,,12,{},1448973092,1450241781,15,15,54.251.110.52,54.251.110.52,325615,ILAN TRANSPORTS,ILAN,OTHERS
13,,13,{},1448973092,1450241781,15,15,54.251.110.52,54.251.110.52,325719,EXPRESS ROADWAYS PVT. LTD,ERPL,EXPRESS
14,,14,{},1448973092,1450241781,15,15,54.251.110.52,54.251.110.52,325770,GNANABELLA LOGISTICS,GBL,OTHERS
15,,15,{},1448973092,1450241781,15,15,54.251.110.52,54.251.110.52,325821,KAPOOR DEISELS GARAGE  PVT LTD,KDL,KAPOOR
16,,16,{},1448973092,1450241781,15,15,54.251.110.52,54.251.110.52,325837,True Freight,TFS,TRUE FREIGHT
17,,17,{},1448973092,1450241781,15,15,54.251.110.52,54.251.110.52,325013,VARUNA INTEGRATED LOGISTICS PVT LTD,VRPL,VARUNA
18,,18,{},1448973092,1450241781,15,15,54.251.110.52,54.251.110.52,325014,MAHAVEERA TRANSPORT PVT LTD,MTPL,MAHAVEERA
19,,19,{},1448973092,1450241781,15,15,54.251.110.52,54.251.110.52,325391,SWASTIK ROAD LINES PVT LTD,SWASTIK,SWASTIK
20,,20,{},1448973092,1450241781,15,15,54.251.110.52,54.251.110.52,325544,L G BROTHERS LORRY SERVICES,LGB,LGB
21,,21,{},1448973092,1450241781,15,15,54.251.110.52,54.251.110.52,325713,TRANSWAY CARGO LIFTERS PRIVATE LIMI,NSTCL,NSTCL
22,,22,{},1448973092,1450241781,15,15,54.251.110.52,54.251.110.52,325010,VIKAS ROAD CARRIERS LTD,VIKAS,VIKAS
23,,23,{},1448973092,1450241781,15,15,54.251.110.52,54.251.110.52,325018,NORTHERN CARGO SERVICE,NCS,NCS
24,,24,{},1448973092,1450241781,15,15,54.251.110.52,54.251.110.52,325791,SHRINIWASA ROADWAYS (P) LTD,SRINIVASA,SHRINIWASA
25,,25,{},1448973092,1450241781,15,15,54.251.110.52,54.251.110.52,325792,BLR LOGISTIKS (I) LTD,BLR,BLR
26,,26,{},1448973092,1450241781,15,15,54.251.110.52,54.251.110.52,325845,Shree Shyam Road Carrier,SSC,SHREE SHYAM
27,,27,{},1448973092,1450241781,15,15,54.251.110.52,54.251.110.52,325848,Core Logistcis,Core,CORE
28,,28,{},1448973092,1450241781,15,15,54.251.110.52,54.251.110.52,325857,AVG Logistics,AVG,AVG
29,,29,{},1448973092,1450241781,15,15,54.251.110.52,54.251.110.52,325011,COSMO CARRYING PVT LTD,COSMO,COSMO
30,,30,{},1448973092,1450241781,15,15,54.251.110.52,54.251.110.52,325559,TRIMURTI CARGO MOVERS PVT LTD,TCM,TRIMURTHI
31,,31,{},1448973092,1450241781,15,15,54.251.110.52,54.251.110.52,325824,DELHI BARODA ROAD CARRIERM Pvt Ltd,DBRC,DBRC
32,,32,{},1448973092,1450241781,15,15,54.251.110.52,54.251.110.52,325266,HARSH TRANSPORT - BHOPAL,HARSH,HARSH

