Plant,Cluster,SubCluster,TruckType,Transporter,PercShare,TotalShare,FinalPerShare,Supply,count
1150/1180,N4,N4,32 MA,COSMO,10,200,0.05,3,11
1150/1180,N4,N4,32 MA,DBRC,15,200,0.075,4,15
1150/1180,N4,N4,32 MA,EXPRESS,35,200,0.175,8,0
1150/1180,N4,N4,32 MA,LG BROTHERS,30,200,0.15,7,0
1150/1180,N4,N4,32 MA,RCI,55,200,0.275,12,40
1150/1180,N4,N4,32 MA,VARUNA,55,200,0.275,12,50
1150/1180,N5,N5,32 MA,DBRC,15,125,0.12,3,13
1150/1180,N5,N5,32 MA,DRS,25,125,0.2,4,11
1150/1180,N5,N5,32 MA,LG BROTHERS,20,125,0.16,4,0
1150/1180,N5,N5,32 MA,RCI,35,125,0.28,6,16
1150/1180,N5,N5,32 MA,VARUNA,30,125,0.24,5,9
1150/1180,N6,N6,32 MA,DBRC,15,110,0.13636363636363635,3,7
1150/1180,N6,N6,32 MA,DRS,20,110,0.18181818181818182,4,4
1150/1180,N6,N6,32 MA,LG BROTHERS,20,110,0.18181818181818182,4,0
1150/1180,N6,N6,32 MA,RCI,30,110,0.2727272727272727,5,13
1150/1180,N6,N6,32 MA,VARUNA,25,110,0.22727272727272727,5,11
1150/1180,W3,W3,32 MA,APML,10,98,0.10204081632653061,5,8
1150/1180,W3,W3_1,32 MA,APML,5,40,0.125,3,0
1150/1180,W3,W3,32 MA,DGFC,15,98,0.15306122448979592,7,26
1150/1180,W3,W3_1,32 MA,DGFC,5,40,0.125,3,0
1150/1180,W3,W3,32 MA,EAST INDIA,10,98,0.10204081632653061,5,0
1150/1180,W3,W3_1,32 MA,EAST INDIA,5,40,0.125,3,0
1150/1180,W3,W3,32 MA,EXPRESS,25,98,0.25510204081632654,12,0
1150/1180,W3,W3_1,32 MA,EXPRESS,10,40,0.25,5,0
1150/1180,W3,W3,32 MA,MEGA,15,98,0.15306122448979592,7,17
1150/1180,W3,W3_1,32 MA,MEGA,3,40,0.075,2,0
1150/1180,W3,W3,32 MA,RCI,15,98,0.15306122448979592,7,19
1150/1180,W3,W3_1,32 MA,RCI,10,40,0.25,5,0
1150/1180,W3,W3,32 MA,SWASTIK,8,98,0.08163265306122448,4,5
1150/1180,W3,W3_1,32 MA,SWASTIK,2,40,0.05,1,0
1150/1180,W4,W4,32 MA,RCI,45,85,0.5294117647058824,13,20
1150/1180,W4,W4,32 MA,SWASTIK,25,85,0.29411764705882354,8,14
1150/1180,W4,W4,32 MA,TRUE FREIGHT,15,85,0.17647058823529413,5,0
1150/1180,E3,E3,32 MA,ANAND,12,107,0.11214953271028037,3,0
1150/1180,E3,E3,32 MA,DGFC,25,107,0.2336448598130841,5,11
1150/1180,E3,E3,32 MA,KAPOOR,15,107,0.14018691588785046,3,11
1150/1180,E3,E3,32 MA,KTC,12,107,0.11214953271028037,3,6
1150/1180,E3,E3,32 MA,NCS,12,107,0.11214953271028037,3,12
1150/1180,E3,E3,32 MA,TRIMURTHI,6,107,0.056074766355140186,2,0
1150/1180,E3,E3,32 MA,VARUNA,25,107,0.2336448598130841,5,9
1150/1180,E4,E4,32 MA,ANAND,28,122,0.22950819672131148,6,0
1150/1180,E4,E4,32 MA,KAPOOR,30,122,0.2459016393442623,7,15
1150/1180,E4,E4,32 MA,KTC,12,122,0.09836065573770492,3,6
1150/1180,E4,E4,32 MA,NCS,18,122,0.14754098360655737,4,17
1150/1180,E4,E4,32 MA,RCI,9,122,0.07377049180327869,2,4
1150/1180,E4,E4,32 MA,VARUNA,25,122,0.20491803278688525,6,15
1150/1180,S,S,18 FT,KTC,320,445,0.7191011235955056,44,0
1150/1180,S,S,18 FT,MEGA,95,445,0.21348314606741572,14,0
1150/1180,S,S,18 FT,GNANABELLA,30,445,0.06741573033707865,5,0
1150/1180,S,S,32 MA,VARUNA,30,102,0.29411764705882354,35,13
1150/1180,S,S,32 MA,EXPRESS,12,102,0.11764705882352941,14,0
1150/1180,S,S,32 MA,COSMO,60,102,0.5882352941176471,69,1
1150/1180,N4,N4,32 SA,LGB,15,50,0.3,11,0
1150/1180,N4,N4,32 SA,RCI,15,50,0.3,11,0
1150/1180,N4,N4,32 SA,VARUNA,20,50,0.4,14,0
1150/1180,N5,N5,32 SA,LGB,10,20,0.5,3,0
1150/1180,N5,N5,32 SA,RCI,5,20,0.25,2,0
1150/1180,N5,N5,32 SA,VARUNA,5,20,0.25,2,0
1150/1180,N6,N6,32 SA,LGB,10,20,0.5,5,0
1150/1180,N6,N6,32 SA,RCI,5,20,0.25,3,0
1150/1180,N6,N6,32 SA,VARUNA,5,20,0.25,3,0
