pk_ID,granularity,rowID,formatting,createdDate,modifiedDate,createdBy,modifiedBy,createdIP,modifiedIP,FromTruckType,ToTruckType,Ratio
35,,35,{},1451998415,1451998415,15,15,54.251.110.52,54.251.110.52,32 MA,32 MA,1
36,,36,{},1451998415,1451998415,15,15,54.251.110.52,54.251.110.52,32 MA,32 SA,1
37,,37,{},1451998415,1451998415,15,15,54.251.110.52,54.251.110.52,32 MA,18 FT,2
38,,38,{},1451998415,1451998415,15,15,54.251.110.52,54.251.110.52,32 MA,50 Ft,0.5
39,,39,{},1451998415,1451998415,15,15,54.251.110.52,54.251.110.52,32 MA,24 Ft,1.6
40,,40,{},1451998415,1451998415,15,15,54.251.110.52,54.251.110.52,32 MA,34 Ft,0.85
41,,41,{},1451998415,1451998415,15,15,54.251.110.52,54.251.110.52,32 SA,32 MA,1
42,,42,{},1451998415,1451998415,15,15,54.251.110.52,54.251.110.52,32 SA,32 SA,1
43,,43,{},1451998415,1451998415,15,15,54.251.110.52,54.251.110.52,32 SA,18 FT,1.4
44,,44,{},1451998415,1451998415,15,15,54.251.110.52,54.251.110.52,32 SA,50 Ft,2.8
45,,45,{},1451998415,1451998415,15,15,54.251.110.52,54.251.110.52,32 SA,24 Ft,1.1
46,,46,{},1451998415,1451998415,15,15,54.251.110.52,54.251.110.52,32 SA,34 Ft,0.85
47,,47,{},1451998415,1451998415,15,15,54.251.110.52,54.251.110.52,18 FT,32 MA,0.5
48,,48,{},1451998415,1451998415,15,15,54.251.110.52,54.251.110.52,18 FT,32 SA,0.7
49,,49,{},1451998415,1451998415,15,15,54.251.110.52,54.251.110.52,18 FT,18 FT,1
50,,50,{},1451998415,1451998415,15,15,54.251.110.52,54.251.110.52,18 FT,50 Ft,0.25
51,,51,{},1451998415,1451998415,15,15,54.251.110.52,54.251.110.52,18 FT,24 Ft,0.8
52,,52,{},1451998415,1451998415,15,15,54.251.110.52,54.251.110.52,18 FT,34 Ft,0.42
53,,53,{},1451998415,1451998415,15,15,54.251.110.52,54.251.110.52,50 Ft,32 MA,2
54,,54,{},1451998415,1451998415,15,15,54.251.110.52,54.251.110.52,50 Ft,32 SA,2.7
55,,55,{},1451998415,1451998415,15,15,54.251.110.52,54.251.110.52,50 Ft,18 FT,4
56,,56,{},1451998415,1451998415,15,15,54.251.110.52,54.251.110.52,50 Ft,50 Ft,1
57,,57,{},1451998415,1451998415,15,15,54.251.110.52,54.251.110.52,50 Ft,24 Ft,3.2
58,,58,{},1451998415,1451998415,15,15,54.251.110.52,54.251.110.52,50 Ft,34 Ft,1.5
59,,59,{},1451998415,1451998415,15,15,54.251.110.52,54.251.110.52,24 Ft,32 MA,0.63
60,,60,{},1451998415,1451998415,15,15,54.251.110.52,54.251.110.52,24 Ft,32 SA,0.87
61,,61,{},1451998415,1451998415,15,15,54.251.110.52,54.251.110.52,24 Ft,18 FT,1.26
62,,62,{},1451998415,1451998415,15,15,54.251.110.52,54.251.110.52,24 Ft,50 Ft,0.32
63,,63,{},1451998415,1451998415,15,15,54.251.110.52,54.251.110.52,24 Ft,24 Ft,1
64,,64,{},1451998415,1451998415,15,15,54.251.110.52,54.251.110.52,24 Ft,34 Ft,0.5
65,,65,{},1451998415,1451998415,15,15,54.251.110.52,54.251.110.52,34 Ft,32 MA,1.2
66,,66,{},1451998415,1451998415,15,15,54.251.110.52,54.251.110.52,34 Ft,32 SA,1.6
67,,67,{},1451998415,1451998415,15,15,54.251.110.52,54.251.110.52,34 Ft,18 FT,2.5
68,,68,{},1451998415,1451998415,15,15,54.251.110.52,54.251.110.52,34 Ft,50 Ft,0.63

