pk_ID,granularity,rowID,formatting,createdDate,modifiedDate,createdBy,modifiedBy,createdIP,modifiedIP,Plant,SalesOffice,Material,Period,Demand,TruckType,SubCluster,Cluster,RDC,ORGTruckType,DestCategory,PreferredTruckType,RDCSubCluster,RDCCluster,RDCORGTruckType,RDCDestCategory,ClubPlant,Tyres,DemandTruck
1,,1,{},1452163448,1452163448,19,19,,,1150,4000,21151320,01To10,167,32 MA,S,S,,32 MA,EXPORT,18 FT,,,,,1150/1180,5000,0.0334
2,,2,{},1452163448,1452163448,19,19,,,1150,4000,21173600,01To10,785,32 MA,S,S,,32 MA,EXPORT,18 FT,,,,,1150/1180,4685,0.16755602988260407
9,,9,{},1452163448,1452163448,19,19,,,1150,4000,26153340,01To10,267,32 MA,S,S,,32 MA,EXPORT,18 FT,,,,,1150/1180,1500,0.178
12,,12,{},1452163448,1452163448,19,19,,,1150,4000,20134030,01To10,142,32 MA,S,S,,32 MA,EXPORT,18 FT,,,,,1150/1180,2968,0.04784366576819407
17,,17,{},1452163448,1452163448,19,19,,,1150,4000,20181520,01To10,347,32 MA,S,S,,32 MA,EXPORT,18 FT,,,,,1150/1180,2334,0.14867180805484148
19,,19,{},1452163448,1452163448,19,19,,,1150,4000,20186020,01To10,642,32 MA,S,S,,32 MA,EXPORT,18 FT,,,,,1150/1180,2139,0.30014025245441794
22,,22,{},1452163448,1452163448,19,19,,,1150,4000,20186330,01To10,424,32 MA,S,S,,32 MA,EXPORT,18 FT,,,,,1150/1180,2704,0.15680473372781065
29,,29,{},1452163448,1452163448,19,19,,,1150,4000,20856280,01To10,130,32 MA,S,S,,32 MA,EXPORT,18 FT,,,,,1150/1180,2687,0.048381094157052475
30,,30,{},1452163448,1452163448,19,19,,,1150,4000,20856300,01To10,33,32 MA,S,S,,32 MA,EXPORT,18 FT,,,,,1150/1180,2687,0.012281354670636397
35,,35,{},1452163448,1452163448,19,19,,,1180,4000,27162220,01To10,267,32 MA,S,S,,32 MA,EXPORT,18 FT,,,,,1150/1180,3561,0.07497893850042123
36,,36,{},1452163448,1452163448,19,19,,,1150,4000,27165030,01To10,171,32 MA,S,S,,32 MA,EXPORT,18 FT,,,,,1150/1180,3561,0.04802021903959562
41,,41,{},1452163448,1452163448,19,19,,,1180,4000,28374480,01To10,833,32 MA,S,S,,32 MA,EXPORT,18 FT,,,,,1150/1180,1981,0.4204946996466431
52,,52,{},1452163448,1452163448,19,19,,,1150,4000,19116640,01To10,850,32 MA,S,S,,32 MA,EXPORT,18 FT,,,,,1150/1180,2267,0.3749448610498456
53,,53,{},1452163448,1452163448,19,19,,,1150,4000,19138150,01To10,18,32 MA,S,S,,32 MA,EXPORT,18 FT,,,,,1150/1180,1511,0.011912640635340834
54,,54,{},1452163448,1452163448,19,19,,,1150,4000,12160680,01To10,880,32 MA,S,S,,32 MA,EXPORT,18 FT,,,,,1150/1180,480,1.8333333333333333
56,,56,{},1452163448,1452163448,19,19,,,1150,4001,16113570,01To10,1000,32 MA,S,S,,32 MA,EXPORT,18 FT,,,,,1150/1180,500,2
60,,60,{},1452163448,1452163448,19,19,,,1150,4003,16113870,01To10,1197,32 MA,S,S,,32 MA,EXPORT,18 FT,,,,,1150/1180,500,2.394
62,,62,{},1452163448,1452163448,19,19,,,1150,4003,16116070,01To10,43,32 MA,S,S,,32 MA,EXPORT,18 FT,,,,,1150/1180,500,0.086
66,,66,{},1452163448,1452163448,19,19,,,1150,4000,16126670,01To10,190,32 MA,S,S,,32 MA,EXPORT,18 FT,,,,,1150/1180,540,0.35185185185185186
70,,70,{},1452163448,1452163448,19,19,,,1150,4000,16146860,01To10,0,32 MA,S,S,,32 MA,EXPORT,18 FT,,,,,1150/1180,500,0
