ClubPlant,Cluster,SubCluster,TruckType,DemandTruckFinal
1150/1180,S,S,32 MA,116
1150/1180,S,S,18 FT,61
1150/1180,N4,N4,32 MA,42
1150/1180,N4,N4,32 SA,35
1150/1180,N4,N4_1,32 MA,19
1150/1180,N4,N4_1,32 SA,4
1150/1180,N6,N6,32 MA,18
1150/1180,N6,N6,32 SA,10
1150/1180,N5,N5,32 MA,19
1150/1180,N5,N5,32 SA,5
1150/1180,N5,N5,18 FT,4
1150/1180,W4,W4,32 MA,24
1150/1180,W4,W4,32 SA,5
1150/1180,E4,E4,32 MA,26
1150/1180,E4,E4,32 SA,2
1150/1180,E4,E4,18 FT,8
1150/1180,E3,E3,32 MA,18
1150/1180,E3,E3,32 SA,1
1150/1180,W3,W3_1,32 MA,17
1150/1180,W3,W3_1,32 SA,2
1150/1180,W3,W3,32 MA,45
1150/1180,W3,W3,32 SA,9

