Plant,ClubPlant,Destination,Cluster,SubCluster,RDC,DestCategory,RDCCluster,RDCSubCluster,RDCDestCategory,RDCORGTruckType,TruckType,TruckDemandFinal
1150,1150/1180,4000,S,S,,EXPORT,,,,,32 MA,10
1150,1150/1180,4001,S,S,,EXPORT,,,,,32 MA,3
1150,1150/1180,4002,E3,E3,,EXPORT,,,,,32 MA,7
1150,1150/1180,4003,S,S,,EXPORT,,,,,32 MA,10
1150,1150/1180,5001,N4,N4,5050,DEPOT,N5,N5,DEPOT,32 MA,32 MA,0
1150,1150/1180,5002,N4,N4,5050,DEPOT,N5,N5,DEPOT,32 MA,32 MA,1
1150,1150/1180,5004,N4,N4,5050,DEPOT,N5,N5,DEPOT,32 MA,32 MA,0
1150,1150/1180,5006,N4,N4,5050,DEPOT,N5,N5,DEPOT,32 MA,32 MA,0
1150,1150/1180,5040,N6,N6,5040,DEPOT,N6,N6,DEPOT,32 MA,32 MA,0
1150,1150/1180,5040,N6,N6,5040,DEPOT,N6,N6,DEPOT,32 MA,32 SA,2
1150,1150/1180,5050,N5,N5,5050,DEPOT,N5,N5,DEPOT,32 MA,32 MA,1
1150,1150/1180,5050,N5,N5,5050,DEPOT,N5,N5,DEPOT,32 MA,32 SA,1
1150,1150/1180,5051,N6,N6,5050,DEPOT,N5,N5,DEPOT,32 MA,32 MA,3
1150,1150/1180,5052,N5,N5,5040,DEPOT,N6,N6,DEPOT,32 MA,32 MA,0
1150,1150/1180,5053,N5,N5,5040,DEPOT,N6,N6,DEPOT,32 MA,32 MA,0
1150,1150/1180,5054,N4,N4,5050,DEPOT,N5,N5,DEPOT,32 MA,32 MA,2
1150,1150/1180,5055,N5,N5,5050,DEPOT,N5,N5,DEPOT,32 MA,32 MA,1
1150,1150/1180,5061,N5,N5,5040,DEPOT,N6,N6,DEPOT,32 MA,32 MA,1
1150,1150/1180,5071,N4,N4,5050,DEPOT,N5,N5,DEPOT,32 MA,32 MA,0
1150,1150/1180,5101,N6,N6,5120,DEPOT,N6,N6,DEPOT,32 MA,32 MA,0
1150,1150/1180,5102,N6,N6,5120,DEPOT,N6,N6,DEPOT,32 MA,32 MA,0
1150,1150/1180,5103,N6,N6,5120,DEPOT,N6,N6,DEPOT,32 MA,32 MA,0
1150,1150/1180,5104,N6,N6,5120,DEPOT,N6,N6,DEPOT,32 MA,32 MA,1
1150,1150/1180,5105,N6,N6,5120,DEPOT,N6,N6,DEPOT,32 MA,32 MA,0
1150,1150/1180,5106,N6,N6,5120,DEPOT,N6,N6,DEPOT,32 MA,32 MA,1
1150,1150/1180,5107,N6,N6,5050,DEPOT,N5,N5,DEPOT,32 MA,32 MA,0
1150,1150/1180,5108,N6,N6,5120,DEPOT,N6,N6,DEPOT,32 MA,32 MA,0
1150,1150/1180,5109,N6,N6,5120,DEPOT,N6,N6,DEPOT,32 MA,32 MA,0
1150,1150/1180,5111,N6,N6,5120,DEPOT,N6,N6,DEPOT,32 MA,32 MA,0
1150,1150/1180,5112,N6,N6,5120,DEPOT,N6,N6,DEPOT,32 MA,32 MA,0
1150,1150/1180,5114,N6,N6,5120,DEPOT,N6,N6,DEPOT,32 MA,32 MA,0
1150,1150/1180,5115,N4,N4,5050,DEPOT,N5,N5,DEPOT,32 MA,32 MA,0
1150,1150/1180,5116,N6,N6,5120,DEPOT,N6,N6,DEPOT,32 MA,32 MA,0
1150,1150/1180,5120,N6,N6,5120,DEPOT,N6,N6,DEPOT,32 MA,32 MA,1
1150,1150/1180,5120,N6,N6,5120,DEPOT,N6,N6,DEPOT,32 MA,32 SA,1
1150,1150/1180,5151,N4,N4,5050,DEPOT,N5,N5,DEPOT,32 MA,32 MA,1
1150,1150/1180,5152,N4,N4,5050,DEPOT,N5,N5,DEPOT,32 MA,32 MA,2
1150,1150/1180,5153,N4,N4,6200,DEPOT,E3,E3,DEPOT,32 MA,32 MA,0
1150,1150/1180,5155,N4,N4,6200,DEPOT,E3,E3,DEPOT,32 MA,32 MA,1
1150,1150/1180,5156,W4,W4,5050,DEPOT,N5,N5,DEPOT,32 MA,32 MA,0
1150,1150/1180,5157,N4,N4,6200,DEPOT,E3,E3,DEPOT,32 MA,32 MA,0
1150,1150/1180,5201,N4,N4,5050,DEPOT,N5,N5,DEPOT,32 MA,32 MA,1
1150,1150/1180,5202,N4,N4,5050,DEPOT,N5,N5,DEPOT,32 MA,32 MA,1
1150,1150/1180,5203,N4,N4,5120,DEPOT,N6,N6,DEPOT,32 MA,32 MA,2
1150,1150/1180,5206,N4,N4,5050,DEPOT,N5,N5,DEPOT,32 MA,32 MA,1
