Plant,Cluster,SubCluster,Destination,TruckType,DemandTruckFinal,ClubPlant
1150,S,S,4000,32 MA,11,1150/1180
1150,S,S,4001,32 MA,4,1150/1180
1150,S,S,4003,32 MA,6,1150/1180
1150,N4,N4,5001,32 MA,1,1150/1180
1150,N4,N4,5002,32 MA,2,1150/1180
1150,N4,N4,5004,32 MA,1,1150/1180
1150,N4,N4,5006,32 MA,0,1150/1180
1150,N6,N6,5040,32 MA,0,1150/1180
1150,N5,N5,5050,32 MA,1,1150/1180
1150,N5,N5,5050,32 SA,0,1150/1180
1150,N6,N6,5051,32 MA,1,1150/1180
1150,N6,N6,5051,32 SA,0,1150/1180
1150,N5,N5,5052,32 MA,0,1150/1180
1150,N5,N5,5052,32 SA,0,1150/1180
1150,N5,N5,5053,32 MA,1,1150/1180
1150,N4,N4,5054,32 MA,1,1150/1180
1150,N4,N4,5054,32 SA,0,1150/1180
1150,N5,N5,5055,32 MA,0,1150/1180
1150,N5,N5,5061,32 MA,1,1150/1180
1150,N4,N4,5071,32 MA,0,1150/1180
1150,N4,N4,5071,32 SA,0,1150/1180
1150,N6,N6,5101,32 MA,1,1150/1180
1150,N6,N6,5102,32 MA,0,1150/1180
1150,N6,N6,5103,32 MA,0,1150/1180
1150,N6,N6,5104,32 MA,0,1150/1180
1150,N6,N6,5105,32 MA,0,1150/1180
1150,N6,N6,5106,32 MA,0,1150/1180
1150,N6,N6,5106,32 SA,1,1150/1180
1150,N6,N6,5107,32 MA,1,1150/1180
1150,N6,N6,5107,32 SA,0,1150/1180
1150,N6,N6,5108,32 MA,0,1150/1180
1150,N6,N6,5109,32 MA,0,1150/1180
1150,N6,N6,5111,32 MA,0,1150/1180
1150,N6,N6,5112,32 MA,0,1150/1180
1150,N6,N6,5112,32 SA,0,1150/1180
1150,N6,N6,5114,32 MA,0,1150/1180
1150,N6,N6,5114,32 SA,0,1150/1180
1150,N4,N4_1,5115,32 MA,0,1150/1180
1150,N4,N4_1,5115,32 SA,0,1150/1180
1150,N6,N6,5116,32 MA,0,1150/1180
1150,N6,N6,5120,32 MA,0,1150/1180
1150,N6,N6,5120,32 SA,0,1150/1180
1150,N4,N4_1,5151,32 MA,1,1150/1180
1150,N4,N4_1,5151,32 SA,0,1150/1180
1150,N4,N4_1,5152,32 MA,2,1150/1180
1150,N4,N4_1,5153,32 MA,1,1150/1180
1150,N4,N4_1,5153,32 SA,0,1150/1180
1150,N4,N4_1,5155,32 MA,1,1150/1180
1150,N4,N4_1,5155,32 SA,0,1150/1180
1150,W4,W4,5156,32 MA,0,1150/1180
1150,W4,W4,5156,32 SA,0,1150/1180
1150,N4,N4_1,5157,32 MA,0,1150/1180
1150,N4,N4_1,5201,32 MA,2,1150/1180
1150,N4,N4_1,5201,32 SA,0,1150/1180
1150,N4,N4_1,5202,32 MA,0,1150/1180
1150,N4,N4_1,5202,32 SA,0,1150/1180
1150,N4,N4_1,5203,32 MA,1,1150/1180
1150,N4,N4_1,5203,32 SA,0,1150/1180
1150,N4,N4_1,5206,32 MA,1,1150/1180
1150,N4,N4_1,5206,32 SA,0,1150/1180
1150,N5,N5,5251,32 MA,2,1150/1180
1150,N5,N5,5252,32 MA,0,1150/1180
1150,N5,N5,5252,32 SA,0,1150/1180
1150,N5,N5,5301,32 MA,2,1150/1180
1150,N5,N5,5303,18 FT,1,1150/1180
1150,N5,N5,5305,32 MA,1,1150/1180
1150,N5,N5,5306,32 MA,0,1150/1180
1150,N5,N5,5307,32 MA,0,1150/1180
1150,N5,N5,5309,32 MA,0,1150/1180
1150,E4,E4,6000,32 MA,2,1150/1180
1150,E4,E4,6001,32 MA,3,1150/1180
1150,E4,E4,6003,32 MA,2,1150/1180
1150,E4,E4,6003,32 SA,0,1150/1180
1150,E4,E4,6004,32 MA,2,1150/1180
1150,E4,E4,6011,32 MA,1,1150/1180
1150,E4,E4,6011,32 SA,0,1150/1180
1150,E4,E4,6012,18 FT,2,1150/1180
1150,E4,E4,6012,32 SA,0,1150/1180
1150,E4,E4,6013,32 MA,2,1150/1180
1150,E4,E4,6053,32 MA,3,1150/1180
1150,E4,E4,6053,32 SA,0,1150/1180
1150,E4,E4,6102,32 MA,3,1150/1180
1150,E4,E4,6103,18 FT,2,1150/1180
1150,E4,E4,6104,32 MA,1,1150/1180
1150,E4,E4,6105,32 MA,0,1150/1180
1150,E4,E4,6105,32 SA,0,1150/1180
1150,E3,E3,6200,32 MA,0,1150/1180
1150,E3,E3,6201,32 MA,1,1150/1180
1150,E3,E3,6201,32 SA,0,1150/1180
1150,E3,E3,6202,32 MA,2,1150/1180
1150,E3,E3,6203,32 MA,2,1150/1180
1150,E3,E3,6203,32 SA,0,1150/1180
