Plant,Cluster,SubCluster,Destination,TruckType,DemandTruckFinal,ClubPlant
1150,N4,N4,5050,32 MA,0.3314157050203135,1150/1180
1150,N6,N6,5040,32 MA,0.5572008810572441,1150/1180
1150,N5,N5,5050,32 SA,0.022099447513812154,1150/1180
1150,N6,N6,5050,32 MA,0.19849964230132922,1150/1180
1150,N6,N6,5050,32 SA,0.14432989690721648,1150/1180
1150,N5,N5,5040,32 MA,0.4355257338675531,1150/1180
1150,N5,N5,5040,32 SA,0.6,1150/1180
1150,N4,N4,5050,32 MA,0.5670731793625834,1150/1180
1150,N4,N4,5050,32 SA,0.061855670103092786,1150/1180
1150,N5,N5,5050,32 MA,0.5747158433781351,1150/1180
1150,N4,N4,5050,32 MA,0.40475079193679764,1150/1180
1150,N4,N4,5050,32 SA,0.03913707521954944,1150/1180
1150,N6,N6,5120,32 MA,0.41940527524059246,1150/1180
1150,N6,N6,5120,32 MA,0.4398816059695024,1150/1180
1150,N6,N6,5120,32 MA,0.42705296383954666,1150/1180
1150,N6,N6,5120,32 MA,0.06678867087096145,1150/1180
1150,N6,N6,5120,32 MA,0.6252155269404411,1150/1180
1150,N6,N6,5050,32 MA,0.5581531746192196,1150/1180
1150,N6,N6,5050,32 SA,0.08247422680412371,1150/1180
1150,N6,N6,5120,32 MA,0.09136943528368872,1150/1180
1150,N6,N6,5120,32 MA,0.21733934804969188,1150/1180
1150,N6,N6,5120,32 MA,0.0463567628309663,1150/1180
1150,N6,N6,5120,32 MA,0.4471588765053453,1150/1180
1150,N6,N6,5120,32 SA,0.20043498530711606,1150/1180
1150,N6,N6,5120,32 MA,0.3609657098565527,1150/1180
1150,N6,N6,5120,32 SA,0.4553264604810996,1150/1180
1150,N4,N4_1,5050,32 MA,0.17566395934527043,1150/1180
1150,N4,N4_1,5050,32 SA,0.24587217507420275,1150/1180
1150,N6,N6,5120,32 MA,0.34438396066480986,1150/1180
1150,N6,N6,5120,32 MA,0.21123096652117845,1150/1180
1150,N6,N6,5120,32 SA,0.03314917127071823,1150/1180
1150,N4,N4_1,5050,32 MA,0.5836414875648928,1150/1180
1150,N4,N4_1,5050,32 SA,0.09259259259259259,1150/1180
1150,N4,N4_1,5050,32 MA,0.7114278199663944,1150/1180
1150,N4,N4_1,6200,32 MA,0.08354469336169656,1150/1180
1150,N4,N4_1,6200,32 SA,0.2,1150/1180
