Plant,ClubPlants,Cluster,SubCLuster,TruckType,Destination,operator,Part,Date
1150,1150/1180,E4,E4,32 MA,6012,ANAND,SG2,6
1150,1150/1180,E3,E3,32 MA,4002,ANAND,SG1,1
1150,1150/1180,E3,E3,32 MA,4002,ANAND,SG1,3
1150,1150/1180,E3,E3,32 MA,4002,ANAND,SG2,8
1150,1150/1180,E4,E4,32 MA,6000,ANAND,SG1,5
1150,1150/1180,E4,E4,32 MA,6000,ANAND,SG1,2
1150,1150/1180,E4,E4,32 MA,6001,ANAND,SG1,4
1150,1150/1180,E4,E4,32 MA,6003,ANAND,SG1,1
1150,1150/1180,E4,E4,32 MA,6004,ANAND,SG2,10
1150,1150/1180,E4,E4,32 MA,6011,ANAND,SG2,7
1150,1150/1180,W3,W3,32 MA,7150,APML,SG2,9
1150,1150/1180,W3,W3_1,32 MA,7000,APML,SG1,3
1150,1150/1180,W3,W3_1,32 MA,7001,APML,SG1,5
1150,1150/1180,W3,W3_1,32 MA,7002,APML,SG2,6
1150,1150/1180,W3,W3,32 MA,7102,APML,SG1,2
1150,1150/1180,W3,W3,32 MA,7102,APML,SG1,4
1150,1150/1180,W3,W3,32 MA,7103,APML,SG1,1
1150,1150/1180,W3,W3,32 MA,7105,APML,SG2,8
1150,1150/1180,N4,N4,32 MA,5155,COSMO,SG2,10
1150,1150/1180,S,S,32 MA,4003,COSMO,SG1,3
1180,1150/1180,S,S,32 MA,8300,COSMO,SG1,5
1150,1150/1180,S,S,32 MA,4003,COSMO,SG1,2
1150,1150/1180,S,S,32 MA,8001,COSMO,SG1,4
1150,1150/1180,S,S,32 MA,8003,COSMO,SG1,1
1150,1150/1180,S,S,32 MA,8006,COSMO,SG1,3
1150,1150/1180,S,S,32 MA,8053,COSMO,SG1,5
1150,1150/1180,S,S,32 MA,8104,COSMO,SG1,2
1150,1150/1180,S,S,32 MA,8150,COSMO,SG1,4
1150,1150/1180,S,S,32 MA,4000,COSMO,SG1,1
1180,1150/1180,S,S,32 MA,8300,COSMO,SG1,3
1150,1150/1180,S,S,32 MA,8150,COSMO,SG1,5
1150,1150/1180,S,S,32 MA,4001,COSMO,SG1,2
1180,1150/1180,S,S,32 MA,8150,COSMO,SG1,4
1150,1150/1180,S,S,32 MA,8150,COSMO,SG1,1
1150,1150/1180,S,S,32 MA,4000,COSMO,SG1,3
1150,1150/1180,S,S,32 MA,4003,COSMO,SG1,5
1150,1150/1180,S,S,32 MA,8150,COSMO,SG1,2
1180,1150/1180,S,S,32 MA,8300,COSMO,SG2,7
1150,1150/1180,S,S,32 MA,8151,COSMO,SG1,4
1150,1150/1180,S,S,32 MA,4003,COSMO,SG1,1
1150,1150/1180,S,S,32 MA,4000,COSMO,SG1,3
1150,1150/1180,S,S,32 MA,8151,COSMO,SG1,5
1150,1150/1180,S,S,32 MA,8151,COSMO,SG1,2
1150,1150/1180,S,S,32 MA,8153,COSMO,SG1,4
1150,1150/1180,S,S,32 MA,8153,COSMO,SG1,1
1150,1150/1180,S,S,32 MA,8153,COSMO,SG1,3
1150,1150/1180,S,S,32 MA,8153,COSMO,SG1,5
1150,1150/1180,S,S,32 MA,4000,COSMO,SG1,2
1150,1150/1180,S,S,32 MA,8155,COSMO,SG1,4
1150,1150/1180,S,S,32 MA,8155,COSMO,SG1,1
1150,1150/1180,S,S,32 MA,8156,COSMO,SG1,3
1150,1150/1180,N4,N4,32 MA,5054,COSMO,SG1,5
1150,1150/1180,S,S,32 MA,8156,COSMO,SG1,2
1150,1150/1180,N4,N4,32 MA,5002,COSMO,SG1,4
1150,1150/1180,S,S,32 MA,8156,COSMO,SG1,1
1150,1150/1180,S,S,32 MA,8251,COSMO,SG1,3
1150,1150/1180,S,S,32 MA,8251,COSMO,SG1,5
1180,1150/1180,S,S,32 MA,8300,COSMO,SG1,2
1150,1150/1180,S,S,32 MA,8251,COSMO,SG1,4
1150,1150/1180,S,S,32 MA,8251,COSMO,SG1,1
1150,1150/1180,S,S,32 MA,8251,COSMO,SG1,3
1150,1150/1180,S,S,32 MA,8251,COSMO,SG2,9
1150,1150/1180,S,S,32 MA,8251,COSMO,SG2,6
1150,1150/1180,S,S,32 MA,8253,COSMO,SG2,8
1150,1150/1180,S,S,32 MA,8254,COSMO,SG2,10
1150,1150/1180,S,S,32 MA,4003,COSMO,SG1,5
1150,1150/1180,S,S,32 MA,8255,COSMO,SG2,7
1150,1150/1180,S,S,32 MA,4000,COSMO,SG1,2
1150,1150/1180,S,S,32 MA,8255,COSMO,SG2,9
1150,1150/1180,S,S,32 MA,400311,COSMO,SG2,6
1150,1150/1180,S,S,32 MA,8255,COSMO,SG2,8
1150,1150/1180,S,S,32 MA,400311,COSMO,SG2,10
1150,1150/1180,S,S,32 MA,8255,COSMO,SG2,7
1150,1150/1180,S,S,32 MA,8256,COSMO,SG2,9
1150,1150/1180,S,S,32 MA,400063,COSMO,SG2,6
1150,1150/1180,S,S,32 MA,8256,COSMO,SG2,8
1150,1150/1180,S,S,32 MA,400061,COSMO,SG2,10
1150,1150/1180,S,S,32 MA,400031,COSMO,SG2,7
1150,1150/1180,S,S,32 MA,8257,COSMO,SG2,9
1150,1150/1180,S,S,32 MA,8258,COSMO,SG2,6
1150,1150/1180,S,S,32 MA,8300,COSMO,SG2,8
1150,1150/1180,S,S,32 MA,8300,COSMO,SG2,10
1150,1150/1180,S,S,32 MA,400031,COSMO,SG2,7
1150,1150/1180,S,S,32 MA,8300,COSMO,SG2,9
1150,1150/1180,S,S,32 MA,8300,COSMO,SG2,6
1150,1150/1180,S,S,32 MA,8300,COSMO,SG2,8
1150,1150/1180,S,S,32 MA,8300,COSMO,SG2,10
1150,1150/1180,S,S,32 MA,8300,COSMO,SG2,7
1150,1150/1180,S,S,32 MA,8305,COSMO,SG2,9
1150,1150/1180,S,S,32 MA,8351,COSMO,SG2,6
1150,1150/1180,S,S,32 MA,8352,COSMO,SG2,8
1150,1150/1180,S,S,32 MA,8353,COSMO,SG2,10
1150,1150/1180,S,S,32 MA,400024,COSMO,SG2,7
1150,1150/1180,S,S,32 MA,400031,COSMO,SG2,9
1150,1150/1180,S,S,32 MA,400031,COSMO,SG2,6
1150,1150/1180,N4,N4,32 MA,5152,DBRC,SG1,4
1150,1150/1180,N6,N6,32 MA,5040,DBRC,SG1,1
1150,1150/1180,N4,N4,32 MA,5151,DBRC,SG1,3
1150,1150/1180,N6,N6,32 MA,5040,DBRC,SG2,8
1150,1150/1180,N4,N4,32 MA,5202,DBRC,SG2,10
1150,1150/1180,N5,N5,32 MA,5050,DBRC,SG2,7
1150,1150/1180,N6,N6,32 MA,5040,DBRC,SG1,5
1150,1150/1180,N5,N5,32 MA,5050,DBRC,SG1,2
