Plant,Cluster,SubCluster,Operator,TruckType,Part2,Allocation
1150/1180,N4,N4,COSMO,32 MA,SG1,1
1150/1180,N4,N4,COSMO,32 MA,SG2,1
1150/1180,N4,N4,DBRC,32 MA,SG1,1
1150/1180,N4,N4,DBRC,32 MA,SG2,2
1150/1180,N4,N4,EXPRESS,32 MA,SG1,4
1150/1180,N4,N4,EXPRESS,32 MA,SG2,4
1150/1180,N4,N4,LG BROTHERS,32 MA,SG1,3
1150/1180,N4,N4,LG BROTHERS,32 MA,SG2,4
1150/1180,N4,N4,RCI,32 MA,SG1,5
1150/1180,N4,N4,RCI,32 MA,SG2,6
1150/1180,N4,N4,VARUNA,32 MA,SG1,5
1150/1180,N4,N4,VARUNA,32 MA,SG2,6
1150/1180,N5,N5,DBRC,32 MA,SG1,1
1150/1180,N5,N5,DBRC,32 MA,SG2,1
1150/1180,N5,N5,DRS,32 MA,SG1,1
1150/1180,N5,N5,DRS,32 MA,SG2,2
1150/1180,N5,N5,LG BROTHERS,32 MA,SG1,2
1150/1180,N5,N5,LG BROTHERS,32 MA,SG2,2
1150/1180,N5,N5,RCI,32 MA,SG1,2
1150/1180,N5,N5,RCI,32 MA,SG2,3
1150/1180,N5,N5,VARUNA,32 MA,SG1,2
1150/1180,N5,N5,VARUNA,32 MA,SG2,3
1150/1180,N6,N6,DBRC,32 MA,SG1,1
1150/1180,N6,N6,DBRC,32 MA,SG2,1
1150/1180,N6,N6,DRS,32 MA,SG1,2
1150/1180,N6,N6,DRS,32 MA,SG2,2
1150/1180,N6,N6,LG BROTHERS,32 MA,SG1,2
1150/1180,N6,N6,LG BROTHERS,32 MA,SG2,2
1150/1180,N6,N6,RCI,32 MA,SG1,2
1150/1180,N6,N6,RCI,32 MA,SG2,2
1150/1180,N6,N6,VARUNA,32 MA,SG1,2
1150/1180,N6,N6,VARUNA,32 MA,SG2,2
1150/1180,W3,W3,APML,32 MA,SG1,2
1150/1180,W3,W3,APML,32 MA,SG2,3
1150/1180,W3,W3_1,APML,32 MA,SG1,1
1150/1180,W3,W3_1,APML,32 MA,SG2,1
1150/1180,W3,W3,DGFC,32 MA,SG1,3
1150/1180,W3,W3,DGFC,32 MA,SG2,3
1150/1180,W3,W3_1,DGFC,32 MA,SG1,1
1150/1180,W3,W3_1,DGFC,32 MA,SG2,2
1150/1180,W3,W3,EAST INDIA,32 MA,SG1,2
1150/1180,W3,W3,EAST INDIA,32 MA,SG2,3
1150/1180,W3,W3_1,EAST INDIA,32 MA,SG1,1
1150/1180,W3,W3_1,EAST INDIA,32 MA,SG2,2
1150/1180,W3,W3,EXPRESS,32 MA,SG1,6
1150/1180,W3,W3,EXPRESS,32 MA,SG2,6
1150/1180,W3,W3_1,EXPRESS,32 MA,SG1,2
1150/1180,W3,W3_1,EXPRESS,32 MA,SG2,2
1150/1180,W3,W3,MEGA,32 MA,SG1,3
1150/1180,W3,W3,MEGA,32 MA,SG2,4
1150/1180,W3,W3_1,MEGA,32 MA,SG2,1
1150/1180,W3,W3,RCI,32 MA,SG1,3
1150/1180,W3,W3,RCI,32 MA,SG2,3
1150/1180,W3,W3_1,RCI,32 MA,SG1,2
1150/1180,W3,W3_1,RCI,32 MA,SG2,2
1150/1180,W3,W3,SWASTIK,32 MA,SG1,2
1150/1180,W3,W3,SWASTIK,32 MA,SG2,2
1150/1180,W4,W4,RCI,32 MA,SG1,5
1150/1180,W4,W4,RCI,32 MA,SG2,7
