Plant,ClubPlant,Destination,Cluster,SubCluster,RDC,DestCategory,PreferredTruckType,ORGTruckType,RDCCluster,RDCSubCluster,RDCDestCategory,RDCORGTruckType,TruckType,DemandTruck,FullTruckDemand,PartialTruckDemand,PartialTruckDemand_PreferredTruckType
1110,1110,4000,S,S,,EXPORT,18 FT,32 MA,,,,,18 FT,22.62278865933725,23,0,0
1110,1110,4001,S,S,,EXPORT,18 FT,32 MA,,,,,18 FT,19.77376397515528,20,0,0
1110,1110,4002,E1,E1,,EXPORT,32 MA,32 MA,,,,,18 FT,5.3120652173913046,6,0,0
1110,1110,4003,S,S,,EXPORT,18 FT,32 MA,,,,,18 FT,29.96183850931677,30,0,0
1110,1110,5040,N3,N3,5040,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,18 FT,4.0155,4,0.015500000000000291,0.007750000000000146
1110,1110,5050,N2,N2,5050,DEPOT,32 MA,32 MA,N2,N2,DEPOT,32 MA,18 FT,2.8724285714285718,2,0.8724285714285718,0.4362142857142859
1110,1110,5051,N3,N3,5050,DEPOT,32 MA,32 MA,N2,N2,DEPOT,32 MA,18 FT,0.045,0,0.045,0.0225
1110,1110,5053,N2,N2,5040,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,18 FT,0.46622222222222226,0,0.46622222222222226,0.23311111111111113
1110,1110,5054,N1,N1,5050,DEPOT,32 MA,32 MA,N2,N2,DEPOT,32 MA,18 FT,0.23928571428571427,0,0.23928571428571427,0.11964285714285713
1110,1110,5055,N2,N2,5050,DEPOT,32 MA,32 MA,N2,N2,DEPOT,32 MA,18 FT,0.28,0,0.28,0.14
1110,1110,5061,N2,N2,5040,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,18 FT,0.23444444444444446,0,0.23444444444444446,0.11722222222222223
1110,1110,5071,N1,N1,5050,DEPOT,32 MA,32 MA,N2,N2,DEPOT,32 MA,18 FT,0.16533333333333333,0,0.16533333333333333,0.08266666666666667
1110,1110,5101,N3,N3,5120,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,18 FT,0.14285714285714285,0,0.14285714285714285,0.07142857142857142
1110,1110,5102,N3,N3,5120,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,18 FT,0.235,0,0.235,0.1175
1110,1110,5104,N3,N3,5120,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,18 FT,0.02,0,0.02,0.01
1110,1110,5106,N3,N3,5120,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,18 FT,0.226,0,0.226,0.113
1110,1110,5112,N3,N3,5120,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,18 FT,0.5742857142857143,0,0.5742857142857143,0.28714285714285714
1110,1110,5114,N3,N3,5120,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,18 FT,0.02857142857142857,0,0.02857142857142857,0.014285714285714285
1110,1110,5115,N1,N1_1,5050,DEPOT,32 MA,32 MA,N2,N2,DEPOT,32 MA,18 FT,0.108,0,0.108,0.054
1110,1110,5116,N3,N3,5120,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,18 FT,0.17142857142857143,0,0.17142857142857143,0.08571428571428572
1110,1110,5120,N3,N3,5120,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,18 FT,4.297109243697479,4,0.29710924369747893,0.14855462184873947
1110,1110,5151,N1,N1_1,5050,DEPOT,32 MA,32 MA,N2,N2,DEPOT,32 MA,18 FT,0.6751428571428572,0,0.6751428571428572,0.3375714285714286
1110,1110,5152,N1,N1_1,5050,DEPOT,32 MA,32 MA,N2,N2,DEPOT,32 MA,18 FT,0.9711111111111111,0,0.9711111111111111,0.4855555555555556
1110,1110,5153,N1,N1_1,6200,DEPOT,32 MA,32 MA,E1,E1,DEPOT,32 MA,18 FT,0.305,0,0.305,0.1525
1110,1110,5155,N1,N1_1,6200,DEPOT,32 MA,32 MA,E1,E1,DEPOT,32 MA,18 FT,2.2896666666666667,2,0.28966666666666674,0.14483333333333337
1110,1110,5156,W2,W2,5050,DEPOT,32 MA,32 MA,N2,N2,DEPOT,32 MA,18 FT,0.045,0,0.045,0.0225
1110,1110,5157,N1,N1_1,6200,DEPOT,32 MA,32 MA,E1,E1,DEPOT,32 MA,18 FT,0.3018571428571428,0,0.3018571428571428,0.1509285714285714
1110,1110,5201,N1,N1_1,5050,DEPOT,32 MA,32 MA,N2,N2,DEPOT,32 MA,18 FT,0.8998412698412699,0,0.8998412698412699,0.44992063492063494
1110,1110,5202,N1,N1_1,5050,DEPOT,32 MA,32 MA,N2,N2,DEPOT,32 MA,18 FT,0.16666666666666666,0,0.16666666666666666,0.08333333333333333
1110,1110,5203,N1,N1_1,5120,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,18 FT,0.09,0,0.09,0.045
1110,1110,5206,N1,N1_1,5050,DEPOT,32 MA,32 MA,N2,N2,DEPOT,32 MA,18 FT,2.715722222222222,2,0.7157222222222219,0.35786111111111096
1110,1110,5251,N2,N2,5050,DEPOT,32 MA,32 MA,N2,N2,DEPOT,32 MA,18 FT,0.0625,0,0.0625,0.03125
1110,1110,5252,N2,N2,5040,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,18 FT,0.068,0,0.068,0.034
1110,1110,5301,N2,N2,5040,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,18 FT,2.3175,2,0.3174999999999999,0.15874999999999995
1110,1110,5303,N2,N2,5040,DEPOT,18 FT,18 FT,N3,N3,DEPOT,32 MA,18 FT,0.0125,0,0.0125,0.0125
1110,1110,5305,N2,N2,5040,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,18 FT,0.52,0,0.52,0.26
1110,1110,5306,N2,N2,5040,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,18 FT,0.49,0,0.49,0.245
1110,1110,5307,N2,N2,5040,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,18 FT,0.3610714285714286,0,0.3610714285714286,0.1805357142857143
1110,1110,5309,N2,N2,5040,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,18 FT,0.2542857142857143,0,0.2542857142857143,0.12714285714285714
1110,1110,6000,E2,E2,6000,DEPOT,32 MA,32 MA,E2,E2,DEPOT,32 MA,18 FT,2.6612080745341617,2,0.6612080745341617,0.3306040372670809
1110,1110,6001,E2,E2,6000,DEPOT,32 MA,32 MA,E2,E2,DEPOT,32 MA,18 FT,2.384893280632411,2,0.384893280632411,0.1924466403162055
1110,1110,6003,E2,E2,6000,DEPOT,32 MA,32 MA,E2,E2,DEPOT,32 MA,18 FT,2.8699999999999997,2,0.8699999999999997,0.43499999999999983
1110,1110,6004,E2,E2,6000,DEPOT,32 MA,32 MA,E2,E2,DEPOT,32 MA,18 FT,3.3125372670807454,3,0.31253726708074536,0.15626863354037268
1110,1110,6011,E2,E2,6000,DEPOT,32 MA,32 MA,E2,E2,DEPOT,32 MA,18 FT,1.3772608695652175,1,0.37726086956521754,0.18863043478260877
1110,1110,6012,E2,E2,6000,DEPOT,18 FT,18 FT,E2,E2,DEPOT,32 MA,18 FT,1.9049565217391304,1,0.9049565217391304,0.9049565217391304
