Plant,ClubPlant,Destination,Cluster,SubCluster,RDC,DestCategory,RDCCluster,RDCSubCluster,RDCDestCategory,RDCORGTruckType,TruckType,TruckDemandFinal
1110,1110,4000,S,S,,EXPORT,,,,,18 FT,23
1110,1110,4001,S,S,,EXPORT,,,,,18 FT,20
1110,1110,4002,E1,E1,,EXPORT,,,,,18 FT,6
1110,1110,4003,S,S,,EXPORT,,,,,18 FT,30
1110,1110,5040,N3,N3,5040,DEPOT,N3,N3,DEPOT,32 MA,18 FT,4
1110,1110,5040,N3,N3,5040,DEPOT,N3,N3,DEPOT,32 MA,32 MA,0
1110,1110,5050,N2,N2,5050,DEPOT,N2,N2,DEPOT,32 MA,18 FT,2
1110,1110,5050,N2,N2,5050,DEPOT,N2,N2,DEPOT,32 MA,32 MA,0
1110,1110,5051,N3,N3,5050,DEPOT,N2,N2,DEPOT,32 MA,32 MA,0
1110,1110,5053,N2,N2,5040,DEPOT,N3,N3,DEPOT,32 MA,32 MA,0
1110,1110,5054,N1,N1,5050,DEPOT,N2,N2,DEPOT,32 MA,32 MA,0
1110,1110,5055,N2,N2,5050,DEPOT,N2,N2,DEPOT,32 MA,32 MA,0
1110,1110,5061,N2,N2,5040,DEPOT,N3,N3,DEPOT,32 MA,32 MA,0
1110,1110,5071,N1,N1,5050,DEPOT,N2,N2,DEPOT,32 MA,32 MA,0
1110,1110,5101,N3,N3,5120,DEPOT,N3,N3,DEPOT,32 MA,32 MA,0
1110,1110,5102,N3,N3,5120,DEPOT,N3,N3,DEPOT,32 MA,32 MA,0
1110,1110,5104,N3,N3,5120,DEPOT,N3,N3,DEPOT,32 MA,32 MA,0
1110,1110,5106,N3,N3,5120,DEPOT,N3,N3,DEPOT,32 MA,32 MA,0
1110,1110,5112,N3,N3,5120,DEPOT,N3,N3,DEPOT,32 MA,32 MA,0
1110,1110,5114,N3,N3,5120,DEPOT,N3,N3,DEPOT,32 MA,32 MA,0
1110,1110,5115,N1,N1_1,5050,DEPOT,N2,N2,DEPOT,32 MA,32 MA,0
1110,1110,5116,N3,N3,5120,DEPOT,N3,N3,DEPOT,32 MA,32 MA,0
1110,1110,5120,N3,N3,5120,DEPOT,N3,N3,DEPOT,32 MA,18 FT,4
1110,1110,5120,N3,N3,5120,DEPOT,N3,N3,DEPOT,32 MA,32 MA,0
1110,1110,5151,N1,N1_1,5050,DEPOT,N2,N2,DEPOT,32 MA,32 MA,0
1110,1110,5152,N1,N1_1,5050,DEPOT,N2,N2,DEPOT,32 MA,32 MA,0
1110,1110,5153,N1,N1_1,6200,DEPOT,E1,E1,DEPOT,32 MA,32 MA,0
1110,1110,5155,N1,N1_1,6200,DEPOT,E1,E1,DEPOT,32 MA,18 FT,2
1110,1110,5155,N1,N1_1,6200,DEPOT,E1,E1,DEPOT,32 MA,32 MA,0
1110,1110,5156,W2,W2,5050,DEPOT,N2,N2,DEPOT,32 MA,32 MA,0
1110,1110,5157,N1,N1_1,6200,DEPOT,E1,E1,DEPOT,32 MA,32 MA,0
1110,1110,5201,N1,N1_1,5050,DEPOT,N2,N2,DEPOT,32 MA,32 MA,0
1110,1110,5202,N1,N1_1,5050,DEPOT,N2,N2,DEPOT,32 MA,32 MA,0
1110,1110,5203,N1,N1_1,5120,DEPOT,N3,N3,DEPOT,32 MA,32 MA,0
1110,1110,5206,N1,N1_1,5050,DEPOT,N2,N2,DEPOT,32 MA,18 FT,2
1110,1110,5206,N1,N1_1,5050,DEPOT,N2,N2,DEPOT,32 MA,32 MA,0
1110,1110,5251,N2,N2,5050,DEPOT,N2,N2,DEPOT,32 MA,32 MA,0
1110,1110,5252,N2,N2,5040,DEPOT,N3,N3,DEPOT,32 MA,32 MA,0
1110,1110,5301,N2,N2,5040,DEPOT,N3,N3,DEPOT,32 MA,18 FT,2
1110,1110,5301,N2,N2,5040,DEPOT,N3,N3,DEPOT,32 MA,32 MA,0
1110,1110,5303,N2,N2,5040,DEPOT,N3,N3,DEPOT,32 MA,18 FT,0
1110,1110,5305,N2,N2,5040,DEPOT,N3,N3,DEPOT,32 MA,32 MA,0
1110,1110,5306,N2,N2,5040,DEPOT,N3,N3,DEPOT,32 MA,32 MA,0
1110,1110,5307,N2,N2,5040,DEPOT,N3,N3,DEPOT,32 MA,32 MA,0
1110,1110,5309,N2,N2,5040,DEPOT,N3,N3,DEPOT,32 MA,32 MA,0
1110,1110,6000,E2,E2,6000,DEPOT,E2,E2,DEPOT,32 MA,18 FT,2
1110,1110,6000,E2,E2,6000,DEPOT,E2,E2,DEPOT,32 MA,32 MA,0
1110,1110,6001,E2,E2,6000,DEPOT,E2,E2,DEPOT,32 MA,18 FT,2
1110,1110,6001,E2,E2,6000,DEPOT,E2,E2,DEPOT,32 MA,32 MA,0
1110,1110,6003,E2,E2,6000,DEPOT,E2,E2,DEPOT,32 MA,18 FT,2
1110,1110,6003,E2,E2,6000,DEPOT,E2,E2,DEPOT,32 MA,32 MA,0
1110,1110,6004,E2,E2,6000,DEPOT,E2,E2,DEPOT,32 MA,18 FT,3
1110,1110,6004,E2,E2,6000,DEPOT,E2,E2,DEPOT,32 MA,32 MA,0
1110,1110,6011,E2,E2,6000,DEPOT,E2,E2,DEPOT,32 MA,18 FT,1
1110,1110,6011,E2,E2,6000,DEPOT,E2,E2,DEPOT,32 MA,32 MA,0
1110,1110,6012,E2,E2,6000,DEPOT,E2,E2,DEPOT,32 MA,18 FT,2
1110,1110,6013,E2,E2,6000,DEPOT,E2,E2,DEPOT,32 MA,18 FT,2
1110,1110,6013,E2,E2,6000,DEPOT,E2,E2,DEPOT,32 MA,32 MA,0
1110,1110,6053,E2,E2,6053,DEPOT,E2,E2,DEPOT,32 MA,18 FT,2
1110,1110,6053,E2,E2,6053,DEPOT,E2,E2,DEPOT,32 MA,32 MA,0
1110,1110,6102,E2,E2,6000,DEPOT,E2,E2,DEPOT,32 MA,18 FT,3
1110,1110,6102,E2,E2,6000,DEPOT,E2,E2,DEPOT,32 MA,32 MA,0
1110,1110,6103,E2,E2,6000,DEPOT,E2,E2,DEPOT,32 MA,18 FT,1
1110,1110,6104,E2,E2,6000,DEPOT,E2,E2,DEPOT,32 MA,18 FT,1
1110,1110,6104,E2,E2,6000,DEPOT,E2,E2,DEPOT,32 MA,32 MA,0
1110,1110,6200,E1,E1,6200,DEPOT,E1,E1,DEPOT,32 MA,18 FT,1
1110,1110,6200,E1,E1,6200,DEPOT,E1,E1,DEPOT,32 MA,32 MA,0
1110,1110,6201,E1,E1,6200,DEPOT,E1,E1,DEPOT,32 MA,32 MA,0
1110,1110,6202,E1,E1,6200,DEPOT,E1,E1,DEPOT,32 MA,32 MA,0
1110,1110,6203,E1,E1,6200,DEPOT,E1,E1,DEPOT,32 MA,18 FT,2
1110,1110,6203,E1,E1,6200,DEPOT,E1,E1,DEPOT,32 MA,32 MA,0
1110,1110,6204,E1,E1,6200,DEPOT,E1,E1,DEPOT,32 MA,18 FT,1
1110,1110,6204,E1,E1,6200,DEPOT,E1,E1,DEPOT,32 MA,32 MA,0
1110,1110,6205,E1,E1,6200,DEPOT,E1,E1,DEPOT,32 MA,32 MA,0
1110,1110,6206,E1,E1,6200,DEPOT,E1,E1,DEPOT,32 MA,18 FT,1
1110,1110,6206,E1,E1,6200,DEPOT,E1,E1,DEPOT,32 MA,32 MA,0
1110,1110,6207,E1,E1,6200,DEPOT,E1,E1,DEPOT,32 MA,32 MA,0
1110,1110,7000,W1,W1_1,7000,DEPOT,W1,W1_1,DEPOT,32 MA,32 MA,0
1110,1110,7002,W1,W1_1,7000,DEPOT,W1,W1_1,DEPOT,32 MA,32 MA,0
1110,1110,7051,W1,W1_1,7000,DEPOT,W1,W1_1,DEPOT,32 MA,32 MA,0
1110,1110,7102,W1,W1,7102,DEPOT,W1,W1,DEPOT,32 MA,32 MA,0
1110,1110,7103,W1,W1,7150,DEPOT,W1,W1,DEPOT,32 MA,32 MA,0
1110,1110,7150,W1,W1,7150,DEPOT,W1,W1,DEPOT,32 MA,32 MA,0
1110,1110,7151,W1,W1,7150,DEPOT,W1,W1,DEPOT,32 MA,32 MA,0
1110,1110,7152,W1,W1,7152,DEPOT,W1,W1,DEPOT,32 MA,32 MA,0
1110,1110,7155,W1,W1,7150,DEPOT,W1,W1,DEPOT,32 MA,32 MA,0
1110,1110,7250,W2,W2,7250,DEPOT,W2,W2,DEPOT,32 MA,18 FT,1
1110,1110,7250,W2,W2,7250,DEPOT,W2,W2,DEPOT,32 MA,32 MA,0
1110,1110,7251,W2,W2,7250,DEPOT,W2,W2,DEPOT,32 MA,32 MA,0
1110,1110,7252,W2,W2,7250,DEPOT,W2,W2,DEPOT,32 MA,32 MA,0
1110,1110,7253,W2,W2,5050,DEPOT,N2,N2,DEPOT,32 MA,32 MA,0
1110,1110,7254,W2,W2,7250,DEPOT,W2,W2,DEPOT,32 MA,32 MA,0
1110,1110,7301,W2,W2,7250,DEPOT,W2,W2,DEPOT,32 MA,32 MA,0
1110,1110,7302,W2,W2,7302,DEPOT,W2,W2,DEPOT,32 MA,32 MA,0
1110,1110,8001,S,S,8300,DEPOT,S,S,DEPOT,32 MA,32 MA,0
1110,1110,8002,S,S,8300,DEPOT,S,S,DEPOT,32 MA,18 FT,0
1110,1110,8003,S,S,8300,DEPOT,S,S,DEPOT,32 MA,18 FT,1
1110,1110,8004,S,S,8300,DEPOT,S,S,DEPOT,32 MA,18 FT,0
1110,1110,8005,S,S,8300,DEPOT,S,S,DEPOT,32 MA,18 FT,1
1110,1110,8006,S,S,8300,DEPOT,S,S,DEPOT,32 MA,32 MA,0
1110,1110,8051,S,S,7150,DEPOT,W1,W1,DEPOT,32 MA,18 FT,0
1110,1110,8052,S,S,7150,DEPOT,W1,W1,DEPOT,32 MA,18 FT,0
1110,1110,8054,S,S,8150,DEPOT,S,S,DEPOT,32 MA,18 FT,0
1110,1110,8055,S,S,8150,DEPOT,S,S,DEPOT,32 MA,18 FT,0
1110,1110,8102,S,S,8300,DEPOT,S,S,DEPOT,32 MA,18 FT,0
1110,1110,8103,S,S,8300,DEPOT,S,S,DEPOT,32 MA,18 FT,0
