ClubPlant,Plant,Cluster,SubCluster,TruckType,Destination,DemandTruckFinal
1110,1110,S,S,18 FT,4000,23
1110,1110,S,S,18 FT,4001,20
1110,1110,S,S,18 FT,4003,30
1110,1110,S,S,18 FT,8003,1
1110,1110,S,S,18 FT,8005,1
1110,1110,S,S,18 FT,8150,4
1110,1110,S,S,18 FT,8156,1
1110,1110,S,S,18 FT,8251,2
1110,1110,S,S,18 FT,8252,2
1110,1110,S,S,18 FT,8255,1
1110,1110,S,S,18 FT,8256,1
1110,1110,S,S,18 FT,8300,5
1110,1110,S,S,18 FT,8301,1
1110,1110,S,S,18 FT,8303,1
1110,1110,S,S,18 FT,8304,1
1110,1110,S,S,18 FT,8305,1
1110,1110,S,S,18 FT,8306,1
1110,1110,S,S,18 FT,8351,1
1110,1110,S,S,18 FT,8353,1
1110,1110,S,S,18 FT,8354,2
1110,1110,S,S,18 FT,8355,1
1110,1110,S,S,18 FT,8356,1
1110,1110,S,S,18 FT,400024,6
1110,1110,S,S,18 FT,400047,6
1110,1110,S,S,18 FT,400054,4
1110,1110,S,S,18 FT,400063,2
1110,1110,S,S,32 MA,8150,3
1110,1110,S,S,32 MA,8300,5
1110,1110,E1,E1,18 FT,4002,6
1110,1110,E1,E1,18 FT,6200,1
1110,1110,E1,E1,18 FT,6203,2
1110,1110,E1,E1,18 FT,6204,1
1110,1110,E1,E1,18 FT,6206,1
1110,1110,E1,E1,32 MA,6200,2
1110,1110,N3,N3,18 FT,5040,4
1110,1110,N3,N3,18 FT,5120,4
1110,1110,N3,N3,32 MA,5040,2
1110,1110,N3,N3,32 MA,5120,1
1110,1110,N2,N2,18 FT,5050,2
1110,1110,N2,N2,18 FT,5301,2
1110,1110,N2,N2,18 FT,400044,2
1110,1110,N2,N2,32 MA,5050,3
1110,1110,N1,N1_1,18 FT,5155,2
1110,1110,N1,N1_1,18 FT,5206,2
1110,1110,N1,N1,18 FT,400057,5
1110,1110,E2,E2,18 FT,6000,2
1110,1110,E2,E2,18 FT,6001,2
1110,1110,E2,E2,18 FT,6003,2
1110,1110,E2,E2,18 FT,6004,3
1110,1110,E2,E2,18 FT,6011,1
1110,1110,E2,E2,18 FT,6012,2
1110,1110,E2,E2,18 FT,6013,2
1110,1110,E2,E2,18 FT,6053,2
1110,1110,E2,E2,18 FT,6102,3
1110,1110,E2,E2,18 FT,6103,1
1110,1110,E2,E2,18 FT,6104,1
1110,1110,E2,E2,18 FT,400062,1
1110,1110,E2,E2,18 FT,400307,1
1110,1110,E2,E2,32 MA,6000,2
1110,1110,E2,E2,32 MA,6053,1
1110,1110,W2,W2,18 FT,7250,1
1110,1110,W2,W2,32 MA,7250,1
1110,1110,W2,W2,32 MA,7302,1
1110,1110,W1,W1_1,18 FT,400241,1
1110,1110,W1,W1_1,18 FT,400341,1
1110,1110,W1,W1_1,32 MA,7000,1
1110,1110,W1,W1,32 MA,7102,1
1110,1110,W1,W1,32 MA,7150,1
1110,1110,W1,W1,32 MA,7152,1
1120,1120,S,S,18 FT,4000,3
1120,1120,S,S,18 FT,4001,5
1120,1120,S,S,18 FT,4003,8
1120,1120,S,S,18 FT,8001,1
1120,1120,S,S,18 FT,8003,2
1120,1120,S,S,18 FT,8004,1
1120,1120,S,S,18 FT,8005,1
1120,1120,S,S,18 FT,8006,1
1120,1120,S,S,18 FT,8051,1
1120,1120,S,S,18 FT,8052,3
1120,1120,S,S,18 FT,8053,1
1120,1120,S,S,18 FT,8054,2
1120,1120,S,S,18 FT,8055,1
1120,1120,S,S,18 FT,8150,10
1120,1120,S,S,18 FT,8155,2
1120,1120,S,S,18 FT,8251,1
1120,1120,S,S,18 FT,8252,1
1120,1120,S,S,18 FT,8254,1
1120,1120,S,S,18 FT,8255,2
1120,1120,S,S,18 FT,8256,1
1120,1120,S,S,18 FT,8261,1
1120,1120,S,S,18 FT,8300,7
1120,1120,S,S,18 FT,8303,1
1120,1120,S,S,18 FT,8305,4
1120,1120,S,S,18 FT,8311,1
1120,1120,S,S,18 FT,400024,6
1120,1120,S,S,18 FT,400047,3
1120,1120,S,S,18 FT,400054,3
1120,1120,S,S,18 FT,400063,1
1120,1120,S,S,18 FT,400310,8
1120,1120,S,S,32 MA,8150,3
1120,1120,S,S,32 MA,8300,5
1120,1120,E5,E5,18 FT,4002,4
1120,1120,E5,E5,18 FT,6000,1
1120,1120,E5,E5,18 FT,6001,2
1120,1120,E5,E5,18 FT,6053,1
1120,1120,E5,E5,18 FT,6102,1
1120,1120,E5,E5,18 FT,6200,3
1120,1120,E5,E5,18 FT,400062,1
1120,1120,E5,E5,18 FT,400181,1
1120,1120,E5,E5,32 MA,6000,1
1120,1120,E5,E5,32 MA,6053,1
1120,1120,E5,E5,32 MA,6200,2
1120,1120,N7,N7,18 FT,5040,2
1120,1120,N7,N7,18 FT,5050,4
1120,1120,N7,N7,18 FT,5104,3
1120,1120,N7,N7,18 FT,5120,4
1120,1120,N7,N7,18 FT,400041,2
1120,1120,N7,N7,18 FT,400044,6
1120,1120,N7,N7,18 FT,400045,6
1120,1120,N7,N7,18 FT,400051,4
1120,1120,N7,N7,18 FT,400057,1
1120,1120,N7,N7,18 FT,400083,2
1120,1120,N7,N7,18 FT,400151,3
1120,1120,N7,N7,18 FT,400206,4
1120,1120,N7,N7,18 FT,400347,5
1120,1120,N7,N7,32 MA,5040,2
1120,1120,N7,N7,32 MA,5050,2
1120,1120,N7,N7,32 MA,5120,3
1120,1120,W5,W5,18 FT,7000,3
1120,1120,W5,W5,18 FT,7051,1
1120,1120,W5,W5,18 FT,7103,1
1120,1120,W5,W5,18 FT,7105,1
1120,1120,W5,W5,18 FT,7150,6
1120,1120,W5,W5,18 FT,7152,2
1120,1120,W5,W5,18 FT,7153,1
1120,1120,W5,W5,18 FT,7154,1
1120,1120,W5,W5,18 FT,7250,7
1120,1120,W5,W5,18 FT,7251,1
1120,1120,W5,W5,18 FT,400042,2
1120,1120,W5,W5,18 FT,400329,2
1120,1120,W5,W5,32 MA,7000,2
1120,1120,W5,W5,32 MA,7102,1
1120,1120,W5,W5,32 MA,7150,2
1120,1120,W5,W5,32 MA,7152,1
1120,1120,W5,W5,32 MA,7250,2
1120,1120,W5,W5,32 MA,7302,1
1130,1130,S,S,18 FT,4000,3
1130,1130,S,S,18 FT,4001,3
1130,1130,S,S,18 FT,4003,27
1130,1130,S,S,18 FT,7104,2
1130,1130,S,S,18 FT,8001,5
1130,1130,S,S,18 FT,8002,2
1130,1130,S,S,18 FT,8003,5
1130,1130,S,S,18 FT,8004,4
1130,1130,S,S,18 FT,8005,3
1130,1130,S,S,18 FT,8006,3
1130,1130,S,S,18 FT,8051,3
1130,1130,S,S,18 FT,8052,5
1130,1130,S,S,18 FT,8053,6
1130,1130,S,S,18 FT,8054,8
1130,1130,S,S,18 FT,8055,4
1130,1130,S,S,18 FT,8102,1
1130,1130,S,S,18 FT,8105,1
1130,1130,S,S,18 FT,8151,1
1130,1130,S,S,18 FT,8153,1
1130,1130,S,S,18 FT,8155,2
1130,1130,S,S,18 FT,8156,1
1130,1130,S,S,18 FT,8251,2
1130,1130,S,S,18 FT,8255,1
1130,1130,S,S,18 FT,8257,1
1130,1130,S,S,18 FT,8261,3
1130,1130,S,S,18 FT,8301,3
1130,1130,S,S,18 FT,8302,1
1130,1130,S,S,18 FT,8304,1
1130,1130,S,S,18 FT,8305,2
1130,1130,S,S,18 FT,8306,2
1130,1130,S,S,18 FT,8311,1
1130,1130,S,S,18 FT,8312,2
1130,1130,S,S,18 FT,8351,2
