Plant,SalesOffice,Material,Demand,TruckType,SubCluster,Cluster,RDC,ORGTruckType,DestCategory,PreferredTruckType,RDCSubCluster,RDCCluster,RDCORGTruckType,RDCDestCategory,ClubPlant,oldTruckType,Tyres,DemandTruck
1110,400024,13118360,140,32 SA,S1,S1,,18 FT,OEM,32 MA,,,,,1110,32 SA,97,1.443298969072165
1110,400024,13128360,210,32 SA,S1,S1,,18 FT,OEM,32 MA,,,,,1110,32 SA,116,1.8103448275862069
1110,400024,14118340,350,32 SA,S1,S1,,18 FT,OEM,32 MA,,,,,1110,32 SA,548,0.6386861313868614
1110,400041,13138340,40,32 MA,N3,N3,,32 MA,OEM,32 MA,,,,,1110,32 SA,170,0.23529411764705882
1110,400041,13188360,40,32 MA,N3,N3,,32 MA,OEM,32 MA,,,,,1110,32 SA,60,0.6666666666666666
1110,400044,13138340,50,32 MA,N2,N2,,32 MA,OEM,32 MA,,,,,1110,32 SA,170,0.29411764705882354
1110,400047,13118360,210,32 SA,S2,S2,,18 FT,OEM,32 MA,,,,,1110,32 SA,97,2.1649484536082473
1110,400047,13128360,140,32 SA,S2,S2,,18 FT,OEM,32 MA,,,,,1110,32 SA,116,1.206896551724138
1110,400047,13158340,40,32 SA,S2,S2,,18 FT,OEM,32 MA,,,,,1110,32 SA,129,0.31007751937984496
1110,400047,14118340,350,32 SA,S2,S2,,18 FT,OEM,32 MA,,,,,1110,32 SA,548,0.6386861313868614
1110,400047,14128640,40,32 SA,S2,S2,,18 FT,OEM,32 MA,,,,,1110,32 SA,585,0.06837606837606838
1110,400048,13158340,50,32 MA,W1,W1,,32 MA,OEM,32 MA,,,,,1110,32 SA,170,0.29411764705882354
1110,400048,13178370,25,32 MA,W1,W1,,32 MA,OEM,32 MA,,,,,1110,32 SA,50,0.5
1110,400048,13188360,40,32 MA,W1,W1,,32 MA,OEM,32 MA,,,,,1110,32 SA,60,0.6666666666666666
1110,400054,13158340,100,32 SA,S1,S1,,18 FT,OEM,32 MA,,,,,1110,32 SA,129,0.7751937984496124
1110,400054,13178370,100,32 SA,S1,S1,,18 FT,OEM,32 MA,,,,,1110,32 SA,50,2
1110,400057,29156160,80,32 MA,N3,N3,,32 MA,OEM,32 MA,,,,,1110,32 MA,80,1
1110,400057,29199160,50,32 MA,N3,N3,,32 MA,OEM,32 MA,,,,,1110,32 MA,160,0.3125
1110,400063,29156160,40,18 FT,S1_1,S1,,18 FT,OEM,32 MA,,,,,1110,18 FT,40,1
1110,400063,29161100,40,18 FT,S1_1,S1,,18 FT,OEM,32 MA,,,,,1110,18 FT,32,1.25
1110,400147,13138340,20,18 FT,S1_1,S1,,18 FT,OEM,32 MA,,,,,1110,32 SA,85,0.23529411764705882
1110,400147,13188360,20,18 FT,S1_1,S1,,18 FT,OEM,32 MA,,,,,1110,32 SA,30,0.6666666666666666
1110,400241,13188320,100,32 MA,W1,W1,,32 MA,OEM,32 MA,,,,,1110,32 SA,400,0.25
1110,400294,13188360,10,32 MA,N2,N2,,32 MA,OEM,32 MA,,,,,1110,32 SA,60,0.16666666666666666
1110,400327,13188320,300,32 SA,S2,S2,,18 FT,OEM,32 MA,,,,,1110,32 SA,279,1.075268817204301
1120,400024,13168360,150,18 FT,S4_2,S4,,18 FT,OEM,32 MA,,,,,1120,32 SA,50,3
1120,400024,13198360,80,18 FT,S4_2,S4,,18 FT,OEM,32 MA,,,,,1120,32 SA,40,2
1120,400024,14118340,150,18 FT,S4_2,S4,,18 FT,OEM,32 MA,,,,,1120,32 SA,400,0.375
1120,400024,14178640,80,18 FT,S4_2,S4,,18 FT,OEM,32 MA,,,,,1120,32 SA,280,0.2857142857142857
1120,400025,13118360,85,32 SA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,32 SA,97,0.8762886597938144
1120,400025,13168360,160,32 SA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,32 SA,90,1.7777777777777777
1120,400025,13198360,180,32 SA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,32 SA,75,2.4
1120,400025,14019740,80,32 SA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,32 SA,435,0.1839080459770115
1120,400025,14118340,165,32 SA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,32 SA,548,0.3010948905109489
1120,400025,14178640,180,32 SA,N7,N7,,32 MA,OEM,32 MA,,,,,1120,32 SA,365,0.4931506849315068
1120,400039,13118360,170,32 SA,W5,W5,,32 MA,OEM,32 MA,,,,,1120,32 SA,97,1.7525773195876289
1120,400039,13128360,95,32 SA,W5,W5,,32 MA,OEM,32 MA,,,,,1120,32 SA,116,0.8189655172413793
1120,400039,13168360,50,32 SA,W5,W5,,32 MA,OEM,32 MA,,,,,1120,32 SA,90,0.5555555555555556
1120,400039,13198360,120,32 SA,W5,W5,,32 MA,OEM,32 MA,,,,,1120,32 SA,75,1.6
