Plant,SalesOffice,Material,Demand,TruckType,SubCluster,Cluster,RDC,ORGTruckType,DestCategory,PreferredTruckType,RDCSubCluster,RDCCluster,RDCORGTruckType,RDCDestCategory,ClubPlant,oldTruckType,Tyres,DemandTruck
1190,4000,21111320,330,18 FT,S1_1,S1,,18 FT,EXPORT,32 MA,,,,,1170/1190,18 FT,1750,0.18857142857142858
1150,4000,21151320,130,32 MA,S9_5,S9,,18 FT,EXPORT,32 MA,,,,,1150/1180,18 FT,6042,0.021516054286660046
1150,4000,21173600,830,32 MA,S9_5,S9,,18 FT,EXPORT,32 MA,,,,,1150/1180,18 FT,5200,0.1596153846153846
1140,4000,21178040,250,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,4685,0.05336179295624333
1140,4000,26130930,10000,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,3648,2.741228070175439
1150,4000,26133330,800,32 MA,S9_5,S9,,18 FT,EXPORT,32 MA,,,,,1150/1180,18 FT,3648,0.21929824561403508
1140,4000,26136420,900,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,3648,0.24671052631578946
1140,4000,26143040,400,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,2307,0.17338534893801474
1150,4000,26153340,755,32 MA,S9_5,S9,,18 FT,EXPORT,32 MA,,,,,1150/1180,18 FT,2138,0.353133769878391
1140,4000,20131330,855,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,3265,0.26186830015313933
1150,4000,20134030,65,32 MA,S9_5,S9,,18 FT,EXPORT,32 MA,,,,,1150/1180,18 FT,3265,0.019908116385911178
1190,4000,20139330,3630,18 FT,S1_1,S1,,18 FT,EXPORT,32 MA,,,,,1170/1190,18 FT,1000,3.63
1140,4000,20181330,2665,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,3266,0.8159828536436007
1140,4000,20184030,300,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,2624,0.11432926829268293
1150,4000,20186020,1130,32 MA,S9_5,S9,,18 FT,EXPORT,32 MA,,,,,1150/1180,18 FT,2139,0.528284244974287
1140,4000,20186100,615,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,2479,0.24808390480032272
1190,4000,20186140,965,18 FT,S1_1,S1,,18 FT,EXPORT,32 MA,,,,,1170/1190,18 FT,1400,0.6892857142857143
1150,4000,20186330,565,32 MA,S9_5,S9,,18 FT,EXPORT,32 MA,,,,,1150/1180,18 FT,2479,0.22791448164582492
1140,4000,20189330,3800,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,3266,1.1635027556644213
1140,4000,20195200,65,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,3265,0.019908116385911178
1190,4000,20626120,665,18 FT,S1_1,S1,,18 FT,EXPORT,32 MA,,,,,1170/1190,18 FT,800,0.83125
1190,4000,20695220,265,18 FT,S1_1,S1,,18 FT,EXPORT,32 MA,,,,,1170/1190,18 FT,900,0.29444444444444445
1140,4000,20816120,330,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,2291,0.14404190309908338
1140,4000,20856240,95,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,3583,0.026514094334356683
1140,4000,20887900,65,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,2334,0.027849185946872322
1140,4000,27139330,140,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,5338,0.026227051330086175
1190,4000,27152200,360,18 FT,S1_1,S1,,18 FT,EXPORT,32 MA,,,,,1170/1190,18 FT,1400,0.2571428571428571
1190,4000,27155220,1130,18 FT,S1_1,S1,,18 FT,EXPORT,32 MA,,,,,1170/1190,18 FT,1400,0.8071428571428572
1140,4000,27161330,675,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,3561,0.18955349620893008
1180,4000,27162220,330,32 MA,S9_5,S9,,18 FT,EXPORT,32 MA,,,,,1150/1180,18 FT,3561,0.09267059814658804
1150,4000,27165030,565,32 MA,S9_5,S9,,18 FT,EXPORT,32 MA,,,,,1150/1180,18 FT,3561,0.15866329682673405
1140,4000,27165200,565,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,3561,0.15866329682673405
1190,4000,27169330,120,18 FT,S1_1,S1,,18 FT,EXPORT,32 MA,,,,,1170/1190,18 FT,1200,0.1
1140,4000,20325040,130,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,2291,0.05674378000872981
1140,4000,28374420,30,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,1981,0.01514386673397274
1110,4000,14118340,265,18 FT,S1_2,S1,,18 FT,EXPORT,32 MA,,,,,1110,18 FT,400,0.6625
1150,4000,14178640,65,32 MA,S9_5,S9,,18 FT,EXPORT,32 MA,,,,,1150/1180,18 FT,560,0.11607142857142858
1140,4000,15158720,60,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,1300,0.046153846153846156
1140,4000,16166750,85,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,833,0.10204081632653061
1140,4000,16186440,10,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,1023,0.009775171065493646
1140,4000,16186450,205,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,950,0.21578947368421053
1140,4000,16196440,25,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,1200,0.020833333333333332
1140,4000,18196840,350,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,1400,0.25
1150,4000,19116640,160,32 MA,S9_5,S9,,18 FT,EXPORT,32 MA,,,,,1150/1180,18 FT,2103,0.07608178792201617
1140,4000,19136840,250,32 MA,S9_4,S9,,18 FT,EXPORT,32 MA,,,,,1140,18 FT,2000,0.125
1110,4000,12160680,265,18 FT,S1_2,S1,,18 FT,EXPORT,32 MA,,,,,1110,18 FT,250,1.06
1110,4003,12160680,665,18 FT,S1_2,S1,,18 FT,EXPORT,32 MA,,,,,1110,18 FT,250,2.66
1150,4003,16110670,55,32 MA,S9_5,S9,,18 FT,EXPORT,32 MA,,,,,1150/1180,18 FT,500,0.11
1190,4000,16113570,830,18 FT,S1_1,S1,,18 FT,EXPORT,32 MA,,,,,1170/1190,18 FT,250,3.32
1190,4003,16113570,830,18 FT,S1_1,S1,,18 FT,EXPORT,32 MA,,,,,1170/1190,18 FT,250,3.32
