Plant,SalesOffice,Material,Demand
1110,4000,29119440,1
1110,4000,11113590,2
1110,4000,29152660,2
1110,4000,29151960,4
1110,4000,29157160,6
1110,4000,29143180,11
1110,4000,29149180,11
1110,4000,29146300,13
1110,4000,13180160,16
1110,4000,29133200,23
1110,4000,11153070,24
1110,4000,29146160,36
1110,4000,29157060,38
1110,4000,13128360,42
1110,4000,13178370,45
1110,4000,29143100,58
1110,4000,29152260,59
1110,4000,16118280,85
1110,4000,11133580,104
1110,4000,25175390,135
1110,4000,11658180,167
1110,4000,11728180,266
1110,4000,14118340,301
1110,4000,11173570,438
1110,4000,12160780,471
1110,4000,12160680,767
1110,4001,25175390,55
1110,4001,12160680,321
1110,4001,11738180,335
1110,4001,11728180,375
1110,4001,16646660,657
1110,4001,11653580,803
1110,4001,11123580,972
1110,4001,16116670,1222
1110,4002,22127150,10
1110,4002,29199160,20
1110,4002,13118360,40
1110,4002,14118340,100
1110,4002,16148260,200
1110,4002,11156480,800
1110,4003,16646660,56
1110,4003,11123580,330
1110,4003,11738180,1171
1110,4003,11133580,3000
1110,5001,16118280,51
1110,5002,16118280,17
1110,5004,16118280,10
1110,5040,29149180,4
1110,5040,29156360,8
1110,5040,13128360,10
1110,5040,13088340,17
1110,5040,16118280,24
1110,5040,16148260,36
1110,5040,13178370,55
1110,5040,14118340,380
1110,5050,13178370,4
1110,5050,29156360,8
1110,5050,16148260,17
1110,5050,13128360,20
1110,5050,14118340,674
1110,5051,22137140,11
1110,5052,16118280,10
1110,5052,22147130,16
1110,5052,22137140,54
1110,5053,13178370,4
1110,5053,16118280,10
1110,5053,16148260,10
1110,5053,22147130,40
1110,5053,22117150,68
1110,5053,22137140,192
1110,5053,22127150,660
1110,5054,22137140,10
1110,5054,16118280,12
1110,5054,22147130,23
1110,5054,22117150,25
1110,5055,16118280,10
1110,5055,13128360,48
1110,5061,22117150,5
1110,5061,16118280,14
1110,5061,22137140,79
1110,5071,22147130,5
1110,5071,16118280,10
1110,5071,16148260,25
1110,5071,22137140,98
1110,5101,13118360,4
1110,5101,16118280,11
1110,5101,16148260,39
1110,5102,16118280,15
1110,5102,13128360,15
1110,5102,16148260,41
1110,5103,16118280,20
1110,5104,16118280,10
1110,5105,13118360,1
1110,5106,16118280,26
1110,5106,13118360,44
1110,5106,16148260,63
1110,5107,13128360,32
1110,5109,22147130,5
1110,5109,16118280,16
1110,5111,16118280,10
1110,5114,13128360,8
1110,5114,16148260,16
1110,5115,22117150,5
1110,5115,16118280,12
1110,5115,22137140,17
1110,5115,16148260,27
1110,5115,22147130,186
1110,5116,16148260,84
1110,5120,13188320,2
1110,5120,13138340,8
1110,5120,16118280,10
1110,5120,16148260,21
1110,5120,13118360,120
1110,5120,13128360,160
1110,5120,14118340,708
1110,5151,14118340,59
1110,5151,16148260,61
1110,5151,16118280,66
1110,5151,22137140,68
1110,5152,13128360,20
1110,5152,11133580,21
1110,5152,22117150,64
1110,5152,16118280,70
1110,5152,22127150,216
1110,5153,16118280,42
1110,5153,11133580,54
1110,5155,22127150,32
1110,5155,13128360,34
1110,5155,16118280,36
1110,5155,16148260,77
1110,5156,16118280,10
1110,5156,16148260,66
1110,5157,16118280,10
1110,5157,13118360,10
1110,5157,16148260,78
1110,5201,16118280,51
1110,5201,22147130,66
1110,5201,22117150,76
1110,5201,14118340,120
1110,5201,22127150,417
1110,5202,16118280,13
1110,5202,22137140,16
1110,5202,22147130,193
1110,5203,22117150,16
1110,5203,13128360,24
1110,5203,16118280,34
1110,5203,22137140,124
1110,5206,16118280,26
1110,5206,22117150,38
1110,5206,16148260,59
1110,5206,14118340,95
1110,5206,22147130,115
1110,5206,22127150,201
1110,5251,22137140,5
1110,5251,22147130,5
1110,5251,11133580,33
1110,5251,16118280,38
1110,5252,16118280,40
1110,5252,16148260,106
1110,5301,29156360,2
1110,5301,13128360,8
1110,5301,13118360,24
1110,5301,16148260,95
1110,5301,16118280,128
1110,5301,22137140,145
1110,5303,16118280,38
1110,5305,16118280,20
1110,5305,22137140,44
1110,5306,22147130,5
1110,5306,13178370,25
1110,5306,16148260,37
1110,5306,16118280,62
1110,5307,29156360,4
1110,5307,16148260,10
1110,5307,16118280,13
1110,5309,16148260,10
1110,6000,29199160,10
1110,6000,13118360,22
1110,6000,29156360,26
1110,6000,29161100,28
1110,6000,14118340,178
1110,6001,16118280,31
1110,6001,11156480,33
1110,6001,11133580,61
1110,6001,16148260,139
1110,6001,11136480,223
1110,6003,11133580,5
1110,6003,13118360,6
1110,6003,29199160,6
1110,6003,11156480,25
1110,6003,73217000,42
1110,6003,16148260,155
1110,6004,13118360,8
1110,6004,13128360,8
1110,6004,29161100,10
1110,6004,16118280,29
1110,6004,11133580,30
1110,6004,11156480,51
1110,6004,11136480,93
1110,6004,16148260,184
1110,6011,11156480,25
1110,6011,11133580,30
1110,6011,16148260,158
1110,6012,13118360,12
1110,6012,11156480,13
1110,6012,16118280,14
1110,6012,11133580,14
1110,6012,11136480,50
1110,6012,16148260,74
1110,6013,29161100,2
1110,6013,11156480,35
1110,6013,16118280,60
1110,6013,11133580,82
1110,6013,16148260,116
1110,6053,29149180,1
1110,6053,29161100,5
1110,6053,13118360,28
1110,6053,13128360,63
1110,6053,11156480,67
1110,6053,16118280,124
1110,6053,16148260,389
1110,6102,11133580,5
1110,6102,29161100,6
1110,6102,13128360,8
1110,6102,29156360,22
1110,6102,29199160,30
1110,6102,16118280,67
1110,6102,22137140,82
1110,6102,16148260,588
1110,6200,13188320,4
1110,6200,16148260,10
1110,6200,13128360,38
1110,6200,13118360,42
1110,6200,14118340,422
1110,6201,11156480,5
1110,6201,11133580,18
1110,6201,16118280,27
1110,6201,16148260,155
1110,6202,11156480,5
1110,6202,16118280,46
1110,6202,16148260,108
1110,6203,11156480,10
1110,6203,13118360,12
1110,6203,11133580,17
1110,6203,16118280,33
1110,6203,16148260,144
1110,6204,11156480,5
1110,6204,11133580,31
1110,6204,16118280,36
1110,6204,16148260,265
1110,6205,29161100,2
1110,6205,16118280,10
1110,6205,16148260,50
1110,6206,11133580,89
1110,6206,16148260,141
1110,6207,11156480,5
1110,6207,16118280,17
1110,7000,13138340,8
1110,7000,13088340,10
1110,7000,13188320,18
1110,7001,13088340,2
1110,7001,22137140,11
1110,7001,22147130,54
1110,7001,16118280,110
1110,7002,16118280,42
1110,7003,22147130,36
1110,7004,13188320,4
1110,7004,16118280,25
1110,7004,22147130,39
1110,7051,13188360,2
1110,7051,13138340,4
1110,7051,22147130,10
1110,7051,22137140,24
1110,7052,16118280,24
1110,7053,22137140,5
1110,7053,16118280,21
1110,7054,22137140,11
1110,7054,16118280,47
1110,7102,16118280,58
1110,7103,16148260,38
1110,7103,16118280,86
1110,7104,29161100,2
1110,7105,14118340,20
1110,7150,29149180,2
1110,7150,29163120,2
1110,7150,29156360,2
1110,7150,13138340,20
1110,7150,13188320,26
1110,7150,14118340,285
1110,7151,16148260,10
1110,7151,14118340,20
1110,7152,13118360,18
1110,7152,16118280,26
1110,7152,14118340,195
1110,7153,16118280,32
1110,7153,22117150,51
1110,7153,14118340,135
1110,7154,14118340,145
1110,7155,14118340,12
1110,7155,16118280,17
1110,7155,16148260,29
1110,7157,14118340,19
1110,7250,29199160,2
1110,7250,13138340,4
1110,7250,13188320,14
1110,7250,13088340,141
1110,7250,14118340,657
1110,7252,16118280,14
1110,7253,13178370,2
1110,7253,13128360,14
1110,7253,16118280,22
1110,7253,14118340,50
1110,7253,16148260,115
1110,7254,13088340,4
1110,7254,16118280,24
1110,7254,13118360,24
1110,7254,13128360,28
1110,7302,13118360,10
1110,7302,13128360,33
1110,7302,16118280,67
1110,7302,14118340,180
1110,8001,16118280,46
1110,8002,16118280,10
1110,8002,16148260,16
1110,8003,29161100,2
1110,8003,22117150,10
1110,8003,16148260,13
1110,8003,14118340,20
1110,8003,16118280,25
1110,8003,22127150,52
1110,8004,16118280,10
1110,8004,16148260,21
1110,8004,22117150,33
1110,8005,29156360,4
1110,8005,16148260,12
1110,8005,22127150,16
1110,8005,16118280,21
1110,8005,22117150,200
1110,8006,22127150,5
1110,8006,29156360,6
1110,8006,14118340,10
1110,8006,16148260,10
1110,8006,16118280,28
1110,8010,29161100,4
1110,8010,22127150,8
1110,8010,29156160,8
1110,8010,16148260,10
1110,8010,16118280,13
1110,8010,29156360,20
1110,8010,13128360,30
1110,8010,13118360,90
1110,8010,14118340,318
1110,8051,29156360,2
1110,8051,29161100,6
1110,8051,16118280,15
1110,8051,16148260,23
1110,8052,29161100,4
1110,8052,16148260,16
1110,8052,16118280,18
1110,8053,14118340,20
1110,8054,16118280,10
1110,8054,16148260,10
1110,8054,22117150,29
1110,8055,16118280,11
1110,8102,16118280,11
1110,8103,29156160,6
1110,8103,29156360,6
1110,8103,16118280,16
1110,8103,16148260,39
1110,8104,16148260,10
1110,8104,16118280,22
1110,8105,16118280,10
1110,8105,16148260,28
1110,8107,16118280,10
1110,8107,16148260,31
1110,8150,13188360,2
1110,8150,13138340,12
1110,8150,29156360,16
1110,8150,13188320,20
1110,8150,13128360,120
1110,8150,14118340,842
1110,8153,13128360,13
1110,8153,14118340,30
1110,8155,14118340,35
1110,8156,14118340,30
1110,8156,13128360,42
1110,8251,29156360,6
1110,8251,13118360,39
1110,8251,11156480,57
1110,8251,13128360,61
1110,8251,22117150,175
1110,8252,13128360,18
1110,8252,13118360,38
1110,8252,11156480,79
1110,8252,22117150,197
1110,8253,11156480,5
1110,8253,13118360,7
1110,8253,13128360,12
1110,8253,22117150,46
1110,8254,13128360,24
1110,8255,29156360,4
1110,8255,11156480,28
1110,8255,14118340,30
1110,8255,13128360,38
1110,8255,22117150,104
1110,8256,11156480,5
1110,8256,13118360,58
1110,8257,29156360,2
1110,8258,13128360,11
1110,8258,22117150,32
1110,8261,16118280,10
1110,8300,13138340,8
1110,8300,29161100,8
1110,8300,16148260,20
1110,8300,16118280,27
1110,8300,11156480,33
1110,8300,29156360,56
1110,8300,29156160,61
1110,8300,13118360,130
1110,8300,11136480,249
1110,8300,14118340,428
1110,8300,13128360,450
1110,8301,29156160,4
1110,8301,16118280,14
1110,8301,11156480,14
1110,8301,16148260,23
1110,8301,11136480,269
1110,8302,11156480,5
1110,8302,16118280,10
1110,8302,16148260,10
1110,8302,11136480,63
1110,8303,16118280,10
1110,8303,16148260,10
1110,8303,11136480,104
1110,8304,11156480,5
1110,8304,13128360,6
1110,8304,16148260,10
1110,8304,16118280,16
1110,8304,22117150,111
1110,8304,11136480,257
1110,8305,13128360,2
1110,8305,13188360,2
1110,8305,22117150,5
1110,8305,11156480,5
1110,8305,29156160,6
1110,8305,29156360,6
1110,8305,16118280,13
1110,8305,22127150,14
1110,8305,16148260,15
1110,8305,13118360,32
1110,8305,11136480,136
1110,8306,22117150,5
1110,8306,16148260,10
1110,8306,16118280,12
1110,8306,11136480,245
1110,8311,13188360,2
1110,8311,16118280,10
1110,8311,16148260,19
1110,8311,11136480,50
1110,8312,11156480,10
1110,8312,16118280,15
1110,8312,16148260,21
1110,8312,11136480,158
1110,8313,29156360,2
1110,8313,11156480,5
1110,8313,16118280,10
1110,8313,13118360,10
1110,8313,16148260,17
1110,8313,11136480,101
1110,8315,16118280,10
1110,8315,11136480,39
1110,8351,16148260,16
1110,8351,29156160,18
1110,8351,11156480,19
1110,8351,16118280,66
1110,8351,11136480,350
1110,8352,29156160,6
1110,8352,13118360,14
1110,8352,16148260,24
1110,8352,11156480,29
1110,8352,16118280,41
1110,8352,11136480,126
1110,8353,13118360,8
1110,8353,16148260,10
1110,8353,11156480,15
1110,8353,16118280,49
1110,8353,11136480,154
1110,8354,29156160,2
1110,8354,22127150,12
1110,8354,16148260,12
1110,8354,11156480,13
1110,8354,16118280,68
1110,8354,11136480,124
1110,8355,13118360,4
1110,8355,29156360,6
1110,8355,16148260,17
1110,8355,16118280,19
1110,8355,11136480,55
1110,8356,29156160,2
1110,8356,11156480,5
1110,8356,16148260,10
1110,8356,22127150,13
1110,8356,22117150,98
1110,8356,11136480,219
1110,400023,13188320,100
1110,400024,13158360,20
1110,400024,13118360,70
1110,400024,14118340,70
1110,400025,13158340,10
1110,400025,13178370,10
1110,400025,13188360,30
1110,400035,11156480,125
1110,400044,13138340,50
1110,400045,13178370,72
1110,400047,13158340,50
1110,400047,14128640,50
1110,400047,13118360,210
1110,400047,14118340,210
1110,400048,13158340,38
1110,400048,13178370,50
1110,400054,13178370,60
1110,400057,29199160,100
1110,400057,29156160,240
1110,400062,29143120,8
1110,400063,29156160,20
1110,400063,29161100,40
1110,400241,13188320,150
1110,400307,29143120,8
1110,400310,14118340,420
1110,400324,13188320,120
1110,400329,13188320,50
1110,400341,13188320,100
1120,4000,31051300,25
1120,4000,13198360,29
1120,4000,13168360,40
1120,4000,11776670,47
1120,4000,50021400,85
1120,4000,31371000,100
1120,4000,13118360,134
1120,4000,14178640,137
1120,4000,33071500,300
1120,4000,31011000,920
1120,4000,45375500,2010
1120,4000,50021530,3000
1120,4001,45375500,48
1120,4001,31051300,49
1120,4001,50021400,67
1120,4001,11653570,235
1120,4001,11653580,344
1120,4001,11776670,385
1120,4001,31021000,695
1120,4001,11758170,749
1120,4001,50084000,2778
1120,4001,36011300,4230
1120,4002,71113600,5
1120,4002,34071500,8
1120,4002,14118240,10
1120,4002,34071000,10
1120,4002,64051180,15
1120,4002,13198360,20
1120,4002,50021510,20
1120,4002,31071000,41
1120,4002,31351500,50
1120,4002,33098500,50
1120,4002,11156480,82
1120,4002,64060290,85
1120,4002,64060300,129
1120,4002,64051710,170
1120,4002,64060230,200
1120,4003,31051300,104
1120,4003,11653580,163
1120,4003,50021400,200
1120,4003,31021000,633
1120,4003,11778170,790
1120,4003,31079000,982
1120,4003,11776670,1152
1120,4003,50087000,1262
1120,4003,31031300,2069
