Plant,SalesOffice,Material,Demand,TruckType,SubCluster,Cluster,RDC,ORGTruckType,DestCategory,PreferredTruckType
1140,400353,21178040,1200,,,,,,,
1140,400339,26143040,3500,32 MA,W1,W1,,32 MA,OEM,32 MA
1140,400327,35051500,400,18 FT,S2,S2,,18 FT,OEM,32 MA
1140,400327,15158720,400,18 FT,S2,S2,,18 FT,OEM,32 MA
1140,400316,20846110,2400,32 MA,S9_4,S9,,18 FT,OEM,32 MA
1140,400316,20173000,10100,32 MA,S9_4,S9,,18 FT,OEM,32 MA
1140,400316,20084400,7700,32 MA,S9_4,S9,,18 FT,OEM,32 MA
1140,400314,28374420,1000,32 MA,N3,N3,,32 MA,OEM,32 MA
1140,400314,28373000,3000,32 MA,N3,N3,,32 MA,OEM,32 MA
1140,400314,20887920,8500,32 MA,N3,N3,,32 MA,OEM,32 MA
1140,400314,20887900,2500,32 MA,N3,N3,,32 MA,OEM,32 MA
1140,400314,20195000,3300,32 MA,N3,N3,,32 MA,OEM,32 MA
1140,400311,20856500,10500,32 MA,S9_4,S9,,18 FT,OEM,32 MA
1140,400311,20856240,10500,32 MA,S9_4,S9,,18 FT,OEM,32 MA
1140,400304,28374460,3400,32 MA,N1,N1,,32 MA,OEM,32 MA
1140,400304,20887900,3000,32 MA,N1,N1,,32 MA,OEM,32 MA
1140,400299,18360270,1100,32 SA,S2_1,S2,,18 FT,OEM,32 MA
1140,400295,27165200,1000,32 MA,W2,W2,,32 MA,OEM,32 MA
1140,400295,21178040,1500,32 MA,W2,W2,,32 MA,OEM,32 MA
1140,400295,20136130,1000,32 MA,W2,W2,,32 MA,OEM,32 MA
1140,400292,20856500,1500,32 MA,N2,N2,,32 MA,OEM,32 MA
1140,400292,20856240,1500,32 MA,N2,N2,,32 MA,OEM,32 MA
1140,400286,21173600,6000,32 MA,N1,N1,,32 MA,OEM,32 MA
1140,400286,20856500,4000,32 MA,N1,N1,,32 MA,OEM,32 MA
1140,400286,20856240,12000,32 MA,N1,N1,,32 MA,OEM,32 MA
1140,400241,38062500,50,32 MA,W1,W1,,32 MA,OEM,32 MA
1140,400241,18168640,50,32 MA,W1,W1,,32 MA,OEM,32 MA
1140,400121,18360270,2000,32 MA,N2,N2,,32 MA,OEM,32 MA
1140,400121,18340650,1300,32 MA,N2,N2,,32 MA,OEM,32 MA
1140,400121,18340641,500,32 MA,N2,N2,,32 MA,OEM,32 MA
1140,400089,26133030,500,32 MA,N2,N2,,32 MA,OEM,32 MA
1140,400076,18360141,4500,32 MA,N1,N1,,32 MA,OEM,32 MA
1140,400075,26143040,5900,32 MA,W1,W1,,32 MA,OEM,32 MA
1140,400068,20846110,600,18 FT,S1_1,S1,,18 FT,OEM,32 MA
1140,400058,41514300,12000,32 MA,N1,N1,,32 MA,OEM,32 MA
1140,400058,27165200,3500,32 MA,N1,N1,,32 MA,OEM,32 MA
1140,400058,21178040,500,32 MA,N1,N1,,32 MA,OEM,32 MA
1140,400058,20864200,4000,32 MA,N1,N1,,32 MA,OEM,32 MA
1140,400058,20856380,4000,32 MA,N1,N1,,32 MA,OEM,32 MA
1140,400058,20856360,1200,32 MA,N1,N1,,32 MA,OEM,32 MA
1140,400058,20184040,500,32 MA,N1,N1,,32 MA,OEM,32 MA
1140,400038,27155220,3000,32 MA,W1,W1,,32 MA,OEM,32 MA
1140,400038,26136420,10700,32 SA,W1,W1,,32 MA,OEM,32 MA
1140,400038,20186100,3000,32 MA,W1,W1,,32 MA,OEM,32 MA
1140,400027,35051500,400,18 FT,S2,S2,,18 FT,OEM,32 MA
1140,400027,15158720,400,18 FT,S2,S2,,18 FT,OEM,32 MA
1140,400021,28174480,5000,32 MA,N1,N1,,32 MA,OEM,32 MA
1140,400021,27165200,6500,32 MA,N1,N1,,32 MA,OEM,32 MA
1140,400021,21178040,10000,32 MA,N1,N1,,32 MA,OEM,32 MA
1140,400021,20887940,5000,32 MA,N1,N1,,32 MA,OEM,32 MA
1140,400021,20184030,6500,32 MA,N1,N1,,32 MA,OEM,32 MA
1140,400020,21173620,13000,32 MA,N1,N1,,32 MA,OEM,32 MA
