ClubPlant,Cluster,SubCluster,Destination,Operator,TruckType,NoofIndents
1110,E1,E1,4002,ANAND,32 MA,4
1110,E1,E1,4002,DGFC,32 MA,6
1110,E1,E1,6200,ANAND,32 MA,4
1110,E1,E1,6200,DGFC,32 MA,7
1110,E1,E1,6202,DGFC,32 MA,2
1110,E1,E1,6203,ANAND,32 MA,1
1110,E1,E1,6204,DGFC,32 MA,1
1110,E2,E2,400062,ANAND,32 MA,1
1110,E2,E2,6000,ANAND,32 MA,3
1110,E2,E2,6000,KAPOOR,32 MA,4
1110,E2,E2,6001,ANAND,32 MA,2
1110,E2,E2,6003,ANAND,32 MA,1
1110,E2,E2,6004,ANAND,32 MA,2
1110,E2,E2,6012,ANAND,32 MA,2
1110,E2,E2,6013,ANAND,32 MA,2
1110,E2,E2,6053,ANAND,32 MA,6
1110,E2,E2,6053,KAPOOR,32 MA,1
1110,E2,E2,6102,ANAND,32 MA,3
1110,N1,N1,5151,RCI,32 MA,1
1110,N1,N1,5153,DBRC,32 MA,1
1110,N1,N1,5153,RCI,32 MA,1
1110,N1,N1,5203,RCI,32 MA,1
1110,N2,N2,400044,DRS,32 MA,1
1110,N2,N2,400045,DRS,32 MA,2
1110,N2,N2,400294,DRS,32 MA,2
1110,N2,N2,5050,APML,32 MA,2
1110,N2,N2,5050,DRS,32 MA,5
1110,N2,N2,5301,DRS,32 MA,2
1110,N2,N2,5306,DRS,32 MA,1
1110,N3,N3,400025,DRS,32 MA,1
1110,N3,N3,400057,APML,32 MA,2
1110,N3,N3,400057,DBRC,32 MA,1
1110,N3,N3,400057,DRS,32 MA,3
1110,N3,N3,400083,DBRC,32 MA,1
1110,N3,N3,5040,APML,32 MA,1
1110,N3,N3,5040,DBRC,32 MA,3
1110,N3,N3,5040,DRS,32 MA,1
1110,N3,N3,5040,RCI,32 MA,2
1110,N3,N3,5120,APML,32 MA,2
1110,N3,N3,5120,DBRC,32 MA,2
1110,N3,N3,5120,DRS,32 MA,3
1110,N3,N3,5120,RCI,32 MA,3
1110,S1,S1,400024,GNANABELLA,18 FT,11
1110,S1,S1,400024,GNANABELLA,32 MA,1
1110,S1,S1,400024,KTC,18 FT,6
1110,S1,S1,400024,MEGA,18 FT,6
1110,S1,S1,400054,GNANABELLA,18 FT,3
1110,S1,S1,400054,KTC,18 FT,2
1110,S1,S1,8303,MEGA,18 FT,2
1110,S1,S1,8304,KTC,18 FT,1
1110,S1,S1,8304,MEGA,18 FT,3
1110,S1,S1,8305,KTC,18 FT,3
1110,S1,S1,8305,MEGA,18 FT,2
1110,S1,S1,8306,KTC,18 FT,1
1110,S1,S1,8306,MEGA,18 FT,1
1110,S1,S1,8311,GBL,18 FT,1
1110,S1,S1,8311,KTC,18 FT,1
1110,S1,S1,8313,GBL,18 FT,1
1110,S1,S1,8313,KTC,18 FT,1
1110,S1,S1,8351,ANAND,32 MA,1
1110,S1,S1,8351,GNANABELLA,18 FT,1
1110,S1,S1,8351,KTC,18 FT,4
1110,S1,S1,8351,MEGA,18 FT,1
1110,S1,S1,8352,GBL,18 FT,2
1110,S1,S1,8352,GNANABELLA,18 FT,1
1110,S1,S1,8352,KTC,18 FT,4
1110,S1,S1,8352,MEGA,18 FT,1
1110,S1,S1,8353,DEDICATED,32 MA,1
1110,S1,S1,8353,KTC,18 FT,3
1110,S1,S1,8354,GNANABELLA,18 FT,1
1110,S1,S1,8354,KTC,18 FT,2
1110,S1,S1,8355,GBL,18 FT,2
1110,S1,S1,8356,GNANABELLA,18 FT,1
1110,S1,S1,8356,KTC,18 FT,1
1110,S1,S1_1,400063,ILAN,18 FT,6
1110,S1,S1_1,400147,ILAN,18 FT,2
1110,S1,S1_1,400324,ILAN,18 FT,1
1110,S1,S1_1,8300,DEDICATED,32 MA,6
1110,S1,S1_1,8300,GNANABELLA,18 FT,10
1110,S1,S1_1,8300,ILAN,18 FT,20
1110,S1,S1_1,8300,RCI,32 MA,1
1110,S1,S1_1,8301,GBL,18 FT,2
1110,S1,S1_1,8301,ILAN,18 FT,5
1110,S1,S1_1,8302,ILAN,18 FT,1
1110,S1,S1_1,8312,GBL,18 FT,2
1110,S1,S1_1,8312,ILAN,18 FT,3
1110,S1,S1_2,4000,CHINNA,18 FT,29
1110,S1,S1_2,4000,NITHISH,18 FT,10
1110,S1,S1_2,4000,NITISH,18 FT,19
1110,S1,S1_2,4003,CHINNA,18 FT,36
1110,S1,S1_2,4003,NITHISH,18 FT,8
1110,S1,S1_2,4003,NITISH,18 FT,29
1110,S2,S2,400047,DEDICATED,32 MA,2
1110,S2,S2,400047,EXPRESS,32 MA,2
1110,S2,S2,400047,GNANABELLA,18 FT,9
1110,S2,S2,400047,KTC,18 FT,4
1110,S2,S2,400047,MEGA,18 FT,2
1110,S2,S2,400047,RCI,32 MA,1
1110,S2,S2,400090,GNANABELLA,18 FT,1
1110,S2,S2,400090,KTC,18 FT,1
1110,S2,S2,400327,CHINNA,32 MA,1
1110,S2,S2,400327,KTC,18 FT,4
1110,S2,S2,400348,GNANABELLA,18 FT,1
1110,S2,S2,8006,KTC,18 FT,1
1110,S2,S2,8010,CHINNA,32 MA,1
1110,S2,S2,8010,DEDICATED,32 MA,1
1110,S2,S2,8010,GNANABELLA,18 FT,1
1110,S2,S2,8010,KTC,18 FT,3
1110,S2,S2,8010,MEGA,18 FT,4
1110,S2,S2,8052,KTC,18 FT,1
1110,S2,S2,8103,KTC,18 FT,1
1110,S2,S2,8103,KTC,24 FT,1
1110,S2,S2,8105,MEGA,18 FT,1
1110,S2,S2,8110,GNANABELLA,18 FT,1
1110,S2,S2,8110,KTC,18 FT,2
1110,S2,S2,8110,MEGA,18 FT,2
1110,S3,S3,8251,RCI,18 FT,4
1110,S3,S3,8252,RCI,18 FT,2
1110,S3,S3,8253,RCI,18 FT,1
1110,S3,S3,8255,RCI,18 FT,2
1110,S3,S3,8258,RCI,18 FT,4
1110,S3,S3,8261,RCI,18 FT,1
1110,S9,S9_1,4001,DEDICATED,32 MA,18
1110,S9,S9_1,8150,DEDICATED,32 MA,12
1110,S9,S9_1,8256,DEDICATED,32 MA,3
1110,W1,W1,400023,APML,32 MA,1
1110,W1,W1,400048,APML,32 MA,2
1110,W1,W1,400048,EAST INDIA,32 MA,2
1110,W1,W1,400048,MEGA,32 MA,2
1110,W1,W1,400191,APML,32 MA,2
1110,W1,W1,400241,APML,32 MA,1
1110,W1,W1,400241,MEGA,32 MA,1
1110,W1,W1,400329,EAST INDIA,32 MA,1
1110,W1,W1,400341,APML,32 MA,1
1110,W1,W1,400341,MEGA,32 MA,1
1110,W1,W1,7000,MEGA,32 MA,2
1110,W1,W1,7051,MEGA,32 MA,1
1110,W1,W1,7102,EAST INDIA,32 MA,1
1110,W1,W1,7150,EAST INDIA,32 MA,2
1110,W1,W1,7150,MEGA,32 MA,3
1110,W1,W1,7152,EAST INDIA,32 MA,1
1110,W1,W1,7152,MEGA,32 MA,1
1110,W2,W2,7250,RCI,32 MA,5
1110,W2,W2,7251,RCI,32 MA,1
1110,W2,W2,7254,RCI,32 MA,2
1110,W2,W2,7301,RCI,32 MA,1
1110,W2,W2,7302,RCI,32 MA,3
1120,E5,E5,400181,DGFC,32 MA,1
1120,E5,E5,400181,KAPOOR,32 MA,1
1120,E5,E5,4002,DGFC,32 MA,1
1120,E5,E5,4002,KAPOOR,32 MA,2
1120,E5,E5,4002,KTC,32 MA,2
1120,E5,E5,6000,DGFC,32 MA,1
1120,E5,E5,6000,KTC,32 MA,2
1120,E5,E5,6053,KAPOOR,32 MA,2
1120,E5,E5,6102,KAPOOR,32 MA,2
1120,E5,E5,6200,DGFC,32 MA,1
1120,E5,E5,6200,KAPOOR,32 MA,2
1120,E5,E5,6202,KAPOOR,32 MA,1
1120,N7,N7,400025,EAST INDIA,32 SA,2
1120,N7,N7,400025,LG BROTHERS,32 SA,1
1120,N7,N7,400025,NSTCL,32 SA,5
1120,N7,N7,400025,VARUNA,32 SA,5
1120,N7,N7,400041,LG BROTHERS,32 SA,2
1120,N7,N7,400041,NSTCL,32 SA,3
1120,N7,N7,400041,VARUNA,32 SA,2
1120,N7,N7,400044,EAST INDIA,32 MA,1
1120,N7,N7,400044,EAST INDIA,32 SA,1
1120,N7,N7,400044,LG BROTHERS,32 SA,4
1120,N7,N7,400044,NSTCL,32 SA,6
1120,N7,N7,400044,VARUNA,32 SA,1
1120,N7,N7,400045,EAST INDIA,32 SA,1
1120,N7,N7,400045,LG BROTHERS,32 SA,4
1120,N7,N7,400045,NSTCL,32 SA,11
1120,N7,N7,400045,VARUNA,32 SA,2
1120,N7,N7,400051,EAST INDIA,32 MA,1
1120,N7,N7,400051,EAST INDIA,32 SA,3
1120,N7,N7,400051,LG BROTHERS,32 SA,5
1120,N7,N7,400051,MAHAVEERA,32 MA,1
1120,N7,N7,400051,NSTCL,32 SA,32
1120,N7,N7,400051,VARUNA,32 SA,2
1120,N7,N7,400057,DRS,32 MA,1
1120,N7,N7,400057,EAST INDIA,32 MA,1
1120,N7,N7,400083,EAST INDIA,32 SA,2
1120,N7,N7,400083,LG BROTHERS,32 MA,2
1120,N7,N7,400083,LG BROTHERS,32 SA,2
1120,N7,N7,400083,NSTCL,32 SA,9
1120,N7,N7,400083,VARUNA,32 SA,1
1120,N7,N7,400206,EAST INDIA,32 SA,1
1120,N7,N7,400206,LG BROTHERS,32 SA,1
1120,N7,N7,400206,NSTCL,32 SA,3
1120,N7,N7,400206,VARUNA,32 SA,1
1120,N7,N7,400294,EAST INDIA,32 SA,1
1120,N7,N7,400294,NSTCL,32 SA,2
1120,N7,N7,400347,EAST INDIA,32 MA,1
1120,N7,N7,400347,EAST INDIA,32 SA,2
1120,N7,N7,400347,KAPOOR,32 SA,1
1120,N7,N7,400347,LG BROTHERS,32 SA,2
1120,N7,N7,400347,NSTCL,32 SA,10
1120,N7,N7,400357,NSTCL,32 SA,2
1120,N7,N7,5040,DGFC,32 MA,1
1120,N7,N7,5040,DRS,32 MA,1
1120,N7,N7,5040,EAST INDIA,32 MA,2
1120,N7,N7,5040,LG BROTHERS,32 MA,3
1120,N7,N7,5040,NSTCL,32 SA,1
1120,N7,N7,5040,VARUNA,32 MA,3
1120,N7,N7,5050,DRS,32 MA,2
1120,N7,N7,5050,NSTCL,32 SA,1
1120,N7,N7,5050,RCI,32 MA,1
1120,N7,N7,5050,VARUNA,32 MA,3
1120,N7,N7,5050,VARUNA,32 SA,1
1120,N7,N7,5052,LG BROTHERS,32 MA,1
1120,N7,N7,5052,NSTCL,32 SA,1
1120,N7,N7,5052,RCI,32 MA,2
1120,N7,N7,5053,NSTCL,32 SA,1
1120,N7,N7,5053,RCI,32 MA,1
1120,N7,N7,5061,LG BROTHERS,32 MA,1
1120,N7,N7,5104,LG BROTHERS,32 MA,2
1120,N7,N7,5104,NSTCL,32 SA,1
1120,N7,N7,5106,LG,32 SA,1
1120,N7,N7,5106,LG BROTHERS,32 MA,1
1120,N7,N7,5106,NSTCL,32 SA,1
1120,N7,N7,5120,DGFC,32 MA,3
1120,N7,N7,5120,DRS,32 MA,2
1120,N7,N7,5120,LG BROTHERS,32 MA,2
1120,N7,N7,5120,RCI,32 MA,1
1120,N7,N7,5120,VARUNA,32 SA,2
1120,N7,N7,5301,LG BROTHERS,32 MA,3
1120,N7,N7,5301,NSTCL,32 SA,1
1120,N7,N7,5301,VARUNA,32 SA,2
1120,N7,N7,5305,DRS,32 MA,1
1120,N7,N7,5305,NSTCL,32 SA,1
1120,N7,N7,5305,VARUNA,32 SA,2
1120,N7,N7,5306,DRS,32 MA,1
1120,N7,N7,5306,LG BROTHERS,32 MA,1
1120,N7,N7,5306,NSTCL,32 SA,1
1120,N7,N7,5309,VARUNA,32 SA,1
1120,N7,N7_1,400151,EAST INDIA,32 SA,2
1120,N7,N7_1,400151,VARUNA,32 SA,5
1120,N7,N7_1,5203,VARUNA,32 MA,1
1120,S4,S4,400355,MEGA,18 FT,1
1120,S4,S4,8255,MEGA,18 FT,1
1120,S4,S4,8256,MEGA,18 FT,2
1120,S4,S4,8261,MEGA,18 FT,2
1120,S4,S4_1,400047,KTC,18 FT,3
1120,S4,S4_1,4001,EAST INDIA,18 FT,12
1120,S4,S4_1,4001,KTC,18 FT,5
1120,S4,S4_1,4001,VARUNA,18 FT,6
1120,S4,S4_1,400348,KTC,18 FT,1
1120,S4,S4_1,8002,KTC,18 FT,1
1120,S4,S4_1,8003,EAST INDIA,18 FT,1
1120,S4,S4_1,8003,KTC,18 FT,1
1120,S4,S4_1,8004,EAST,18 FT,1
1120,S4,S4_1,8004,EAST INDIA,18 FT,1
1120,S4,S4_1,8004,KTC,18 FT,2
1120,S4,S4_1,8005,KTC,18 FT,2
