pk_ID,granularity,rowID,formatting,createdDate,modifiedDate,createdBy,modifiedBy,createdIP,modifiedIP,Plant,Code,Destination,Cluster,SubCluster,RDC,TruckType,DestCategory,PreferredTruckType
63957,,0,,,,,,,,1110,8401,PONDICHERRY,S1,S1,8300,18 FT,DEPOT,32 MA
63954,,0,,,,,,,,1110,102900,DHANSAR,E1,E1,,32 MA,OEM,32 MA
63955,,0,,,,,,,,1110,102898,RANCHI,E1,E1,,32 MA,OEM,32 MA
63956,,0,,,,,,,,1110,102936,VELLANAD,S2,S2,,18 FT,OEM,32 MA
63953,,0,,,,,,,,1110,103091,CHANDRAPUR,W1,W1,,32 MA,OEM,32 MA
63952,,0,,,,,,,,1110,103093,BARDOL,E1,E1,,32 MA,OEM,32 MA
63951,,0,,,,,,,,1150,400231,ALWAR OE,N6,N6,,32 MA,OEM,32 MA
63950,,0,,,,,,,,1150,400306,SEMBIUM OE,S8,S8,,18 FT,OEM,32 MA
63949,,0,,,,,,,,1120,400306,SEMBIUM OE,S4,S4_2,,18 FT,OEM,32 MA
63946,,0,,,,,,,,1190,420095,BELLARY,S2,S2,,18 FT,OEM,32 MA
63947,,0,,,,,,,,1190,420137,PUTTUR,S2,S2,,18 FT,OEM,32 MA
63948,,0,,,,,,,,1190,420096,RAICHUR,S2,S2,,18 FT,OEM,32 MA
63945,,0,,,,,,,,1190,420093,BIJAPUR,S2,S2,,18 FT,OEM,32 MA
63943,,0,,,,,,,,1190,420091,BELGAUM,S2,S2,,18 FT,OEM,32 MA
63944,,0,,,,,,,,1190,420092,GADAG,S2,S2,,18 FT,OEM,32 MA
63942,,0,,,,,,,,1170,400333,GURGAON OE GODOWN,N1,N1,,32 MA,OEM,32 MA
63941,,0,,,,,,,,1170,400332,CHENNAI OE,S1,S1_1,,18 FT,OEM,32 MA
63940,,0,,,,,,,,1180,400359,FARIDABAD OE GODOWN,N4,N4,,32 MA,OEM,32 MA
63939,,0,,,,,,,,1190,400353,GURGAON OE GODOWN,N1,N1,,32 MA,OEM,32 MA
63937,,0,,,,,,,,1140,400353,GURGAON OE GODOWN,N1,N1,,32 MA,OEM,32 MA
63938,,0,,,,,,,,1140,6151,SHILLONG,E2,E2,6000,32 MA,DEPOT,32 MA
63936,,0,,,,,,,,1150,400353,GURGAON OE GODOWN,N4,N4,,32 MA,OEM,32 MA
63934,,0,,,,,,,,1110,103099,WADI,S2,S2,,18 FT,OEM,32 MA
63935,,0,,,,,,,,1110,103100,BHOGASAMUDRAM,S3,S3,,18 FT,OEM,32 MA
63932,,0,,,,,,,,1110,103111,CHANDERIA,N3,N3,,32 MA,OEM,32 MA
63933,,0,,,,,,,,1110,103101,COIMBATORE,S1,S1,,18 FT,OEM,32 MA
63930,,0,,,,,,,,1110,103147,HAZARIBAGH,E1,E1,,32 MA,OEM,32 MA
63931,,0,,,,,,,,1110,103143,JODA,E2,E2,,32 MA,OEM,32 MA
63929,,0,,,,,,,,1110,103148,NOAMUNDI,E1,E1,,32 MA,OEM,32 MA
63927,,0,,,,,,,,1110,103198,JABALPUR,W2,W2,,32 MA,OEM,32 MA
63928,,0,,,,,,,,1110,103168,NAVI MUMBAI,W1,W1,,32 MA,OEM,32 MA
63926,,0,,,,,,,,1110,103200,KIRANDUL,W2,W2,,32 MA,OEM,32 MA
63925,,0,,,,,,,,1110,103186,RAIPUR,W2,W2,,32 MA,OEM,32 MA
63922,,0,,,,,,,,1110,103779,AHMEDABAD,W1,W1,,32 MA,OEM,32 MA
63923,,0,,,,,,,,1110,103204,TADALI,W1,W1,,32 MA,OEM,32 MA
63924,,0,,,,,,,,1110,103205,CHANDRAPUR,W1,W1,,32 MA,OEM,32 MA
63921,,0,,,,,,,,1110,103860,NEYVELI,S1,S1,,18 FT,OEM,32 MA
63919,,0,,,,,,,,1110,103920,JHINKPANI,E1,E1,,32 MA,OEM,32 MA
63920,,0,,,,,,,,1110,103851,CHANDRAPUR,W1,W1,,32 MA,OEM,32 MA
63918,,0,,,,,,,,1110,103944,CHENNAI,S1,S1_1,,18 FT,OEM,32 MA
63917,,0,,,,,,,,1110,103929,GUALI,E2,E2,,32 MA,OEM,32 MA
63914,,0,,,,,,,,1110,103951,DAMANJODI,E2,E2,,32 MA,OEM,32 MA
63915,,0,,,,,,,,1110,104017,UPPAL,S3,S3,,18 FT,OEM,32 MA
63916,,0,,,,,,,,1110,103950,SHRIRAMPUR,W1,W1,,32 MA,OEM,32 MA
63913,,0,,,,,,,,1110,104672,BATHINDA,N2,N2,,32 MA,OEM,32 MA
63910,,0,,,,,,,,1110,104676,GUWAHATI,E2,E2,,32 MA,OEM,32 MA
63911,,0,,,,,,,,1110,104687,PITHAMPUR OE GODOWN,W2,W2,,32 MA,OEM,32 MA
63912,,0,,,,,,,,1110,104428,BARKAKANA,E1,E1,,32 MA,OEM,32 MA
63908,,0,,,,,,,,1110,104699,BURDWAN,E2,E2,,32 MA,OEM,32 MA
63909,,0,,,,,,,,1110,104932,GURGAON OE GODOWN,N1,N1,,32 MA,OEM,32 MA
63906,,0,,,,,,,,1110,106342,TIRUVALLA,S2,S2,,18 FT,OEM,32 MA
63907,,0,,,,,,,,1110,104963,MALANJKHAND,W2,W2,,32 MA,OEM,32 MA
63903,,0,,,,,,,,1110,107404,BARMANA,N2,N2,,32 MA,OEM,32 MA
63904,,0,,,,,,,,1110,107382,KALARANGIATTA,E2,E2,,32 MA,OEM,32 MA
63905,,0,,,,,,,,1110,106823,BILASPUR,W2,W2,,32 MA,OEM,32 MA
63900,,0,,,,,,,,1110,108076,CHITTORGARH,N3,N3,,32 MA,OEM,32 MA
63901,,0,,,,,,,,1110,107767,NAVI MUMBAI,W1,W1,,32 MA,OEM,32 MA
63902,,0,,,,,,,,1110,107424,LAKHERI,N3,N3,,32 MA,OEM,32 MA
63899,,0,,,,,,,,1110,107917,LONI,N1,N1,,32 MA,OEM,32 MA
63898,,0,,,,,,,,1110,108540,JAIPUR,N3,N3,,32 MA,OEM,32 MA
63897,,0,,,,,,,,1110,109026,HYDERABAD,S3,S3,,18 FT,OEM,32 MA
63895,,0,,,,,,,,1110,109333,BELLARY,S2,S2,,18 FT,OEM,32 MA
63896,,0,,,,,,,,1110,109304,SOMAJIGUDA,S3,S3,,18 FT,OEM,32 MA
63894,,0,,,,,,,,1110,109402,VISAKHAPATNAM,S3,S3,,18 FT,OEM,32 MA
63893,,0,,,,,,,,1110,109374,BIKANER,N3,N3,,32 MA,OEM,32 MA
63892,,0,,,,,,,,1110,109614,KHAMMAM,S3,S3,,18 FT,OEM,32 MA
63891,,0,,,,,,,,1110,109710,KHALARI,E2,E2,,32 MA,OEM,32 MA
63890,,0,,,,,,,,1110,109677,BILASPUR,W2,W2,,32 MA,OEM,32 MA
63889,,0,,,,,,,,1110,109814,ANGUL,E2,E2,,32 MA,OEM,32 MA
63888,,0,,,,,,,,1110,109816,CHENNAI,S1,S1_1,,18 FT,OEM,32 MA
63886,,0,,,,,,,,1110,109883,RAIGAD,W1,W1,,18 FT,OEM,18 FT
63887,,0,,,,,,,,1110,110132,RAIPUR,W2,W2,,32 MA,OEM,32 MA
63885,,0,,,,,,,,1110,110674,RAIGARH,W1,W1,,18 FT,OEM,18 FT
63884,,0,,,,,,,,1110,110728,RANCHI,E1,E1,,32 MA,OEM,32 MA
63881,,0,,,,,,,,1110,111161,DHANBAD,E1,E1,,32 MA,OEM,32 MA
63882,,0,,,,,,,,1110,111080,BACHRA,E1,E1,,32 MA,OEM,32 MA
63883,,0,,,,,,,,1110,110903,SULI,N2,N2,,32 MA,OEM,32 MA
63879,,0,,,,,,,,1110,111200,JAIPUR,N3,N3,,32 MA,OEM,32 MA
63880,,0,,,,,,,,1110,110904,RAURI,N2,N2,,32 MA,OEM,32 MA
63877,,0,,,,,,,,1110,111211,RAIPUR,W2,W2,,32 MA,OEM,32 MA
63878,,0,,,,,,,,1110,111210,KADAPA,S3,S3,,18 FT,OEM,32 MA
63876,,0,,,,,,,,1110,111408,ILKAL,S2,S2,,18 FT,OEM,32 MA
63875,,0,,,,,,,,1110,111219,GULBARGA,S2,S2,,18 FT,OEM,32 MA
63873,,0,,,,,,,,1110,111932,RAJSAMAND,N3,N3,,32 MA,OEM,32 MA
63874,,0,,,,,,,,1110,111409,BARODA,W1,W1,,32 MA,OEM,32 MA
63872,,0,,,,,,,,1110,111656,NOIDA,N1,N1,,32 MA,OEM,32 MA
63870,,0,,,,,,,,1180,108540,JAIPUR,N6,N6,,32 MA,OEM,32 MA
63871,,0,,,,,,,,1180,109304,SOMAJIGUDA,S6,S6,,18 FT,OEM,32 MA
63868,,0,,,,,,,,1180,108076,CHITTORGARH,N6,N6,,32 MA,OEM,32 MA
63869,,0,,,,,,,,1180,109026,HYDERABAD,S6,S6,,18 FT,OEM,32 MA
63867,,0,,,,,,,,1180,107917,LONI,N4,N4,,32 MA,OEM,32 MA
63864,,0,,,,,,,,1180,107404,BARMANA,N5,N5,,32 MA,OEM,32 MA
63865,,0,,,,,,,,1180,107767,NAVI MUMBAI,W3,W3,,32 MA,OEM,32 MA
63866,,0,,,,,,,,1180,107424,LAKHERI,N6,N6,,32 MA,OEM,32 MA
63861,,0,,,,,,,,1180,104963,MALANJKHAND,W4,W4,,32 MA,OEM,32 MA
63862,,0,,,,,,,,1180,107382,KALARANGIATTA,E4,E4,,32 MA,OEM,32 MA
63863,,0,,,,,,,,1180,106823,BILASPUR,W4,W4,,32 MA,OEM,32 MA
63860,,0,,,,,,,,1180,106342,TIRUVALLA,S6,S6_3,,18 FT,OEM,32 MA
63859,,0,,,,,,,,1180,104932,GURGAON OE GODOWN,N4,N4,,32 MA,OEM,32 MA
63858,,0,,,,,,,,1180,104699,BURDWAN,E4,E4,,32 MA,OEM,32 MA
63857,,0,,,,,,,,1180,104687,PITHAMPUR OE GODOWN,W4,W4,,32 MA,OEM,32 MA
63856,,0,,,,,,,,1180,104672,BATHINDA,N5,N5,,32 MA,OEM,32 MA
63855,,0,,,,,,,,1180,104676,GUWAHATI,E4,E4,,32 MA,OEM,32 MA
63853,,0,,,,,,,,1180,103951,DAMANJODI,E4,E4,,32 MA,OEM,32 MA
63854,,0,,,,,,,,1180,104428,BARKAKANA,E3,E3,,32 MA,OEM,32 MA
63852,,0,,,,,,,,1180,104017,UPPAL,S6,S6,,18 FT,OEM,32 MA
63850,,0,,,,,,,,1180,103944,CHENNAI,S8,S8,,18 FT,OEM,32 MA
63851,,0,,,,,,,,1180,103950,SHRIRAMPUR,W3,W3,,32 MA,OEM,32 MA
63849,,0,,,,,,,,1180,103929,GUALI,E4,E4,,32 MA,OEM,32 MA
63847,,0,,,,,,,,1180,103851,CHANDRAPUR,W3,W3,,32 MA,OEM,32 MA
63848,,0,,,,,,,,1180,103920,JHINKPANI,E3,E3,,32 MA,OEM,32 MA
63846,,0,,,,,,,,1180,103860,NEYVELI,S8,S8,,18 FT,OEM,32 MA
63845,,0,,,,,,,,1180,103779,AHMEDABAD,W3,W3_1,,32 MA,OEM,32 MA
63844,,0,,,,,,,,1180,103205,CHANDRAPUR,W3,W3,,32 MA,OEM,32 MA
