pk_ID,granularity,rowID,formatting,createdDate,modifiedDate,createdBy,modifiedBy,createdIP,modifiedIP,FromTruckType,ToTruckType,Ratio
69,,0,,,,,,,,32 MA,32 MA,1
70,,0,,,,,,,,32 MA,32 SA,1
71,,0,,,,,,,,32 MA,18 FT,2
72,,0,,,,,,,,32 MA,50 FT,0.5
73,,0,,,,,,,,32 MA,24 FT,1.6
74,,0,,,,,,,,32 MA,34 FT,0.85
75,,0,,,,,,,,32 SA,32 MA,1
76,,0,,,,,,,,32 SA,32 SA,1
77,,0,,,,,,,,32 SA,18 FT,1.4
78,,0,,,,,,,,32 SA,50 FT,2.8
79,,0,,,,,,,,32 SA,24 FT,1.1
80,,0,,,,,,,,32 SA,34 FT,0.85
81,,0,,,,,,,,18 FT,32 MA,0.5
82,,0,,,,,,,,18 FT,32 SA,0.7
83,,0,,,,,,,,18 FT,18 FT,1
84,,0,,,,,,,,18 FT,50 FT,0.25
85,,0,,,,,,,,18 FT,24 FT,0.8
86,,0,,,,,,,,18 FT,34 FT,0.42
87,,0,,,,,,,,50 FT,32 MA,2
88,,0,,,,,,,,50 FT,32 SA,2.7
89,,0,,,,,,,,50 FT,18 FT,4
90,,0,,,,,,,,50 FT,50 FT,1
91,,0,,,,,,,,50 FT,24 FT,3.2
92,,0,,,,,,,,50 FT,34 FT,1.5
93,,0,,,,,,,,24 FT,32 MA,0.63
94,,0,,,,,,,,24 FT,32 SA,0.87
95,,0,,,,,,,,24 FT,18 FT,1.26
96,,0,,,,,,,,24 FT,50 FT,0.32
97,,0,,,,,,,,24 FT,24 FT,1
98,,0,,,,,,,,24 FT,34 FT,0.5
99,,0,,,,,,,,34 FT,32 MA,1.2
100,,0,,,,,,,,34 FT,32 SA,1.6
101,,0,,,,,,,,34 FT,18 FT,2.5
102,,0,,,,,,,,34 FT,50 FT,0.63

