Plant,ClubPlants,Cluster,SubCLuster,TruckType,Destination,operator,Part,sortIndex,Date
1130,1130,S5,S5_1,32 MA,400196,RCI,SG2,0,6
1110,1110,S1,S1_2,18 FT,4000,DEVAKI,SG1,0,1
1190,1170/1190,W1,W1,32 MA,400300,EXPRESS,SG2,0,6
1140,1140,S2,S2,18 FT,8107,SWASTIK,SG2,0,6
1140,1140,E1,E1,32 MA,6203,DGFC,SG2,0,6
1190,1170/1190,S1,S1,18 FT,8306,GBL,SG1,0,1
1140,1140,N1,N1,32 MA,400021,APML,SG1,0,1
1140,1140,N1,N1,32 MA,400058,APML,SG2,0,6
1190,1170/1190,S1,S1_1,32 MA,400334,GBL,SG2,0,6
1140,1140,S2,S2,32 MA,400311,MEGA,SG1,0,1
1110,1110,S1,S1_2,18 FT,4003,DEVAKI,SG1,0,3
1140,1140,S2,S2,32 MA,400299,EXPRESS,SG2,0,8
1140,1140,S2,S2,32 MA,400005,EXPRESS,SG2,0,10
1140,1140,N1,N1,32 MA,400076,LGB,SG2,0,6
1140,1140,N1,N1,32 MA,400304,MAHAVEERA,SG2,0,6
1140,1140,S1,S1_1,18 FT,400271,ILAN,SG1,0,1
1140,1140,S1,S1_1,32 MA,400316,CHINNA,SG1,0,1
1140,1140,S1,S1_1,32 MA,400068,CHINNA,SG1,0,3
1140,1140,N3,N3,32 MA,400314,DRS,SG2,0,6
1140,1140,N2,N2,32 MA,400089,DRS,SG1,0,1
1140,1140,N2,N2,32 MA,400121,DRS,SG2,0,8
1140,1140,N2,N2,32 MA,400292,RCI,SG2,0,8
1110,1110,S1,S1_1,32 MA,8300,CHINNA,SG1,0,5
1140,1140,W1,W1,32 MA,400003,EXPRESS,SG2,0,7
1140,1140,W1,W1,32 MA,400023,EXPRESS,SG2,0,9
1140,1140,W1,W1,32 MA,400038,MEGA,SG2,0,6
1140,1140,W1,W1,32 MA,400075,MEGA,SG2,0,8
1180,1150/1180,S8,S8,18 FT,400171,KTC,SG1,0,1
1110,1110,S1,S1_1,32 MA,400063,CHINNA,SG2,0,6
1140,1140,W1,W1,32 MA,400081,RCI,SG2,0,10
1110,1110,S1,S1_1,18 FT,8301,GBL,SG2,0,8
1130,1130,W6,W6,32 MA,104687,RCI,SG2,0,7
1110,1110,S1,S1_1,18 FT,8302,ILAN,SG1,0,3
1110,1110,S1,S1,32 MA,8303,CHINNA,SG1,0,2
1110,1110,S1,S1,32 MA,8305,CHINNA,SG1,0,4
1110,1110,S1,S1,32 MA,8311,CHINNA,SG1,0,1
1110,1110,S1,S1,32 MA,8354,CHINNA,SG2,0,8
1110,1110,S1,S1,18 FT,8304,GBL,SG1,0,3
1110,1110,S1,S1,18 FT,8315,GBL,SG1,0,5
1110,1110,S1,S1,18 FT,8351,GBL,SG1,0,2
1110,1110,S1,S1,18 FT,8352,GBL,SG1,0,4
1110,1110,S1,S1,18 FT,8353,GBL,SG2,0,10
1110,1110,S1,S1,18 FT,8356,GBL,SG2,0,7
1110,1110,S1,S1,18 FT,400024,KTC,SG1,0,3
1130,1130,W6,W6,32 MA,7254,LGB,SG2,0,8
1130,1130,W6,W6,32 MA,7253,LGB,SG2,0,10
1110,1110,S1,S1,18 FT,400054,KTC,SG2,0,6
1130,1130,W6,W6,32 MA,7252,LGB,SG2,0,7
1140,1140,W1,W1,32 SA,400006,LGB,SG1,0,1
1110,1110,S2,S2_1,32 MA,4001,ANAND,SG1,0,1
1130,1130,W6,W6,32 MA,7161,EXPRESS,SG2,0,6
1130,1130,W6,W6,32 MA,7157,EXPRESS,SG2,0,8
1130,1130,W6,W6,32 MA,7155,EXPRESS,SG2,0,10
1130,1130,W6,W6,32 MA,7154,EXPRESS,SG2,0,7
1130,1130,W6,W6,32 MA,7151,EAST INDIA,SG2,0,6
1110,1110,S2,S2,18 FT,400047,GBL,SG1,0,1
1140,1140,W2,W2,32 MA,400295,SWASTIK,SG2,0,8
1140,1140,S3,S3,18 FT,8153,INDOARYA,SG1,0,1
1140,1140,S3,S3,18 FT,8252,KTC,SG2,0,8
1150,1150/1180,S6,S6_1,18 FT,8254,KTC,SG1,0,5
1110,1110,E1,E1,32 MA,4002,ANAND,SG1,0,3
1140,1140,S3,S3,18 FT,8258,SWASTIK,SG1,0,1
1110,1110,E1,E1,32 MA,6200,ANAND,SG2,0,6
1130,1130,W6,W6,32 MA,7054,BLR,SG2,0,6
1130,1130,W6,W6,32 MA,7053,BLR,SG2,0,8
1110,1110,N3,N3,32 MA,5040,APML,SG1,0,3
1130,1130,W6,W6,32 MA,7052,BLR,SG1,0,1
1130,1130,W6,W6,32 MA,7051,BLR,SG1,0,3
1130,1130,W6,W6,32 MA,7003,BLR,SG1,0,5
1110,1110,N3,N3,32 MA,5101,APML,SG2,0,8
1110,1110,N3,N3,32 MA,5102,DRS,SG1,0,3
1110,1110,N3,N3,32 MA,5104,DRS,SG1,0,5
1130,1130,W6,W6,32 MA,7002,BLR,SG1,0,2
1110,1110,N3,N3,32 MA,5120,DRS,SG2,0,10
1130,1130,W6,W6,32 MA,7001,BLR,SG1,0,4
