Plant,ClubPlants,Cluster,SubCLuster,TruckType,Destination,operator,Part,Date,,,,,Plant,1150,,,,,,,,,,
1170,1170/1190,N1,N1_1,32 MA,5152,COSMO,SG1,1,,,,,SubCLuster,S9_5,,,,,,,,,,
1110,1110,S1,S1_2,18 FT,4000,CHINNA,SG1,1,,,,,,,,,,,,,,,,
1110,1110,S1,S1_2,18 FT,4003,CHINNA,SG1,2,,,,,Count of Cluster,Column Labels,,,,,,,,,,
1190,1170/1190,N3,N3,32 MA,5120,DRS,SG1,1,,,,,Row Labels,1,2,3,4,5,6,7,8,9,10,Grand Total
1110,1110,S1,S1_1,18 FT,8300,ILAN,SG1,1,,,,,4000,3,3,3,3,4,1,2,2,2,2,25
1190,1170/1190,N3,N3,32 MA,5040,DBRC,SG1,1,,,,,DEDICATED,3,3,3,3,4,1,2,2,2,2,25
1110,1110,S1,S1_1,18 FT,8301,ILAN,SG1,2,,,,,4001,1,,,,,,,,,1,2
1190,1170/1190,N2,N2,32 MA,5301,DRS,SG1,2,,,,,DEDICATED,1,,,,,,,,,1,2
1110,1110,S1,S1_1,18 FT,8302,ILAN,SG1,3,,,,,4003,2,1,1,1,1,1,1,1,1,1,11
1110,1110,S1,S1_1,18 FT,8312,ILAN,SG1,4,,,,,DEDICATED,2,1,1,1,1,1,1,1,1,1,11
1110,1110,S1,S1_1,18 FT,400063,ILAN,SG1,5,,,,,8150,1,2,1,2,1,1,1,1,2,1,13
1190,1170/1190,N2,N2,32 MA,5050,DBRC,SG1,2,,,,,DEDICATED,1,2,1,2,1,1,1,1,2,1,13
1110,1110,S1,S1_1,18 FT,400147,ILAN,SG1,1,,,,,8151,,,1,1,1,,1,,1,1,6
1110,1110,S1,S1_1,18 FT,400324,ILAN,SG1,2,,,,,DEDICATED,,,1,1,1,,1,,1,1,6
1110,1110,S1,S1,18 FT,8303,GNANABELLA,SG1,1,,,,,8153,1,,,1,1,1,,,1,1,6
1110,1110,S1,S1,18 FT,8304,GNANABELLA,SG1,2,,,,,DEDICATED,1,,,1,1,1,,,1,1,6
1190,1170/1190,N1,N1,32 MA,400058,DBRC,SG1,3,,,,,8156,1,1,,,,,,,,1,3
1110,1110,S1,S1,18 FT,8305,GNANABELLA,SG1,3,,,,,DEDICATED,1,1,,,,,,,,1,3
1190,1170/1190,N1,N1,32 MA,400056,COSMO,SG1,2,,,,,8300,1,1,,1,1,1,1,1,1,,8
1110,1110,S1,S1,18 FT,8306,GNANABELLA,SG1,4,,,,,DEDICATED,1,1,,1,1,1,1,1,1,,8
1190,1170/1190,N1,N1,32 MA,400020,AVG,SG2,6,,,,,8305,,,1,,,,,,,,1
1110,1110,S1,S1,18 FT,8313,MEGA,SG1,1,,,,,DEDICATED,,,1,,,,,,,,1
1110,1110,S1,S1,18 FT,8351,MEGA,SG1,2,,,,,400031,,,1,1,,,,1,,,3
1190,1170/1190,S3,S3,32 MA,8150,COSMO,SG1,3,,,,,DEDICATED,,,1,1,,,,1,,,3
1110,1110,S1,S1,18 FT,8352,MEGA,SG1,3,,,,,400311,,,,1,1,,1,,,,3
1190,1170/1190,S3,S3,18 FT,8261,GNANABELLA,SG2,6,,,,,DEDICATED,,,,1,1,,1,,,,3
1110,1110,S1,S1,18 FT,8353,MEGA,SG1,4,,,,,400327,1,,,,,1,,,,,2
1110,1110,S1,S1,18 FT,8354,KTC,SG1,1,,,,,DEDICATED,1,,,,,1,,,,,2
1110,1110,S1,S1,18 FT,8355,KTC,SG1,2,,,,,Grand Total,11,8,8,11,10,6,7,6,8,8,83
1110,1110,S1,S1,18 FT,8356,KTC,SG1,3,,,,,,,,,,,,,,,,
1190,1170/1190,S3,S3,18 FT,8258,GNANABELLA,SG2,7,,,,,,,,,,,,,,,,
1110,1110,S1,S1,18 FT,400024,KTC,SG1,4,,,,,,,,,,,,,,,,
1190,1170/1190,S3,S3,18 FT,8256,GNANABELLA,SG1,5,,,,,,,,,,,,,,,,
1110,1110,S9,S9_1,32 MA,4001,DEDICATED,SG1,1,,,,,,,,,,,,,,,,
1190,1170/1190,S3,S3,18 FT,8254,GNANABELLA,SG1,1,,,,,,,,,,,,,,,,
1110,1110,S9,S9_1,32 MA,8150,DEDICATED,SG1,2,,,,,,,,,,,,,,,,
1190,1170/1190,S3,S3,18 FT,8151,GNANABELLA,SG1,2,,,,,,,,,,,,,,,,
1110,1110,E1,E1,32 MA,4002,DGFC,SG1,1,,,,,,,,,,,,,,,,
1190,1170/1190,W2,W2,32 MA,7302,HARSH,SG1,1,,,,,,,,,,,,,,,,
1110,1110,E1,E1,32 MA,6200,DGFC,SG1,2,,,,,,,,,,,,,,,,
1190,1170/1190,W2,W2,32 MA,7250,DGFC,SG1,3,,,,,,,,,,,,,,,,
1110,1110,E1,E1,32 MA,6204,DGFC,SG1,4,,,,,,,,,,,,,,,,
1110,1110,N3,N3,32 MA,5040,DRS,SG1,3,,,,,,,,,,,,,,,,
1190,1170/1190,W1,W1,32 MA,400003,MEGA,SG1,5,,,,,,,,,,,,,,,,
1110,1110,N3,N3,32 MA,5120,DRS,SG1,4,,,,,,,,,,,,,,,,
1190,1170/1190,W1,W1,32 MA,7152,EXPRESS,SG1,1,,,,,,,,,,,,,,,,
1110,1110,N3,N3,32 MA,400025,DRS,SG1,5,,,,,,,,,,,,,,,,
1110,1110,N3,N3,32 MA,400057,DRS,SG1,1,,,,,,,,,,,,,,,,
1190,1170/1190,W1,W1,32 MA,7151,EXPRESS,SG1,2,,,,,,,,,,,,,,,,
1110,1110,N2,N2,32 MA,5050,DRS,SG1,2,,,,,,,,,,,,,,,,
1190,1170/1190,W1,W1,32 MA,7150,EXPRESS,SG1,3,,,,,,,,,,,,,,,,
1110,1110,N2,N2,32 MA,5053,DRS,SG1,3,,,,,,,,,,,,,,,,
1190,1170/1190,W1,W1,32 MA,7103,EXPRESS,SG1,4,,,,,,,,,,,,,,,,
1110,1110,N2,N2,32 MA,5301,DRS,SG1,4,,,,,,,,,,,,,,,,
1110,1110,N2,N2,32 MA,400044,DRS,SG1,5,,,,,,,,,,,,,,,,
1110,1110,N2,N2,32 MA,400045,DRS,SG1,1,,,,,,,,,,,,,,,,
1190,1170/1190,W1,W1,32 MA,7102,EXPRESS,SG1,5,,,,,,,,,,,,,,,,
1110,1110,N1,N1,32 MA,5152,EAST INDIA,SG2,6,,,,,,,,,,,,,,,,
1110,1110,N1,N1,32 MA,5201,DRS,SG1,2,,,,,,,,,,,,,,,,
1110,1110,N1,N1,32 MA,5206,DRS,SG1,3,,,,,,,,,,,,,,,,
1110,1110,E2,E2,32 MA,6000,KAPOOR,SG1,1,,,,,,,,,,,,,,,,
1190,1170/1190,W1,W1,32 MA,7002,EAST INDIA,SG1,1,,,,,,,,,,,,,,,,
1110,1110,E2,E2,32 MA,6001,KAPOOR,SG1,2,,,,,,,,,,,,,,,,
1110,1110,E2,E2,32 MA,6004,ANAND,SG1,1,,,,,,,,,,,,,,,,
1110,1110,E2,E2,32 MA,6013,ANAND,SG1,2,,,,,,,,,,,,,,,,
1110,1110,E2,E2,32 MA,6053,ANAND,SG1,3,,,,,,,,,,,,,,,,
1190,1170/1190,W1,W1,32 MA,7000,EAST INDIA,SG1,2,,,,,,,,,,,,,,,,
1110,1110,E2,E2,32 MA,6102,ANAND,SG1,4,,,,,,,,,,,,,,,,
1190,1170/1190,E2,E2,32 MA,6102,RCI,SG1,1,,,,,,,,,,,,,,,,
1110,1110,E2,E2,32 MA,400062,ANAND,SG1,5,,,,,,,,,,,,,,,,
1110,1110,E2,E2,32 MA,400307,ANAND,SG1,1,,,,,,,,,,,,,,,,
1110,1110,W2,W2,32 MA,7250,RCI,SG1,2,,,,,,,,,,,,,,,,
1190,1170/1190,E2,E2,32 MA,6053,KAPOOR,SG1,3,,,,,,,,,,,,,,,,
1110,1110,W2,W2,32 MA,7302,RCI,SG1,3,,,,,,,,,,,,,,,,
1110,1110,S2,S2,18 FT,8005,KTC,SG1,5,,,,,,,,,,,,,,,,
1110,1110,S2,S2,18 FT,8010,KTC,SG1,1,,,,,,,,,,,,,,,,
1190,1170/1190,E2,E2,32 MA,6000,KAPOOR,SG1,4,,,,,,,,,,,,,,,,
1110,1110,S2,S2,18 FT,400047,KTC,SG1,2,,,,,,,,,,,,,,,,
1190,1170/1190,E1,E1,32 MA,6200,EAST INDIA,SG1,3,,,,,,,,,,,,,,,,
1110,1110,S3,S3,18 FT,8251,RCI,SG1,4,,,,,,,,,,,,,,,,
1190,1170/1190,E1,E1,32 MA,4002,DGFC,SG1,5,,,,,,,,,,,,,,,,
1110,1110,S3,S3,18 FT,8252,RCI,SG1,5,,,,,,,,,,,,,,,,
1190,1170/1190,S2,S2,18 FT,8054,EAST INDIA,SG2,7,,,,,,,,,,,,,,,,
1110,1110,S3,S3,18 FT,8253,RCI,SG1,1,,,,,,,,,,,,,,,,
1110,1110,S3,S3,18 FT,8255,RCI,SG1,2,,,,,,,,,,,,,,,,
