ClubPlant,Cluster,SubCluster,Operator,TruckType,Part,Demand,Plant,PlantDemand
1110,E1,E1,ANAND,32 MA,SG1,1,1110,1
1110,E1,E1,ANAND,32 MA,SG2,1,1110,1
1110,E1,E1,DGFC,32 MA,SG1,3,1110,3
1110,E1,E1,DGFC,32 MA,SG2,1,1110,1
1110,E2,E2,ANAND,32 MA,SG1,4,1110,4
1110,E2,E2,ANAND,32 MA,SG2,4,1110,4
1110,E2,E2,KAPOOR,32 MA,SG1,1,1110,1
1110,N1,N1,APML,32 MA,SG2,1,1110,1
1110,N1,N1,DRS,32 MA,SG1,2,1110,2
1110,N2,N2,APML,32 MA,SG1,2,1110,2
1110,N2,N2,DRS,32 MA,SG1,3,1110,3
1110,N2,N2,DRS,32 MA,SG2,3,1110,3
1110,N3,N3,APML,32 MA,SG1,2,1110,2
1110,N3,N3,APML,32 MA,SG2,2,1110,2
1110,N3,N3,DRS,32 MA,SG1,5,1110,5
1110,N3,N3,DRS,32 MA,SG2,3,1110,3
1110,S1,S1,GBL,18 FT,SG1,4,1110,4
1110,S1,S1,GBL,18 FT,SG2,2,1110,2
1110,S1,S1,KTC,18 FT,SG1,2,1110,2
1110,S1,S1,KTC,18 FT,SG2,2,1110,2
1110,S1,S1,MEGA,18 FT,SG1,2,1110,2
1110,S1,S1,MEGA,18 FT,SG2,1,1110,1
1110,S1,S1,CHINNA,32 MA,SG1,3,1110,3
1110,S1,S1,CHINNA,32 MA,SG2,1,1110,1
1110,S1,S1_1,GBL,18 FT,SG2,1,1110,1
1110,S1,S1_1,ILAN,18 FT,SG1,2,1110,2
1110,S1,S1_1,CHINNA,32 MA,SG1,5,1110,5
1110,S1,S1_1,CHINNA,32 MA,SG2,4,1110,4
1110,S1,S1_2,DEVAKI,18 FT,SG1,16,1110,16
1110,S1,S1_2,DEVAKI,18 FT,SG2,13,1110,13
1110,S1,S1_2,CHINNA,18 FT,SG1,8,1110,8
1110,S1,S1_2,CHINNA,18 FT,SG2,6,1110,6
1110,S2,S2,GBL,18 FT,SG1,1,1110,1
1110,S2,S2,GBL,18 FT,SG2,1,1110,1
1110,S2,S2,KTC,18 FT,SG1,2,1110,2
1110,S2,S2,KTC,18 FT,SG2,1,1110,1
1110,S2,S2,MEGA,18 FT,SG1,1,1110,1
1110,S2,S2_1,ANAND,32 MA,SG1,2,1110,2
1110,S2,S2_1,ANAND,32 MA,SG2,2,1110,2
1110,S2,S2_1,EXPRESS,32 MA,SG1,2,1110,2
1110,S2,S2_1,EXPRESS,32 MA,SG2,1,1110,1
1110,S2,S2_1,MEGA,32 MA,SG1,2,1110,2
1110,S2,S2_1,MEGA,32 MA,SG2,1,1110,1
1110,S3,S3,RCI,18 FT,SG1,5,1110,5
1110,S3,S3,RCI,18 FT,SG2,4,1110,4
1110,S3,S3,EXPRESS,32 MA,SG1,2,1110,2
1110,W1,W1,APML,32 MA,SG1,1,1110,1
1110,W1,W1,APML,32 MA,SG2,2,1110,2
1110,W1,W1,EAST INDIA,32 MA,SG1,2,1110,2
1110,W1,W1,MEGA,32 MA,SG1,1,1110,1
1110,W2,W2,RCI,32 MA,SG1,3,1110,3
1110,W2,W2,RCI,32 MA,SG2,1,1110,1
1120,E5,E5,DGFC,32 MA,SG1,2,1120,2
1120,E5,E5,DGFC,32 MA,SG2,2,1120,2
1120,E5,E5,KAPOOR,32 MA,SG1,2,1120,2
1120,E5,E5,KAPOOR,32 MA,SG2,1,1120,1
1120,E5,E5,KTC,32 MA,SG1,1,1120,1
1120,E5,E5,KTC,32 MA,SG2,1,1120,1
1120,N7,N7,DRS,32 MA,SG1,1,1120,1
1120,N7,N7,DRS,32 MA,SG2,2,1120,2
1120,N7,N7,EAST INDIA,32 MA,SG1,1,1120,1
1120,N7,N7,LGB,32 MA,SG1,1,1120,1
1120,N7,N7,LGB,32 MA,SG2,2,1120,2
1120,N7,N7,MAHAVEERA,32 MA,SG1,1,1120,1
1120,N7,N7,RCI,32 MA,SG1,1,1120,1
1120,N7,N7,SWASTIK,32 MA,SG1,1,1120,1
