Plant,SalesOffice,Material,Demand,TruckType,SubCluster,Cluster,RDC,ORGTruckType,DestCategory,PreferredTruckType,RDCSubCluster,RDCCluster,RDCORGTruckType,RDCDestCategory,ClubPlant,oldTruckType,Tyres,DemandTruck
1140,400339,26143040,3500,32 MA,W1,W1,,32 MA,OEM,32 MA,,,,,1140,32 MA,2157,1.6226240148354196
1140,400327,35051500,400,18 FT,S2,S2,,18 FT,OEM,32 MA,,,,,1140,18 FT,7000,0.05714285714285714
1140,400327,15158720,400,18 FT,S2,S2,,18 FT,OEM,32 MA,,,,,1140,18 FT,400,1
1140,400316,20846110,2400,32 MA,S9_4,S9,,18 FT,OEM,32 MA,,,,,1140,18 FT,2166,1.10803324099723
1140,400316,20173000,10100,32 MA,S9_4,S9,,18 FT,OEM,32 MA,,,,,1140,18 FT,2968,3.4029649595687332
1140,400316,20084400,7700,32 MA,S9_4,S9,,18 FT,OEM,32 MA,,,,,1140,18 FT,2320,3.3189655172413794
1140,400314,28374420,1000,32 MA,N3,N3,,32 MA,OEM,32 MA,,,,,1140,32 MA,1981,0.5047955577990914
1140,400314,28373000,3000,32 MA,N3,N3,,32 MA,OEM,32 MA,,,,,1140,32 MA,1981,1.5143866733972742
1140,400314,20887920,8500,32 MA,N3,N3,,32 MA,OEM,32 MA,,,,,1140,32 MA,2334,3.6418166238217653
1140,400314,20887900,2500,32 MA,N3,N3,,32 MA,OEM,32 MA,,,,,1140,32 MA,2334,1.0711225364181662
1140,400314,20195000,3300,32 MA,N3,N3,,32 MA,OEM,32 MA,,,,,1140,32 MA,3284,1.004872107186358
1140,400311,20856500,10500,32 MA,S9_4,S9,,18 FT,OEM,32 MA,,,,,1140,18 FT,3583,2.9305051632710017
1140,400311,20856240,10500,32 MA,S9_4,S9,,18 FT,OEM,32 MA,,,,,1140,18 FT,3583,2.9305051632710017
1140,400304,28374460,3400,32 MA,N1,N1,,32 MA,OEM,32 MA,,,,,1140,32 MA,1981,1.7163048965169108
1140,400304,20887900,3000,32 MA,N1,N1,,32 MA,OEM,32 MA,,,,,1140,32 MA,2334,1.2853470437017995
1140,400299,18360270,1100,32 SA,S2_1,S2,,18 FT,OEM,32 MA,,,,,1140,18 FT,1044,1.053639846743295
1140,400295,27165200,1000,32 MA,W2,W2,,32 MA,OEM,32 MA,,,,,1140,32 MA,3561,0.2808199943836001
1140,400295,21178040,1500,32 MA,W2,W2,,32 MA,OEM,32 MA,,,,,1140,32 MA,4685,0.32017075773745995
1140,400295,20136130,1000,32 MA,W2,W2,,32 MA,OEM,32 MA,,,,,1140,32 MA,3217,0.3108486167236556
1140,400292,20856500,1500,32 MA,N2,N2,,32 MA,OEM,32 MA,,,,,1140,32 MA,3583,0.4186435947530003
1140,400292,20856240,1500,32 MA,N2,N2,,32 MA,OEM,32 MA,,,,,1140,32 MA,3583,0.4186435947530003
1140,400286,21173600,6000,32 MA,N1,N1,,32 MA,OEM,32 MA,,,,,1140,32 MA,5200,1.1538461538461537
1140,400286,20856500,4000,32 MA,N1,N1,,32 MA,OEM,32 MA,,,,,1140,32 MA,3583,1.1163829193413342
1140,400286,20856240,12000,32 MA,N1,N1,,32 MA,OEM,32 MA,,,,,1140,32 MA,3583,3.3491487580240022
1140,400241,38062500,50,32 MA,W1,W1,,32 MA,OEM,32 MA,,,,,1140,32 MA,10000,0.005
1140,400241,18168640,50,32 MA,W1,W1,,32 MA,OEM,32 MA,,,,,1140,32 MA,1400,0.03571428571428571
1140,400121,18360270,2000,32 MA,N2,N2,,32 MA,OEM,32 MA,,,,,1140,32 MA,2088,0.9578544061302682
1140,400121,18340650,1300,32 MA,N2,N2,,32 MA,OEM,32 MA,,,,,1140,32 MA,1177,1.1045029736618521
1140,400121,18340641,500,32 MA,N2,N2,,32 MA,OEM,32 MA,,,,,1140,32 MA,1023,0.4887585532746823
1140,400089,26133030,500,32 MA,N2,N2,,32 MA,OEM,32 MA,,,,,1140,32 MA,3600,0.1388888888888889
1140,400076,18360141,4500,32 MA,N1,N1,,32 MA,OEM,32 MA,,,,,1140,32 MA,2379,1.8915510718789408
1140,400075,26143040,5900,32 MA,W1,W1,,32 MA,OEM,32 MA,,,,,1140,32 MA,2157,2.735280482151136
1140,400068,20846110,600,18 FT,S1_1,S1,,18 FT,OEM,32 MA,,,,,1140,18 FT,900,0.6666666666666666
1140,400058,41514300,12000,32 MA,N1,N1,,32 MA,OEM,32 MA,,,,,1140,32 MA,40000,0.3
1140,400058,27165200,3500,32 MA,N1,N1,,32 MA,OEM,32 MA,,,,,1140,32 MA,3561,0.9828699803426004
1140,400058,21178040,500,32 MA,N1,N1,,32 MA,OEM,32 MA,,,,,1140,32 MA,4685,0.10672358591248667
1140,400058,20864200,4000,32 MA,N1,N1,,32 MA,OEM,32 MA,,,,,1140,32 MA,2904,1.3774104683195592
1140,400058,20856380,4000,32 MA,N1,N1,,32 MA,OEM,32 MA,,,,,1140,32 MA,3583,1.1163829193413342
1140,400058,20856360,1200,32 MA,N1,N1,,32 MA,OEM,32 MA,,,,,1140,32 MA,3583,0.3349148758024002
1140,400058,20184040,500,32 MA,N1,N1,,32 MA,OEM,32 MA,,,,,1140,32 MA,2334,0.21422450728363324
1140,400038,27155220,3000,32 MA,W1,W1,,32 MA,OEM,32 MA,,,,,1140,32 MA,4152,0.7225433526011561
1140,400038,26136420,10700,32 SA,W1,W1,,32 MA,OEM,32 MA,,,,,1140,32 SA,2042,5.2399608227228205
