Plant,ClubPlant,Destination,Cluster,SubCluster,RDC,DestCategory,PreferredTruckType,ORGTruckType,RDCCluster,RDCSubCluster,RDCDestCategory,RDCORGTruckType,TruckType,DemandTruck,FullTruckDemand,PartialTruckDemand,PartialTruckDemand_PreferredTruckType,Month,Period,Year
1110,1110,4000,S1,S1_2,,EXPORT,32 MA,18 FT,,,,,18 FT,13.178175544262501,14,0,0,May,01,2016
1110,1110,4002,E1,E1,,EXPORT,32 MA,32 MA,,,,,32 MA,4.569371118012422,5,0,0,May,01,2016
1110,1110,4003,S1,S1_2,,EXPORT,32 MA,18 FT,,,,,18 FT,43.95353002070394,44,0,0,May,01,2016
1110,1110,5001,N1,N1,5050,DEPOT,32 MA,32 MA,N2,N2,DEPOT,32 MA,32 MA,0.098,0,0.098,0.098,May,01,2016
1110,1110,5002,N1,N1,5050,DEPOT,32 MA,32 MA,N2,N2,DEPOT,32 MA,32 MA,0.14123913043478262,0,0.14123913043478262,0.14123913043478262,May,01,2016
1110,1110,5004,N1,N1,5050,DEPOT,32 MA,32 MA,N2,N2,DEPOT,32 MA,32 MA,0.02,0,0.02,0.02,May,01,2016
1110,1110,5040,N3,N3,5040,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,32 MA,0.4828905419766206,0,0.4828905419766206,0.4828905419766206,May,01,2016
1110,1110,5050,N2,N2,5050,DEPOT,32 MA,32 MA,N2,N2,DEPOT,32 MA,32 MA,1.0462619553666312,1,0.04626195536663125,0.04626195536663125,May,01,2016
1110,1110,5051,N3,N3,5050,DEPOT,32 MA,32 MA,N2,N2,DEPOT,32 MA,32 MA,0.13301351146197055,0,0.13301351146197055,0.13301351146197055,May,01,2016
1110,1110,5052,N2,N2,5040,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,32 MA,0.21022468498557767,0,0.21022468498557767,0.21022468498557767,May,01,2016
1110,1110,5053,N2,N2,5040,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,32 MA,0.2978453772582359,0,0.2978453772582359,0.2978453772582359,May,01,2016
1110,1110,5054,N1,N1,5040,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,32 MA,0.12858660998937302,0,0.12858660998937302,0.12858660998937302,May,01,2016
1110,1110,5055,N2,N2,5050,DEPOT,32 MA,32 MA,N2,N2,DEPOT,32 MA,32 MA,0.23968897069986336,0,0.23968897069986336,0.23968897069986336,May,01,2016
1110,1110,5071,N1,N1,5050,DEPOT,32 MA,32 MA,N2,N2,DEPOT,32 MA,32 MA,0.021253985122210415,0,0.021253985122210415,0.021253985122210415,May,01,2016
1110,1110,5101,N3,N3,5120,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,32 MA,0.17514612114771522,0,0.17514612114771522,0.17514612114771522,May,01,2016
1110,1110,5102,N3,N3,5120,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,32 MA,0.24983816608471232,0,0.24983816608471232,0.24983816608471232,May,01,2016
1110,1110,5103,N3,N3,5120,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,32 MA,0.3525239107332625,0,0.3525239107332625,0.3525239107332625,May,01,2016
1110,1110,5104,N3,N3,5120,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,32 MA,0.0825,0,0.0825,0.0825,May,01,2016
1110,1110,5105,N3,N3,5120,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,32 MA,0.07142857142857142,0,0.07142857142857142,0.07142857142857142,May,01,2016
1110,1110,5106,N3,N3,5120,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,32 MA,0.02,0,0.02,0.02,May,01,2016
1110,1110,5107,N3,N3,5040,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,32 MA,0.36695479732807046,0,0.36695479732807046,0.36695479732807046,May,01,2016
1110,1110,5108,N3,N3,5120,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,32 MA,0.09032943676939426,0,0.09032943676939426,0.09032943676939426,May,01,2016
1110,1110,5109,N3,N3,5120,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,32 MA,0.13606668437832092,0,0.13606668437832092,0.13606668437832092,May,01,2016
1110,1110,5111,N3,N3,5120,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,32 MA,0.19198421132533777,0,0.19198421132533777,0.19198421132533777,May,01,2016
1110,1110,5112,N3,N3,5120,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,32 MA,0.6134659177167148,0,0.6134659177167148,0.6134659177167148,May,01,2016
1110,1110,5114,N3,N3,5120,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,32 MA,0.08839285714285713,0,0.08839285714285713,0.08839285714285713,May,01,2016
1110,1110,5115,N1,N1,5040,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,32 MA,0.11937888198757764,0,0.11937888198757764,0.11937888198757764,May,01,2016
1110,1110,5116,N3,N3,5120,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,32 MA,0.40913731592530744,0,0.40913731592530744,0.40913731592530744,May,01,2016
1110,1110,5120,N3,N3,5120,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,32 MA,0.8409723698193411,0,0.8409723698193411,0.8409723698193411,May,01,2016
1110,1110,5151,N1,N1,5050,DEPOT,32 MA,32 MA,N2,N2,DEPOT,32 MA,32 MA,0.8080246252499983,0,0.8080246252499983,0.8080246252499983,May,01,2016
1110,1110,5152,N1,N1,5050,DEPOT,32 MA,32 MA,N2,N2,DEPOT,32 MA,32 MA,0.5752263549415516,0,0.5752263549415516,0.5752263549415516,May,01,2016
1110,1110,5153,N1,N1,6200,DEPOT,32 MA,32 MA,E1,E1,DEPOT,32 MA,32 MA,0.6002734503402617,0,0.6002734503402617,0.6002734503402617,May,01,2016
1110,1110,5155,N1,N1,6200,DEPOT,32 MA,32 MA,E1,E1,DEPOT,32 MA,32 MA,0.6425164454360037,0,0.6425164454360037,0.6425164454360037,May,01,2016
1110,1110,5156,W2,W2,5050,DEPOT,32 MA,32 MA,N2,N2,DEPOT,32 MA,32 MA,0.4701052303285127,0,0.4701052303285127,0.4701052303285127,May,01,2016
1110,1110,5157,N1,N1,6200,DEPOT,32 MA,32 MA,E1,E1,DEPOT,32 MA,32 MA,0.4005710853393707,0,0.4005710853393707,0.4005710853393707,May,01,2016
1110,1110,5201,N1,N1,5050,DEPOT,32 MA,32 MA,N2,N2,DEPOT,32 MA,32 MA,0.06738651890086533,0,0.06738651890086533,0.06738651890086533,May,01,2016
1110,1110,5202,N1,N1,5050,DEPOT,32 MA,32 MA,N2,N2,DEPOT,32 MA,32 MA,0.05714285714285714,0,0.05714285714285714,0.05714285714285714,May,01,2016
1110,1110,5203,N1,N1,5120,DEPOT,32 MA,32 MA,N3,N3,DEPOT,32 MA,32 MA,0.5537858660998938,0,0.5537858660998938,0.5537858660998938,May,01,2016
1110,1110,5206,N1,N1,5050,DEPOT,32 MA,32 MA,N2,N2,DEPOT,32 MA,32 MA,0.19642857142857142,0,0.19642857142857142,0.19642857142857142,May,01,2016
1110,1110,5251,N2,N2,5050,DEPOT,32 MA,32 MA,N2,N2,DEPOT,32 MA,32 MA,0.35072309753731,0,0.35072309753731,0.35072309753731,May,01,2016
