Plant,ClubPlant,Destination,Cluster,SubCluster,RDC,DestCategory,RDCCluster,RDCSubCluster,RDCDestCategory,RDCORGTruckType,TruckType,TruckDemandFinal
1110,1110,4000,S1,S1_2,,EXPORT,,,,,18 FT,14
1110,1110,4002,E1,E1,,EXPORT,,,,,32 MA,5
1110,1110,4003,S1,S1_2,,EXPORT,,,,,18 FT,44
1110,1110,5050,N2,N2,5050,DEPOT,N2,N2,DEPOT,32 MA,32 MA,1
1110,1110,5120,N3,N3,5120,DEPOT,N3,N3,DEPOT,32 MA,32 MA,1
1110,1110,5151,N1,N1,5050,DEPOT,N2,N2,DEPOT,32 MA,32 MA,1
1110,1110,6000,E2,E2,6000,DEPOT,E2,E2,DEPOT,32 MA,32 MA,1
1110,1110,6003,E2,E2,6000,DEPOT,E2,E2,DEPOT,32 MA,32 MA,1
1110,1110,6012,E2,E2,6000,DEPOT,E2,E2,DEPOT,32 MA,18 FT,2
1110,1110,6053,E2,E2,6053,DEPOT,E2,E2,DEPOT,32 MA,32 MA,3
1110,1110,6102,E2,E2,6102,DEPOT,E2,E2,DEPOT,32 MA,32 MA,2
1110,1110,6201,E1,E1,6200,DEPOT,E1,E1,DEPOT,32 MA,32 MA,1
1110,1110,6202,E1,E1,6200,DEPOT,E1,E1,DEPOT,32 MA,32 MA,1
1110,1110,6203,E1,E1,6200,DEPOT,E1,E1,DEPOT,32 MA,32 MA,1
1110,1110,6204,E1,E1,6200,DEPOT,E1,E1,DEPOT,32 MA,32 MA,1
1110,1110,6206,E1,E1,6200,DEPOT,E1,E1,DEPOT,32 MA,32 MA,1
1110,1110,8103,S2,S2,8110,DEPOT,S2,S2,DEPOT,18 FT,18 FT,1
1110,1110,8251,S3,S3,8150,DEPOT,S9,S9_1,DEPOT,18 FT,18 FT,2
1110,1110,8252,S3,S3,8150,DEPOT,S9,S9_1,DEPOT,18 FT,18 FT,1
1110,1110,8253,S3,S3,8300,DEPOT,S1,S1_1,DEPOT,18 FT,18 FT,2
1110,1110,8258,S3,S3,8300,DEPOT,S1,S1_1,DEPOT,18 FT,18 FT,1
1110,1110,8259,S3,S3,8150,DEPOT,S9,S9_1,DEPOT,18 FT,18 FT,2
1110,1110,8300,S1,S1_1,8300,DEPOT,S1,S1_1,DEPOT,18 FT,18 FT,3
1110,1110,8301,S1,S1_1,8300,DEPOT,S1,S1_1,DEPOT,18 FT,18 FT,1
1110,1110,8305,S1,S1,8300,DEPOT,S1,S1_1,DEPOT,18 FT,18 FT,1
1110,1110,8311,S1,S1,8300,DEPOT,S1,S1_1,DEPOT,18 FT,18 FT,1
1110,1110,8312,S1,S1_1,8300,DEPOT,S1,S1_1,DEPOT,18 FT,18 FT,1
1110,1110,8313,S1,S1,8300,DEPOT,S1,S1_1,DEPOT,18 FT,18 FT,1
1110,1110,8351,S1,S1,8300,DEPOT,S1,S1_1,DEPOT,18 FT,18 FT,1
1110,1110,8352,S1,S1,8300,DEPOT,S1,S1_1,DEPOT,18 FT,18 FT,3
1110,1110,8353,S1,S1,8300,DEPOT,S1,S1_1,DEPOT,18 FT,18 FT,2
1110,1110,8354,S1,S1,8300,DEPOT,S1,S1_1,DEPOT,18 FT,18 FT,1
1110,1110,8355,S1,S1,8300,DEPOT,S1,S1_1,DEPOT,18 FT,18 FT,1
1110,1110,400024,S1,S1,,OEM,,,,,32 SA,4
1110,1110,400041,N3,N3,,OEM,,,,,32 MA,1
1110,1110,400044,N2,N2,,OEM,,,,,32 MA,1
1110,1110,400047,S2,S2,,OEM,,,,,32 SA,5
1110,1110,400048,W1,W1,,OEM,,,,,32 MA,2
1110,1110,400054,S1,S1,,OEM,,,,,32 SA,3
1110,1110,400057,N3,N3,,OEM,,,,,32 MA,2
1110,1110,400063,S1,S1_1,,OEM,,,,,18 FT,3
1110,1110,400147,S1,S1_1,,OEM,,,,,18 FT,1
1110,1110,400241,W1,W1,,OEM,,,,,32 MA,1
1110,1110,400294,N2,N2,,OEM,,,,,32 MA,1
1110,1110,400327,S2,S2,,OEM,,,,,32 SA,2
1120,1120,4000,S4,S4_2,,EXPORT,,,,,18 FT,4
1120,1120,4002,E5,E5,,EXPORT,,,,,32 MA,2
1120,1120,4003,S4,S4_2,,EXPORT,,,,,18 FT,18
1120,1120,5104,N7,N7,5120,DEPOT,N7,N7,DEPOT,32 MA,32 MA,1
1120,1120,5156,W5,W5,5050,DEPOT,N7,N7,DEPOT,32 MA,32 MA,1
1120,1120,5301,N7,N7,5301,DEPOT,N7,N7,DEPOT,32 MA,32 MA,1
1120,1120,5301,N7,N7,5301,DEPOT,N7,N7,DEPOT,32 MA,32 SA,1
1120,1120,5306,N7,N7,5040,DEPOT,N7,N7,DEPOT,32 MA,32 MA,1
1120,1120,6001,E5,E5,6000,DEPOT,E5,E5,DEPOT,32 MA,32 MA,1
1120,1120,7102,W5,W5,7102,DEPOT,W5,W5,DEPOT,32 MA,32 MA,1
1120,1120,7105,W5,W5,8150,DEPOT,S9,S9_2,DEPOT,18 FT,32 MA,1
1120,1120,7152,W5,W5,7152,DEPOT,W5,W5,DEPOT,32 MA,32 MA,1
1120,1120,7152,W5,W5,7152,DEPOT,W5,W5,DEPOT,32 MA,32 SA,1
1120,1120,7251,W5,W5,7250,DEPOT,W5,W5,DEPOT,32 MA,32 SA,1
1120,1120,7253,W5,W5,5040,DEPOT,N7,N7,DEPOT,32 MA,32 MA,1
1120,1120,7302,W5,W5,7302,DEPOT,W5,W5,DEPOT,32 MA,32 MA,1
1120,1120,8003,S4,S4_1,8010,DEPOT,S4,S4_1,DEPOT,18 FT,18 FT,1
1120,1120,8051,S4,S4_1,7150,DEPOT,W5,W5,DEPOT,32 MA,18 FT,1
