Plant,ClubPlant,Destination,Cluster,SubCluster,RDC,DestCategory,RDCCluster,RDCSubCluster,RDCDestCategory,RDCORGTruckType,TruckType,TruckDemandFinal
1110,1110,5001,N1,N1,5050,DEPOT,N2,N2,DEPOT,32 MA,32 MA,0.056
1110,1110,5002,N1,N1,5050,DEPOT,N2,N2,DEPOT,32 MA,32 MA,0.06847826086956521
1110,1110,5004,N1,N1,5050,DEPOT,N2,N2,DEPOT,32 MA,32 MA,0.06
1110,1110,5040,N3,N3,5040,DEPOT,N3,N3,DEPOT,32 MA,32 MA,0.38677777777777766
1110,1110,5050,N2,N2,5050,DEPOT,N2,N2,DEPOT,32 MA,32 MA,0.3766527777777777
1110,1110,5052,N2,N2,5040,DEPOT,N3,N3,DEPOT,32 MA,32 MA,0.018055555555555554
1110,1110,5053,N2,N2,5040,DEPOT,N3,N3,DEPOT,32 MA,32 MA,0.4187468527640941
1110,1110,5054,N1,N1,5050,DEPOT,N2,N2,DEPOT,32 MA,32 MA,0.03576388888888889
1110,1110,5055,N2,N2,5050,DEPOT,N2,N2,DEPOT,32 MA,32 MA,0.06388888888888888
1110,1110,5061,N2,N2,5040,DEPOT,N3,N3,DEPOT,32 MA,32 MA,0.34022988505747126
1110,1110,5071,N1,N1,5050,DEPOT,N2,N2,DEPOT,32 MA,32 MA,0.41102777777777777
1110,1110,5101,N3,N3,5120,DEPOT,N3,N3,DEPOT,32 MA,32 MA,0.3354285714285714
1110,1110,5102,N3,N3,5120,DEPOT,N3,N3,DEPOT,32 MA,32 MA,0.066
1110,1110,5104,N3,N3,5120,DEPOT,N3,N3,DEPOT,32 MA,32 MA,0.38032423371647506
1110,1110,5105,N3,N3,5120,DEPOT,N3,N3,DEPOT,32 MA,32 MA,0.144
1110,1110,5106,N3,N3,5120,DEPOT,N3,N3,DEPOT,32 MA,32 MA,0.10752490421455937
1110,1110,5109,N3,N3,5120,DEPOT,N3,N3,DEPOT,32 MA,32 MA,0.005208333333333333
1110,1110,5111,N3,N3,5120,DEPOT,N3,N3,DEPOT,32 MA,32 MA,0.02
1110,1110,5112,N3,N3,5120,DEPOT,N3,N3,DEPOT,32 MA,32 MA,0.38727422003284073
1110,1110,5114,N3,N3,5120,DEPOT,N3,N3,DEPOT,32 MA,32 MA,0.09857142857142857
1110,1110,5115,N1,N1_1,5050,DEPOT,N2,N2,DEPOT,32 MA,32 MA,0.1949782608695652
1110,1110,5116,N3,N3,5120,DEPOT,N3,N3,DEPOT,32 MA,32 MA,0.26285714285714284
1110,1110,5120,N3,N3,5120,DEPOT,N3,N3,DEPOT,32 MA,32 MA,0.4960178571428573
1110,1110,5151,N1,N1_1,5050,DEPOT,N2,N2,DEPOT,32 MA,32 MA,0.7117191672021133
1110,1110,5152,N1,N1_1,5050,DEPOT,N2,N2,DEPOT,32 MA,32 MA,0.5916452607029818
1110,1110,5153,N1,N1_1,6200,DEPOT,E1,E1,DEPOT,32 MA,32 MA,0.2305759620189905
1110,1110,5155,N1,N1_1,6200,DEPOT,E1,E1,DEPOT,32 MA,32 MA,0.11616074998215176
1110,1110,5156,W2,W2,5050,DEPOT,N2,N2,DEPOT,32 MA,32 MA,0.12177777777777778
1110,1110,5157,N1,N1_1,6200,DEPOT,E1,E1,DEPOT,32 MA,32 MA,0.2925730884557721
1110,1110,5201,N1,N1_1,5050,DEPOT,N2,N2,DEPOT,32 MA,32 MA,0.1354235769020251
1110,1110,5202,N1,N1_1,5050,DEPOT,N2,N2,DEPOT,32 MA,32 MA,0.1107638888888889
1110,1110,5203,N1,N1_1,5120,DEPOT,N3,N3,DEPOT,32 MA,32 MA,0.2441570881226054
1110,1110,5206,N1,N1_1,5050,DEPOT,N2,N2,DEPOT,32 MA,32 MA,0.5629331554460864
1110,1110,5251,N2,N2,5050,DEPOT,N2,N2,DEPOT,32 MA,32 MA,0.15355555555555556
1110,1110,5252,N2,N2,5040,DEPOT,N3,N3,DEPOT,32 MA,32 MA,0.35663888888888884
1110,1110,5301,N2,N2,5301,DEPOT,N2,N2,DEPOT,32 MA,32 MA,0.1669384236453204
1110,1110,5303,N2,N2,5040,DEPOT,N3,N3,DEPOT,32 MA,18 FT,0.02
1110,1110,5305,N2,N2,5040,DEPOT,N3,N3,DEPOT,32 MA,32 MA,0.28539846743295016
1110,1110,5306,N2,N2,5040,DEPOT,N3,N3,DEPOT,32 MA,32 MA,0.22441666666666668
1110,1110,5307,N2,N2,5040,DEPOT,N3,N3,DEPOT,32 MA,32 MA,0.2442337164750958
1110,1110,5309,N2,N2,5040,DEPOT,N3,N3,DEPOT,32 MA,32 MA,0.312
1110,1110,6000,E2,E2,6000,DEPOT,E2,E2,DEPOT,32 MA,32 MA,0.6112857142857142
1110,1110,6001,E2,E2,6000,DEPOT,E2,E2,DEPOT,32 MA,32 MA,0.3047892720306513
1110,1110,6003,E2,E2,6000,DEPOT,E2,E2,DEPOT,32 MA,32 MA,0.20748913043478262
1110,1110,6004,E2,E2,6000,DEPOT,E2,E2,DEPOT,32 MA,32 MA,0.5492663043478261
1110,1110,6011,E2,E2,6000,DEPOT,E2,E2,DEPOT,32 MA,32 MA,0.26267080745341614
1110,1110,6012,E2,E2,6000,DEPOT,E2,E2,DEPOT,32 MA,18 FT,0.12408695652173907
1110,1110,6103,E2,E2,6000,DEPOT,E2,E2,DEPOT,32 MA,18 FT,0.22075
1110,1110,6104,E2,E2,6000,DEPOT,E2,E2,DEPOT,32 MA,32 MA,0.37199999999999994
1110,1110,6105,E2,E2,6000,DEPOT,E2,E2,DEPOT,32 MA,32 MA,0.0865
1110,1110,6201,E1,E1,6200,DEPOT,E1,E1,DEPOT,32 MA,32 MA,0.7402712096332785
1110,1110,6202,E1,E1,6200,DEPOT,E1,E1,DEPOT,32 MA,32 MA,0.394
1110,1110,6203,E1,E1,6200,DEPOT,E1,E1,DEPOT,32 MA,32 MA,0.5815022964708123
1110,1110,6204,E1,E1,6200,DEPOT,E1,E1,DEPOT,32 MA,32 MA,0.5364013975155278
1110,1110,6205,E1,E1,6200,DEPOT,E1,E1,DEPOT,32 MA,32 MA,0.22438567323481118
1110,1110,6206,E1,E1,6200,DEPOT,E1,E1,DEPOT,32 MA,32 MA,0.5533369565217391
1110,1110,6207,E1,E1,6200,DEPOT,E1,E1,DEPOT,32 MA,32 MA,0.04
1110,1110,7000,W1,W1_1,7000,DEPOT,W1,W1_1,DEPOT,32 MA,32 MA,0.010416666666666666
1110,1110,7001,W1,W1_1,7000,DEPOT,W1,W1_1,DEPOT,32 MA,32 MA,0.13363266283524905
1110,1110,7002,W1,W1_1,7000,DEPOT,W1,W1_1,DEPOT,32 MA,32 MA,0.02048611111111111
1110,1110,7003,W1,W1_1,7000,DEPOT,W1,W1_1,DEPOT,32 MA,32 MA,0.019791666666666666
1110,1110,7004,W1,W1_1,7000,DEPOT,W1,W1_1,DEPOT,32 MA,32 MA,0.0706896551724138
1110,1110,7051,W1,W1_1,7000,DEPOT,W1,W1_1,DEPOT,32 MA,32 MA,0.18994252873563217
1110,1110,7052,W1,W1_1,7000,DEPOT,W1,W1_1,DEPOT,32 MA,32 MA,0.011494252873563218
1110,1110,7053,W1,W1_1,7000,DEPOT,W1,W1_1,DEPOT,32 MA,32 MA,0.006944444444444444
1110,1110,7054,W1,W1_1,7000,DEPOT,W1,W1_1,DEPOT,32 MA,32 MA,0.023958333333333335
1110,1110,7102,W1,W1,7102,DEPOT,W1,W1,DEPOT,32 MA,32 MA,0.0125
1110,1110,7103,W1,W1,7150,DEPOT,W1,W1,DEPOT,32 MA,32 MA,0.318
1110,1110,7104,S2,S2,7150,DEPOT,W1,W1,DEPOT,32 MA,18 FT,0.046875
1110,1110,7150,W1,W1,7150,DEPOT,W1,W1,DEPOT,32 MA,32 MA,0.09965277777777778
1110,1110,7151,W1,W1,7150,DEPOT,W1,W1,DEPOT,32 MA,32 MA,0.16699999999999998
1110,1110,7155,W1,W1,7150,DEPOT,W1,W1,DEPOT,32 MA,32 MA,0.03
1110,1110,7250,W2,W2,7250,DEPOT,W2,W2,DEPOT,32 MA,32 MA,0.0875
1110,1110,7251,W2,W2,7250,DEPOT,W2,W2,DEPOT,32 MA,32 MA,0.40412835249042145
1110,1110,7252,W2,W2,7250,DEPOT,W2,W2,DEPOT,32 MA,32 MA,0.04703065134099617
1110,1110,7253,W2,W2,5050,DEPOT,N2,N2,DEPOT,32 MA,32 MA,0.3033977148330596
1110,1110,7254,W2,W2,7250,DEPOT,W2,W2,DEPOT,32 MA,32 MA,0.5143642583470169
1110,1110,7301,W2,W2,7250,DEPOT,W2,W2,DEPOT,32 MA,32 MA,0.12020239880059969
1110,1110,7302,W2,W2,7302,DEPOT,W2,W2,DEPOT,32 MA,32 MA,0.09113984674329502
1110,1110,7304,W2,W2,7250,DEPOT,W2,W2,DEPOT,32 MA,32 MA,0.06902173913043479
1110,1110,8002,S2,S2,8300,DEPOT,S1,S1_1,DEPOT,32 MA,18 FT,0.0895
1110,1110,8004,S2,S2,8300,DEPOT,S1,S1_1,DEPOT,32 MA,18 FT,0.2576111111111111
1110,1110,8005,S2,S2,8300,DEPOT,S1,S1_1,DEPOT,32 MA,18 FT,0.32003209109730846
1110,1110,8006,S2,S2,8300,DEPOT,S1,S1_1,DEPOT,32 MA,18 FT,0.21324603174603174
1110,1110,8051,S2,S2,7150,DEPOT,W1,W1,DEPOT,32 MA,18 FT,0.048
1110,1110,8052,S2,S2,7150,DEPOT,W1,W1,DEPOT,32 MA,18 FT,0.1577638888888889
1110,1110,8053,S2,S2,8150,DEPOT,S3,S3,DEPOT,32 MA,18 FT,0.08374999999999999
1110,1110,8054,S2,S2,8150,DEPOT,S3,S3,DEPOT,32 MA,18 FT,0.12361111111111112
1110,1110,8055,S2,S2,8150,DEPOT,S3,S3,DEPOT,32 MA,18 FT,0.15833333333333333
1110,1110,8102,S2,S2,8300,DEPOT,S1,S1_1,DEPOT,32 MA,18 FT,0.08449999999999999
1110,1110,8104,S2,S2,8300,DEPOT,S1,S1_1,DEPOT,32 MA,18 FT,0.060000000000000005
1110,1110,8105,S2,S2,8300,DEPOT,S1,S1_1,DEPOT,32 MA,18 FT,0.34391304347826085
1110,1110,8106,S2,S2,8300,DEPOT,S1,S1_1,DEPOT,32 MA,18 FT,0.08549999999999999
1110,1110,8107,S2,S2,8300,DEPOT,S1,S1_1,DEPOT,32 MA,18 FT,0.0625
1110,1110,8150,S3,S3,8150,DEPOT,S3,S3,DEPOT,32 MA,32 MA,0.43294444444444447
1110,1110,8156,S3,S3,8150,DEPOT,S3,S3,DEPOT,32 MA,18 FT,0.299463601532567
1110,1110,8251,S3,S3,8150,DEPOT,S3,S3,DEPOT,32 MA,18 FT,0.03634537493158163
1110,1110,8252,S3,S3,8150,DEPOT,S3,S3,DEPOT,32 MA,18 FT,0.3069501915708813
1110,1110,8253,S3,S3,8300,DEPOT,S1,S1_1,DEPOT,32 MA,18 FT,0.29962041598248496
1110,1110,8254,S3,S3,8150,DEPOT,S3,S3,DEPOT,32 MA,18 FT,0.09444444444444444
1110,1110,8255,S3,S3,8150,DEPOT,S3,S3,DEPOT,32 MA,18 FT,0.3464646962233169
1110,1110,8256,S3,S3,8300,DEPOT,S1,S1_1,DEPOT,32 MA,18 FT,0.07426929392446635
1110,1110,8257,S3,S3,8150,DEPOT,S3,S3,DEPOT,32 MA,18 FT,0.13026819923371646
1110,1110,8258,S3,S3,8300,DEPOT,S1,S1_1,DEPOT,32 MA,18 FT,0.18924521072796935
1110,1110,8261,S3,S3,8150,DEPOT,S3,S3,DEPOT,32 MA,18 FT,0.15613026819923373
1110,1110,8300,S1,S1_1,8300,DEPOT,S1,S1_1,DEPOT,32 MA,32 MA,0.5826528640441686
1110,1110,8301,S1,S1_1,8300,DEPOT,S1,S1_1,DEPOT,32 MA,18 FT,0.1706552140596369
1110,1110,8302,S1,S1_1,8300,DEPOT,S1,S1_1,DEPOT,32 MA,18 FT,0.30289130434782613
1110,1110,8303,S1,S1,8300,DEPOT,S1,S1_1,DEPOT,32 MA,18 FT,0.025455688822255462
1110,1110,8304,S1,S1,8300,DEPOT,S1,S1_1,DEPOT,32 MA,18 FT,0.2856761381214157
1110,1110,8306,S1,S1,8300,DEPOT,S1,S1_1,DEPOT,32 MA,18 FT,0.0771209395302348
1110,1110,8311,S1,S1,8300,DEPOT,S1,S1_1,DEPOT,32 MA,18 FT,0.0024135432283858282
1110,1110,8312,S1,S1_1,8300,DEPOT,S1,S1_1,DEPOT,32 MA,18 FT,0.015017532900216568
1110,1110,8313,S1,S1,8300,DEPOT,S1,S1_1,DEPOT,32 MA,18 FT,0.036949025487256315
1110,1110,8315,S1,S1,8300,DEPOT,S1,S1_1,DEPOT,32 MA,18 FT,0.24984341162751958
1110,1110,8352,S1,S1,8300,DEPOT,S1,S1_1,DEPOT,32 MA,18 FT,0.02767799433616558
1110,1110,8353,S1,S1,8300,DEPOT,S1,S1_1,DEPOT,32 MA,18 FT,0.21275246900359357
1110,1110,8355,S1,S1,8300,DEPOT,S1,S1_1,DEPOT,32 MA,18 FT,0.24373829751790776
1110,1110,8356,S1,S1,8300,DEPOT,S1,S1_1,DEPOT,32 MA,18 FT,0.24127241141334088
1120,1120,5001,N7,N7,5050,DEPOT,N7,N7,DEPOT,32 MA,32 MA,0.001
1120,1120,5002,N7,N7,5050,DEPOT,N7,N7,DEPOT,32 MA,32 MA,0.21621428571428572
1120,1120,5004,N7,N7,5050,DEPOT,N7,N7,DEPOT,32 MA,32 MA,0.005
1120,1120,5006,N7,N7,5050,DEPOT,N7,N7,DEPOT,32 MA,32 MA,0.0025
1120,1120,5050,N7,N7,5050,DEPOT,N7,N7,DEPOT,32 MA,32 MA,0.5860917250832562
1120,1120,5051,N7,N7,5050,DEPOT,N7,N7,DEPOT,32 MA,32 MA,0.09110714285714284
1120,1120,5052,N7,N7,5040,DEPOT,N7,N7,DEPOT,32 MA,32 MA,0.21285131244559172
1120,1120,5053,N7,N7,5040,DEPOT,N7,N7,DEPOT,32 MA,32 MA,0.04970000000000001
1120,1120,5054,N7,N7,5050,DEPOT,N7,N7,DEPOT,32 MA,32 MA,0.19234057050687878
1120,1120,5055,N7,N7,5050,DEPOT,N7,N7,DEPOT,32 MA,32 MA,0.1665112085322561
1120,1120,5061,N7,N7,5040,DEPOT,N7,N7,DEPOT,32 MA,32 MA,0.15268035714285713
1120,1120,5071,N7,N7,5050,DEPOT,N7,N7,DEPOT,32 MA,32 MA,0.03065714285714286
1120,1120,5101,N7,N7,5120,DEPOT,N7,N7,DEPOT,32 MA,32 MA,0.1228690476190476
1120,1120,5102,N7,N7,5120,DEPOT,N7,N7,DEPOT,32 MA,32 MA,0.12901785714285713
1120,1120,5103,N7,N7,5120,DEPOT,N7,N7,DEPOT,32 MA,32 MA,0.6326521266355627
1120,1120,5104,N7,N7,5120,DEPOT,N7,N7,DEPOT,32 MA,32 MA,0.7285215395480227
1120,1120,5105,N7,N7,5120,DEPOT,N7,N7,DEPOT,32 MA,32 MA,0.03816666666666667
1120,1120,5106,N7,N7,5120,DEPOT,N7,N7,DEPOT,32 MA,32 MA,0.4521355414901256
1120,1120,5107,N7,N7,5050,DEPOT,N7,N7,DEPOT,32 MA,32 MA,0.16054166666666667
1120,1120,5108,N7,N7,5120,DEPOT,N7,N7,DEPOT,32 MA,32 MA,0.3847022500893652
1120,1120,5109,N7,N7,5120,DEPOT,N7,N7,DEPOT,32 MA,32 MA,0.20767917671829744
1120,1120,5111,N7,N7,5120,DEPOT,N7,N7,DEPOT,32 MA,32 MA,0.036500000000000005
1120,1120,5112,N7,N7,5120,DEPOT,N7,N7,DEPOT,32 MA,32 MA,0.1770952380952381
1120,1120,5114,N7,N7,5120,DEPOT,N7,N7,DEPOT,32 MA,32 MA,0.04775
1120,1120,5115,N7,N7_1,5050,DEPOT,N7,N7,DEPOT,32 MA,32 MA,0.09030145278450363
1120,1120,5116,N7,N7,5120,DEPOT,N7,N7,DEPOT,32 MA,32 MA,0.06708333333333334
1120,1120,5120,N7,N7,5120,DEPOT,N7,N7,DEPOT,32 MA,32 MA,0.048115847802748135
1120,1120,5151,N7,N7_1,5050,DEPOT,N7,N7,DEPOT,32 MA,32 MA,0.06029166666666667
1120,1120,5152,N7,N7_1,5050,DEPOT,N7,N7,DEPOT,32 MA,32 MA,0.371895569480025
1120,1120,5153,N7,N7_1,6200,DEPOT,E5,E5,DEPOT,32 MA,32 MA,0.17590132783882784
1120,1120,5155,N7,N7_1,6200,DEPOT,E5,E5,DEPOT,32 MA,32 MA,0.09483956583024886
1120,1120,5156,W5,W5,5050,DEPOT,N7,N7,DEPOT,32 MA,32 MA,0.09096458154812911
1120,1120,5157,N7,N7_1,6200,DEPOT,E5,E5,DEPOT,32 MA,32 MA,0.032478470437017994
1120,1120,5202,N7,N7_1,5050,DEPOT,N7,N7,DEPOT,32 MA,32 MA,0.1960209984820374
1120,1120,5203,N7,N7_1,5120,DEPOT,N7,N7,DEPOT,32 MA,32 MA,0.21478204186558947
1120,1120,5206,N7,N7_1,5050,DEPOT,N7,N7,DEPOT,32 MA,32 MA,0.3601031738783198
1120,1120,5251,N7,N7,5050,DEPOT,N7,N7,DEPOT,32 MA,32 MA,0.1621156462585034
1120,1120,5252,N7,N7,5040,DEPOT,N7,N7,DEPOT,32 MA,32 MA,0.0074285714285714285
1120,1120,5301,N7,N7,5301,DEPOT,N7,N7,DEPOT,32 MA,32 MA,0.6463678961270531
1120,1120,5305,N7,N7,5040,DEPOT,N7,N7,DEPOT,32 MA,32 MA,0.07204989900844658
1120,1120,5306,N7,N7,5040,DEPOT,N7,N7,DEPOT,32 MA,32 MA,0.1029375
1120,1120,5307,N7,N7,5040,DEPOT,N7,N7,DEPOT,32 MA,32 MA,0.20025
1120,1120,5309,N7,N7,5040,DEPOT,N7,N7,DEPOT,32 MA,32 MA,0.16620482222996819
1120,1120,6001,E5,E5,6000,DEPOT,E5,E5,DEPOT,32 MA,32 MA,0.2890714285714285
1120,1120,6003,E5,E5,6000,DEPOT,E5,E5,DEPOT,32 MA,32 MA,0.009708333333333333
1120,1120,6004,E5,E5,6000,DEPOT,E5,E5,DEPOT,32 MA,32 MA,0.024499999999999997
1120,1120,6011,E5,E5,6000,DEPOT,E5,E5,DEPOT,32 MA,32 MA,0.053767857142857145
1120,1120,6012,E5,E5,6000,DEPOT,E5,E5,DEPOT,32 MA,18 FT,0.032375
1120,1120,6013,E5,E5,6000,DEPOT,E5,E5,DEPOT,32 MA,32 MA,0.008
1120,1120,6103,E5,E5,6000,DEPOT,E5,E5,DEPOT,32 MA,18 FT,0.04
1120,1120,6104,E5,E5,6000,DEPOT,E5,E5,DEPOT,32 MA,32 MA,0.088
1120,1120,6105,E5,E5,6000,DEPOT,E5,E5,DEPOT,32 MA,32 MA,0.28264285714285714
1120,1120,6201,E5,E5,6200,DEPOT,E5,E5,DEPOT,32 MA,32 MA,0.31730357142857146
1120,1120,6202,E5,E5,6200,DEPOT,E5,E5,DEPOT,32 MA,32 MA,0.5478571428571428
1120,1120,6203,E5,E5,6200,DEPOT,E5,E5,DEPOT,32 MA,32 MA,0.08267857142857142
1120,1120,6204,E5,E5,6200,DEPOT,E5,E5,DEPOT,32 MA,32 MA,0.5235238095238095
1120,1120,6205,E5,E5,6200,DEPOT,E5,E5,DEPOT,32 MA,32 MA,0.00375
1120,1120,6206,E5,E5,6200,DEPOT,E5,E5,DEPOT,32 MA,32 MA,0.09646428571428571
1120,1120,6207,E5,E5,6200,DEPOT,E5,E5,DEPOT,32 MA,32 MA,0.15073809523809523
1120,1120,7001,W5,W5,7000,DEPOT,W5,W5,DEPOT,32 MA,32 MA,0.15075139488210687
1120,1120,7002,W5,W5,7000,DEPOT,W5,W5,DEPOT,32 MA,32 MA,0.3078790888201252
1120,1120,7003,W5,W5,7000,DEPOT,W5,W5,DEPOT,32 MA,32 MA,0.14862203326976053
1120,1120,7004,W5,W5,7000,DEPOT,W5,W5,DEPOT,32 MA,32 MA,0.05475
1120,1120,7051,W5,W5,7000,DEPOT,W5,W5,DEPOT,32 MA,32 MA,0.3229641912280667
1120,1120,7052,W5,W5,7000,DEPOT,W5,W5,DEPOT,32 MA,32 MA,0.18469753447827217
1120,1120,7053,W5,W5,7000,DEPOT,W5,W5,DEPOT,32 MA,32 MA,0.10367712968849332
1120,1120,7054,W5,W5,7000,DEPOT,W5,W5,DEPOT,32 MA,32 MA,0.07613828217237308
1120,1120,7102,W5,W5,7102,DEPOT,W5,W5,DEPOT,32 MA,32 MA,0.19277331759149943
1120,1120,7104,S4,S4_1,7150,DEPOT,W5,W5,DEPOT,32 MA,18 FT,0.09183333333333334
1120,1120,7105,W5,W5,8150,DEPOT,S4,S4,DEPOT,32 MA,32 MA,0.5769038186665604
1120,1120,7150,W5,W5,7150,DEPOT,W5,W5,DEPOT,32 MA,32 MA,0.22372994531613283
1120,1120,7151,W5,W5,7150,DEPOT,W5,W5,DEPOT,32 MA,32 MA,0.432999054238976
1120,1120,7152,W5,W5,7152,DEPOT,W5,W5,DEPOT,32 MA,32 MA,0.07843211777486725
