ClubPlant,Cluster,SubCluster,TruckType,DemandTruckFinal
1110,E1,E1,32 MA,6
1110,E2,E2,18 FT,2
1110,E2,E2,32 MA,9
1110,N1,N1,32 MA,3
1110,N2,N2,32 MA,8
1110,N3,N3,32 MA,12
1110,S1,S1,18 FT,13
1110,S1,S1,32 MA,4
1110,S1,S1_1,18 FT,3
1110,S1,S1_1,32 MA,9
1110,S1,S1_2,18 FT,43
1110,S2,S2,18 FT,6
1110,S2,S2_1,32 MA,10
1110,S3,S3,18 FT,9
1110,S3,S3,32 MA,2
1110,W1,W1,32 MA,6
1110,W2,W2,32 MA,4
1120,E5,E5,32 MA,9
1120,N7,N7,32 MA,11
1120,N7,N7,32 SA,42
1120,S4,S4,18 FT,7
1120,S4,S4,32 MA,12
1120,S4,S4_1,18 FT,55
1120,S4,S4_1,32 MA,4
1120,W5,W5,32 MA,14
1120,W5,W5,32 SA,25
1130,E6,E6,18 FT,2
1130,E6,E6,32 MA,32
1130,N8,N8,32 MA,26
1130,N8,N8_1,32 MA,14
1130,N9,N9,32 MA,40
1130,S5,S5,18 FT,5
1130,S5,S5,32 MA,3
1130,S5,S5_1,18 FT,22
1130,S5,S5_1,32 MA,47
1130,S5,S5_2,18 FT,12
1130,W6,W6,32 MA,78
1140,E1,E1,32 MA,8
1140,E2,E2,18 FT,1
1140,E2,E2,32 MA,12
1140,N1,N1,32 MA,21
1140,N1,N1_1,32 MA,3
1140,N2,N2,32 MA,19
1140,N3,N3,32 MA,19
1140,S1,S1,18 FT,10
1140,S1,S1,32 MA,3
1140,S1,S1_1,18 FT,5
1140,S1,S1_1,32 MA,16
1140,S1,S1_2,32 MA,26
1140,S2,S2,18 FT,17
1140,S2,S2,32 MA,18
1140,S3,S3,18 FT,11
1140,S3,S3,32 MA,8
1140,W1,W1,32 MA,36
1140,W1,W1,32 SA,7
1140,W2,W2,32 MA,8
1160,E1,E1,32 MA,4
1160,E2,E2,18 FT,1
1160,E2,E2,32 MA,6
1160,N1,N1,32 MA,5
1160,N1,N1,32 SA,15
1160,N1,N1_1,32 MA,2
1160,N2,N2,32 MA,36
1160,N3,N3,32 MA,8
1160,S1,S1,18 FT,18
1160,S1,S1_1,18 FT,15
1160,S1,S1_1,32 MA,13
1160,S1,S1_2,32 MA,8
1160,S2,S2,18 FT,19
1160,S2,S2_1,18 FT,7
1160,S3,S3,18 FT,4
1160,S3,S3,32 MA,4
1160,S3,S3_1,18 FT,1
1160,W1,W1,32 MA,12
1160,W1,W1,32 SA,23
1160,W2,W2,32 MA,10
1150/1180,E3,E3,32 MA,24
1150/1180,E4,E4,18 FT,1
1150/1180,E4,E4,32 MA,27
1150/1180,N4,N4,32 MA,50
1150/1180,N4,N4,32 SA,12
1150/1180,N4,N4_1,32 MA,14
1150/1180,N5,N5,32 MA,27
1150/1180,N5,N5,32 SA,7
1150/1180,N6,N6,32 MA,26
1150/1180,N6,N6,32 SA,4
1150/1180,S6,S6,18 FT,23
1150/1180,S6,S6,32 MA,37
1150/1180,S6,S6_1,18 FT,58
1150/1180,S7,S7,18 FT,14
1150/1180,S7,S7,32 MA,8
1150/1180,S7,S7_1,18 FT,7
1150/1180,S7,S7_1,32 MA,6
1150/1180,S8,S8,18 FT,45
1150/1180,S8,S8,32 MA,45
1150/1180,W3,W3,32 MA,37
1150/1180,W3,W3_1,32 MA,21
1150/1180,W4,W4,32 MA,30
1170/1190,E1,E1,32 MA,42
1170/1190,E2,E2,18 FT,3
1170/1190,E2,E2,32 MA,10
1170/1190,N1,N1,32 MA,3
1170/1190,N1,N1_1,32 MA,26
1170/1190,N2,N2,32 MA,11
1170/1190,N3,N3,32 MA,12
1170/1190,S1,S1,18 FT,37
1170/1190,S1,S1_1,18 FT,1
1170/1190,S1,S1_1,32 MA,29
1170/1190,S2,S2,18 FT,18
1170/1190,S2,S2,32 MA,10
1170/1190,S2,S2_1,18 FT,5
1170/1190,S2,S2_1,32 MA,6
1170/1190,S3,S3,18 FT,7
1170/1190,S3,S3,32 MA,6
1170/1190,W1,W1,32 MA,29
1170/1190,W2,W2,32 MA,13
