Plant,Cluster,TruckType,Destination,Total
1150/1180,E3,32 MA,6200,2
1150/1180,E3,32 MA,6201,4
1150/1180,E3,32 MA,6202,6
1150/1180,E3,32 MA,6203,3
1150/1180,E3,32 MA,6204,2
1150/1180,E3,32 MA,6205,1
1150/1180,E3,32 MA,6206,0
1150/1180,E3,32 MA,6207,4
1150/1180,E3,32 MA,400035,3
1150/1180,E3,32 MA,PATNA RDC,5
1150/1180,E3,32 SA,6200,0
1150/1180,E3,32 SA,6201,0
1150/1180,E3,32 SA,6203,0
1150/1180,E3,32 SA,6204,0
1150/1180,E3,32 SA,6205,0
1150/1180,E3,32 SA,6206,0
1150/1180,E3,32 SA,6207,0
1150/1180,E3,32 SA,PATNA RDC,1
1150/1180,E4,32 MA,6000,1
1150/1180,E4,32 MA,6001,1
1150/1180,E4,32 MA,6003,3
1150/1180,E4,32 MA,6004,1
1150/1180,E4,32 MA,6011,1
1150/1180,E4,32 MA,6013,3
1150/1180,E4,32 MA,6052,0
1150/1180,E4,32 MA,6053,5
1150/1180,E4,32 MA,6101,1
1150/1180,E4,32 MA,6102,9
1150/1180,E4,32 MA,6104,2
1150/1180,E4,32 MA,6152,0
1150/1180,E4,32 MA,400062,0
1150/1180,E4,32 MA,400307,0
1150/1180,E4,32 MA,BHUBANESHWAR MOGO,2
1150/1180,E4,32 MA,KOLKATA RDC,7
1150/1180,E4,32 SA,6003,0
1150/1180,E4,32 SA,6004,0
1150/1180,E4,32 SA,6012,0
1150/1180,E4,32 SA,6013,0
1150/1180,E4,32 SA,6053,0
1150/1180,E4,32 SA,6101,0
1150/1180,E4,32 SA,6102,0
1150/1180,E4,32 SA,BHUBANESHWAR MOGO,0
1150/1180,E4,32 SA,KOLKATA RDC,1
1150/1180,N4,32 MA,5001,4
1150/1180,N4,32 MA,5002,2
1150/1180,N4,32 MA,5004,1
1150/1180,N4,32 MA,5006,0
1150/1180,N4,32 MA,5054,2
1150/1180,N4,32 MA,5071,0
1150/1180,N4,32 MA,5115,0
1150/1180,N4,32 MA,5151,2
1150/1180,N4,32 MA,5152,3
1150/1180,N4,32 MA,5153,3
1150/1180,N4,32 MA,5155,1
1150/1180,N4,32 MA,5157,0
1150/1180,N4,32 MA,5201,1
1150/1180,N4,32 MA,5202,1
1150/1180,N4,32 MA,5203,1
1150/1180,N4,32 MA,5206,1
1150/1180,N4,32 MA,104932,1
1150/1180,N4,32 MA,400020,5
1150/1180,N4,32 MA,400021,7
1150/1180,N4,32 MA,400057,2
1150/1180,N4,32 MA,400058,3
1150/1180,N4,32 MA,400059,0
1150/1180,N4,32 MA,400126,0
1150/1180,N4,32 MA,400286,8
1150/1180,N4,32 MA,400304,0
1150/1180,N4,32 MA,400308,1
1150/1180,N4,32 MA,DHARUHERA RDC,10
1150/1180,N4,32 MA,JAIPUR RDC,2
1150/1180,N4,32 MA,PATNA RDC,3
1150/1180,N4,32 SA,5054,0
1150/1180,N4,32 SA,5071,0
1150/1180,N4,32 SA,5115,0
1150/1180,N4,32 SA,5151,0
1150/1180,N4,32 SA,5152,0
1150/1180,N4,32 SA,5153,0
1150/1180,N4,32 SA,5155,0
1150/1180,N4,32 SA,5157,0
1150/1180,N4,32 SA,5201,0
1150/1180,N4,32 SA,5202,0
1150/1180,N4,32 SA,5203,0
1150/1180,N4,32 SA,5206,0
1150/1180,N4,32 SA,400057,1
1150/1180,N4,32 SA,400076,4
1150/1180,N4,32 SA,400211,21
1150/1180,N4,32 SA,DHARUHERA RDC,2
1150/1180,N4,32 SA,JAIPUR RDC,1
1150/1180,N4,32 SA,PATNA RDC,1
1150/1180,N5,32 MA,5050,2
1150/1180,N5,32 MA,5052,1
1150/1180,N5,32 MA,5053,1
1150/1180,N5,32 MA,5055,2
1150/1180,N5,32 MA,5061,2
1150/1180,N5,32 MA,5251,3
1150/1180,N5,32 MA,5252,1
1150/1180,N5,32 MA,5301,1
1150/1180,N5,32 MA,5302,2
1150/1180,N5,32 MA,5305,3
1150/1180,N5,32 MA,5306,1
1150/1180,N5,32 MA,5307,1
1150/1180,N5,32 MA,5308,0
1150/1180,N5,32 MA,5309,0
1150/1180,N5,32 MA,400292,1
1150/1180,N5,32 MA,DHARUHERA RDC,2
1150/1180,N5,32 MA,GURGAON RDC,6
1150/1180,N5,32 SA,5050,1
1150/1180,N5,32 SA,5052,0
1150/1180,N5,32 SA,5053,0
1150/1180,N5,32 SA,5055,0
1150/1180,N5,32 SA,5061,0
1150/1180,N5,32 SA,5251,0
1150/1180,N5,32 SA,5252,0
1150/1180,N5,32 SA,5301,0
1150/1180,N5,32 SA,5305,2
1150/1180,N5,32 SA,5306,0
1150/1180,N5,32 SA,5307,0
1150/1180,N5,32 SA,5308,0
1150/1180,N5,32 SA,5309,0
1150/1180,N5,32 SA,400011,1
1150/1180,N5,32 SA,400044,1
1150/1180,N5,32 SA,400051,2
1150/1180,N5,32 SA,400294,0
1150/1180,N5,32 SA,DHARUHERA RDC,1
1150/1180,N5,32 SA,GURGAON RDC,2
1150/1180,N6,32 MA,5040,1
1150/1180,N6,32 MA,5051,0
1150/1180,N6,32 MA,5101,1
1150/1180,N6,32 MA,5102,0
1150/1180,N6,32 MA,5103,0
1150/1180,N6,32 MA,5104,2
1150/1180,N6,32 MA,5105,1
1150/1180,N6,32 MA,5106,0
1150/1180,N6,32 MA,5107,2
1150/1180,N6,32 MA,5108,0
1150/1180,N6,32 MA,5109,0
1150/1180,N6,32 MA,5111,0
1150/1180,N6,32 MA,5112,1
1150/1180,N6,32 MA,5114,0
1150/1180,N6,32 MA,5116,0
1150/1180,N6,32 MA,5120,0
1150/1180,N6,32 MA,400025,3
1150/1180,N6,32 MA,400083,1
1150/1180,N6,32 MA,DHARUHERA RDC,2
1150/1180,N6,32 MA,GURGAON RDC,2
1150/1180,N6,32 MA,JAIPUR RDC,8
1150/1180,N6,32 SA,5040,1
1150/1180,N6,32 SA,5051,0
1150/1180,N6,32 SA,5101,0
1150/1180,N6,32 SA,5102,0
1150/1180,N6,32 SA,5103,0
1150/1180,N6,32 SA,5104,0
1150/1180,N6,32 SA,5105,0
1150/1180,N6,32 SA,5106,0
1150/1180,N6,32 SA,5107,0
