Plant,Cluster,SubCluster,TruckType,Destination,DemandTruckFinal
1150/1180,S,S,32 MA,4000,11
1150/1180,S,S,32 MA,4001,4
1150/1180,S,S,32 MA,4003,6
1150/1180,S,S,32 MA,7104,0
1150/1180,S,S,32 MA,7150,2
1150/1180,S,S,32 MA,8001,1
1150/1180,S,S,32 MA,8002,0
1150/1180,S,S,32 MA,8003,1
1150/1180,S,S,32 MA,8004,0
1150/1180,S,S,32 MA,8005,1
1150/1180,S,S,32 MA,8006,1
1150/1180,S,S,32 MA,8051,0
1150/1180,S,S,32 MA,8053,1
1150/1180,S,S,32 MA,8054,0
1150/1180,S,S,32 MA,8055,0
1150/1180,S,S,32 MA,8104,1
1150/1180,S,S,32 MA,8105,1
1150/1180,S,S,32 MA,8107,0
1150/1180,S,S,32 MA,8150,12
1150/1180,S,S,32 MA,8151,6
1150/1180,S,S,32 MA,8153,7
1150/1180,S,S,32 MA,8155,5
1150/1180,S,S,32 MA,8156,7
1150/1180,S,S,32 MA,8251,7
1150/1180,S,S,32 MA,8253,0
1150/1180,S,S,32 MA,8254,2
1150/1180,S,S,32 MA,8255,6
1150/1180,S,S,32 MA,8256,2
1150/1180,S,S,32 MA,8257,3
1150/1180,S,S,32 MA,8258,2
1150/1180,S,S,32 MA,8261,1
1150/1180,S,S,32 MA,8300,9
1150/1180,S,S,32 MA,8303,1
1150/1180,S,S,32 MA,8305,1
1150/1180,S,S,32 MA,8312,0
1150/1180,S,S,32 MA,8313,1
1150/1180,S,S,32 MA,8315,0
1150/1180,S,S,32 MA,8351,1
1150/1180,S,S,32 MA,8352,1
1150/1180,S,S,32 MA,8353,0
1150/1180,S,S,32 MA,8355,0
1150/1180,S,S,32 MA,8356,0
1150/1180,S,S,32 MA,400031,5
1150/1180,S,S,32 MA,400060,1
1150/1180,S,S,32 MA,400061,1
1150/1180,S,S,32 MA,400310,1
1150/1180,S,S,32 MA,400311,1
1150/1180,S,S,32 MA,400348,1
1150/1180,S,S,32 SA,7150,1
1150/1180,S,S,32 SA,8001,0
1150/1180,S,S,32 SA,8003,0
1150/1180,S,S,32 SA,8004,0
1150/1180,S,S,32 SA,8005,0
1150/1180,S,S,32 SA,8006,0
1150/1180,S,S,32 SA,8051,0
1150/1180,S,S,32 SA,8052,1
1150/1180,S,S,32 SA,8053,0
1150/1180,S,S,32 SA,8054,0
1150/1180,S,S,32 SA,8150,7
1150/1180,S,S,32 SA,8151,0
1150/1180,S,S,32 SA,8153,0
1150/1180,S,S,32 SA,8155,0
1150/1180,S,S,32 SA,8156,0
1150/1180,S,S,32 SA,8251,0
1150/1180,S,S,32 SA,8252,0
1150/1180,S,S,32 SA,8253,0
1150/1180,S,S,32 SA,8254,0
1150/1180,S,S,32 SA,8255,1
1150/1180,S,S,32 SA,8256,1
1150/1180,S,S,32 SA,8257,0
1150/1180,S,S,32 SA,8258,0
1150/1180,S,S,32 SA,8261,0
1150/1180,S,S,32 SA,8300,3
1150/1180,S,S,32 SA,8301,0
1150/1180,S,S,32 SA,8303,0
1150/1180,S,S,32 SA,8306,0
1150/1180,S,S,32 SA,8311,0
1150/1180,S,S,32 SA,8312,0
1150/1180,S,S,32 SA,8353,0
1150/1180,S,S,32 SA,8354,0
1150/1180,S,S,32 SA,8356,0
1150/1180,S,S,32 SA,400024,1
1150/1180,S,S,32 SA,400047,1
1150/1180,S,S,32 SA,400063,1
1150/1180,S,S,32 SA,400074,2
1150/1180,S,S,32 SA,400310,1
1150/1180,S,S,32 SA,400327,3
1150/1180,S,S,32 SA,400348,1
1150/1180,S,S,18 FT,7150,1
1150/1180,S,S,18 FT,8052,2
1150/1180,S,S,18 FT,8102,4
1150/1180,S,S,18 FT,8103,3
1150/1180,S,S,18 FT,8106,2
1150/1180,S,S,18 FT,8252,7
1150/1180,S,S,18 FT,8300,4
1150/1180,S,S,18 FT,8301,1
1150/1180,S,S,18 FT,8302,2
1150/1180,S,S,18 FT,8304,1
1150/1180,S,S,18 FT,8306,1
1150/1180,S,S,18 FT,8311,2
1150/1180,S,S,18 FT,8354,2
1150/1180,S,S,18 FT,400068,3
1150/1180,N4,N4,32 MA,5001,1
1150/1180,N4,N4,32 MA,5002,2
1150/1180,N4,N4,32 MA,5004,1
1150/1180,N4,N4,32 MA,5006,1
1150/1180,N4,N4,32 MA,5050,2
1150/1180,N4,N4,32 MA,5054,2
1150/1180,N4,N4,32 MA,5071,1
1150/1180,N4,N4,32 MA,104932,1
1150/1180,N4,N4,32 MA,400020,1
1150/1180,N4,N4,32 MA,400021,6
1150/1180,N4,N4,32 MA,400057,2
1150/1180,N4,N4,32 MA,400058,5
