Plant Code,Cluster,Transporter Code,Truck Type,Supply,Count
1150/1180,E3,DGFC,32 MA,8,0
1150/1180,E3,VARUNA,32 MA,8,0
1150/1180,E3,KAPOOR,32 MA,5,0
1150/1180,E3,ANAND,32 MA,4,0
1150/1180,E3,KTC,32 MA,4,0
1150/1180,E3,NCS,32 MA,4,0
1150/1180,E3,TRIMURTHI,32 MA,2,0
1150/1180,E3,ANAND,32 SA,1,1
1150/1180,E3,DGFC,32 SA,1,1
1150/1180,E3,KAPOOR,32 SA,1,1
1150/1180,E3,KTC,32 SA,1,0
1150/1180,E3,NCS,32 SA,1,1
1150/1180,E3,TRIMURTHI,32 SA,1,1
1150/1180,E3,VARUNA,32 SA,1,1
1150/1180,E4,ANAND,32 MA,9,0
1150/1180,E4,KAPOOR,32 MA,9,0
1150/1180,E4,VARUNA,32 MA,8,0
1150/1180,E4,NCS,32 MA,6,0
1150/1180,E4,KTC,32 MA,4,0
1150/1180,E4,RCI,32 MA,3,0
1150/1180,E4,ANAND,32 SA,1,0
1150/1180,E4,KAPOOR,32 SA,1,0
1150/1180,E4,KTC,32 SA,1,0
1150/1180,E4,NCS,32 SA,1,0
1150/1180,E4,RCI,32 SA,1,0
1150/1180,E4,VARUNA,32 SA,1,0
1150/1180,N4,RCI,32 MA,18,0
1150/1180,N4,VARUNA,32 MA,18,0
1150/1180,N4,EXPRESS,32 MA,12,0
1150/1180,N4,LG BROTHERS,32 MA,10,0
1150/1180,N4,DBRC,32 MA,5,0
1150/1180,N4,COSMO,32 MA,4,0
1150/1180,N4,RCI,32 SA,9,0
1150/1180,N4,VARUNA,32 SA,9,0
1150/1180,N4,EXPRESS,32 SA,6,0
1150/1180,N4,LG BROTHERS,32 SA,5,0
1150/1180,N4,DBRC,32 SA,3,0
1150/1180,N4,COSMO,32 SA,2,0
1150/1180,N5,RCI,32 MA,9,0
1150/1180,N5,VARUNA,32 MA,7,0
1150/1180,N5,DRS,32 MA,6,0
1150/1180,N5,LG BROTHERS,32 MA,5,0
1150/1180,N5,DBRC,32 MA,4,0
1150/1180,N5,RCI,32 SA,3,0
1150/1180,N5,VARUNA,32 SA,3,0
1150/1180,N5,DBRC,32 SA,2,0
1150/1180,N5,DRS,32 SA,2,0
1150/1180,N5,LG BROTHERS,32 SA,2,0
1150/1180,N6,RCI,32 MA,7,0
1150/1180,N6,VARUNA,32 MA,6,0
1150/1180,N6,DRS,32 MA,5,0
1150/1180,N6,LG BROTHERS,32 MA,5,0
1150/1180,N6,DBRC,32 MA,4,0
1150/1180,N6,RCI,32 SA,4,0
1150/1180,N6,DRS,32 SA,3,0
1150/1180,N6,LG BROTHERS,32 SA,3,0
1150/1180,N6,VARUNA,32 SA,3,0
1150/1180,N6,DBRC,32 SA,2,0
1150/1180,S,COSMO,32 MA,53,0
1150/1180,S,VARUNA,32 MA,27,0
1150/1180,S,EXPRESS,32 MA,11,0
1150/1180,S,COSMO,32 SA,13,0
1150/1180,S,VARUNA,32 SA,7,0
1150/1180,S,EXPRESS,32 SA,3,0
1150/1180,W3,EXPRESS,32 MA,16,0
1150/1180,W3,RCI,32 MA,12,0
1150/1180,W3,DGFC,32 MA,9,0
1150/1180,W3,MEGA,32 MA,9,0
1150/1180,W3,APML,32 MA,7,0
1150/1180,W3,EAST INDIA,32 MA,7,0
1150/1180,W3,SWASTIK,32 MA,5,0
1150/1180,W3,DGFC,32 SA,2,0
1150/1180,W3,EXPRESS,32 SA,2,0
1150/1180,W3,RCI,32 SA,2,0
1150/1180,W3,APML,32 SA,1,0
1150/1180,W3,EAST INDIA,32 SA,1,0
1150/1180,W3,MEGA,32 SA,1,0
1150/1180,W3,SWASTIK,32 SA,1,0
1150/1180,W4,RCI,32 MA,13,0
1150/1180,W4,SWASTIK,32 MA,7,0
1150/1180,W4,TRUE FREIGHT,32 MA,5,0
1150/1180,W4,RCI,32 SA,4,0
1150/1180,W4,SWASTIK,32 SA,3,0
1150/1180,W4,TRUE FREIGHT,32 SA,2,0
