Plant Code,Cluster,Transporter Code,Truck Type,Supply,Count
1150/1180,E3,DGFC,32 MA,8,149
1150/1180,E3,VARUNA,32 MA,8,159
1150/1180,E3,KAPOOR,32 MA,5,123
1150/1180,E3,ANAND,32 MA,4,190
1150/1180,E3,KTC,32 MA,4,105
1150/1180,E3,NCS,32 MA,4,114
1150/1180,E3,TRIMURTHI,32 MA,2,152
1150/1180,E3,ANAND,32 SA,1,175
1150/1180,E3,DGFC,32 SA,1,180
1150/1180,E3,KAPOOR,32 SA,1,128
1150/1180,E3,KTC,32 SA,1,196
1150/1180,E3,NCS,32 SA,1,162
1150/1180,E3,TRIMURTHI,32 SA,1,122
1150/1180,E3,VARUNA,32 SA,1,101
1150/1180,E4,ANAND,32 MA,9,135
1150/1180,E4,KAPOOR,32 MA,9,188
1150/1180,E4,VARUNA,32 MA,8,110
1150/1180,E4,NCS,32 MA,6,143
1150/1180,E4,KTC,32 MA,4,138
1150/1180,E4,RCI,32 MA,3,188
1150/1180,E4,ANAND,32 SA,1,189
1150/1180,E4,KAPOOR,32 SA,1,175
1150/1180,E4,KTC,32 SA,1,128
1150/1180,E4,NCS,32 SA,1,139
1150/1180,E4,RCI,32 SA,1,159
1150/1180,E4,VARUNA,32 SA,1,182
1150/1180,N4,RCI,32 MA,18,163
1150/1180,N4,VARUNA,32 MA,18,164
1150/1180,N4,EXPRESS,32 MA,12,165
1150/1180,N4,LG BROTHERS,32 MA,10,120
1150/1180,N4,DBRC,32 MA,5,152
1150/1180,N4,COSMO,32 MA,4,159
1150/1180,N4,RCI,32 SA,9,195
1150/1180,N4,VARUNA,32 SA,9,155
1150/1180,N4,EXPRESS,32 SA,6,167
1150/1180,N4,LG BROTHERS,32 SA,5,181
1150/1180,N4,DBRC,32 SA,3,173
1150/1180,N4,COSMO,32 SA,2,106
1150/1180,N5,RCI,32 MA,9,173
1150/1180,N5,VARUNA,32 MA,7,176
1150/1180,N5,DRS,32 MA,6,141
1150/1180,N5,LG BROTHERS,32 MA,5,132
1150/1180,N5,DBRC,32 MA,4,106
1150/1180,N5,RCI,32 SA,3,196
1150/1180,N5,VARUNA,32 SA,3,150
1150/1180,N5,DBRC,32 SA,2,182
1150/1180,N5,DRS,32 SA,2,183
1150/1180,N5,LG BROTHERS,32 SA,2,107
1150/1180,N6,RCI,32 MA,7,193
1150/1180,N6,VARUNA,32 MA,6,186
1150/1180,N6,DRS,32 MA,5,153
1150/1180,N6,LG BROTHERS,32 MA,5,145
1150/1180,N6,DBRC,32 MA,4,186
1150/1180,N6,RCI,32 SA,4,131
1150/1180,N6,DRS,32 SA,3,110
1150/1180,N6,LG BROTHERS,32 SA,3,138
1150/1180,N6,VARUNA,32 SA,3,192
1150/1180,N6,DBRC,32 SA,2,102
1150/1180,S,COSMO,32 MA,53,157
1150/1180,S,VARUNA,32 MA,27,133
1150/1180,S,EXPRESS,32 MA,11,147
1150/1180,S,COSMO,32 SA,13,101
1150/1180,S,VARUNA,32 SA,7,134
1150/1180,S,EXPRESS,32 SA,3,200
1150/1180,W3,EXPRESS,32 MA,16,187
1150/1180,W3,RCI,32 MA,12,124
1150/1180,W3,DGFC,32 MA,9,114
1150/1180,W3,MEGA,32 MA,9,164
1150/1180,W3,APML,32 MA,7,181
1150/1180,W3,EAST INDIA,32 MA,7,108
1150/1180,W3,SWASTIK,32 MA,5,181
1150/1180,W3,DGFC,32 SA,2,136
1150/1180,W3,EXPRESS,32 SA,2,101
1150/1180,W3,RCI,32 SA,2,172
1150/1180,W3,APML,32 SA,1,131
1150/1180,W3,EAST INDIA,32 SA,1,114
1150/1180,W3,MEGA,32 SA,1,196
1150/1180,W3,SWASTIK,32 SA,1,125
1150/1180,W4,RCI,32 MA,13,112
1150/1180,W4,SWASTIK,32 MA,7,188
1150/1180,W4,TRUE FREIGHT,32 MA,5,181
1150/1180,W4,RCI,32 SA,4,170
1150/1180,W4,SWASTIK,32 SA,3,169
1150/1180,W4,TRUE FREIGHT,32 SA,2,184
